Gene = Rpp30
index = 1457
Annotated 5SS: [147 395 518 847]
Annotated 3SS: [206 448 571 908]
SMsplice 5SS: [147 395 518 847]
SMsplice 3SS: [206 448 726 908]
top_k =  1000
Partition function (log Z): 2.9750816614359685

Sorted 5' Splice Sites (High to Low Probability):
Position 147: 0.9819222009059109
Position 395: 0.9816603960063045
Position 847: 0.9100200775827446
Position 518: 0.8061620042558767
Position 638: 0.019219872844129834
Position 151: 0.006548392504469855
Position 659: 0.006197272764976534
Position 665: 0.004287122700229976
Position 798: 0.0005841827463908192
Position 1094: 0.0004538537952284178
Position 270: 0.0004038965110529854
Position 836: 0.0002698058645816028
Position 140: 0.0002516745499006374
Position 25: 0.00019302056599735775
Position 669: 0.00018209084750846013
Position 532: 0.0001805454131707458
Position 1132: 0.00010133858474077365
Position 1171: 6.106747883488077e-05
Position 425: 4.585270494068036e-05
Position 883: 4.055352852204392e-05
Position 374: 3.708463040566908e-05
Position 1176: 3.657140510167283e-05
Position 782: 3.5154502031903587e-05
Position 679: 2.9682014056577494e-05
Position 15: 2.7470687942067597e-05
Position 368: 2.5927008550696102e-05
Position 522: 2.4659253144254906e-05
Position 1213: 1.8977523307689335e-05
Position 625: 1.816531142594354e-05
Position 380: 1.335257993397787e-05
Position 274: 1.0076468856780917e-05
Position 795: 9.763786061402113e-06
Position 1034: 9.475130934644074e-06
Position 995: 7.925964898808548e-06
Position 998: 3.829305253144226e-06
Position 772: 3.4074213949614418e-06
Position 1017: 3.3357071609856785e-06
Position 433: 3.173179247938585e-06
Position 1256: 2.873895913924527e-06
Position 445: 2.757325277902743e-06
Position 1221: 2.27922831336866e-06
Position 237: 1.7973648552060008e-06
Position 1251: 1.7607157375633707e-06
Position 322: 1.5518495421979887e-06
Position 892: 1.4996386179949872e-06
Position 113: 1.2651414325499661e-06
Position 617: 8.980218784008762e-07
Position 472: 8.137438636431284e-07
Position 115: 7.042907045006355e-07
Position 450: 2.3091567294935517e-07
Position 439: 4.6655717904846946e-08
Position 221: 3.714538091636899e-08
Position 200: 3.357421164348787e-08
Position 1262: 2.380949369770055e-08
Position 1269: 2.263017022723586e-08
Position 452: 1.8751382762512433e-08
Position 283: 1.2431722475623142e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 206: 0.9877838991261242
Position 448: 0.969301678829232
Position 908: 0.9014242099595388
Position 726: 0.606119719690951
Position 931: 0.07351097078188007
Position 650: 0.07104667436656728
Position 571: 0.05497623143568231
Position 658: 0.028400508999087862
Position 767: 0.004883126628237029
Position 503: 0.003235418808540213
Position 751: 0.003110592703753749
Position 730: 0.0025348777766398692
Position 795: 0.002531715436953276
Position 877: 0.0019189365037221254
Position 1274: 0.0017858924567320394
Position 792: 0.001303999385399822
Position 472: 0.0007039676468777783
Position 1027: 0.0006609899817324443
Position 984: 0.0005820122449115963
Position 1055: 0.0004024284747231137
Position 249: 0.0003940374187179932
Position 933: 0.0003479399690379938
Position 817: 0.0002697958968099577
Position 87: 0.00021903359657306283
Position 450: 0.0001675833481819485
Position 772: 0.00016683967550942436
Position 1200: 0.00016498874005223957
Position 328: 0.00013774967787246806
Position 301: 0.0001327826743904241
Position 221: 0.0001280000118080393
Position 1241: 0.00010275785167033317
Position 742: 9.361484390720176e-05
Position 857: 8.327198662509947e-05
Position 371: 7.437740619537055e-05
Position 235: 7.14357354017954e-05
Position 990: 5.70109456638266e-05
Position 349: 4.784627073301567e-05
Position 778: 3.551531012564605e-05
Position 1171: 3.428488540125703e-05
Position 1062: 3.300968793995442e-05
Position 1302: 2.9069656897804275e-05
Position 1221: 1.2922256109758199e-05
Position 1296: 1.2847149429322266e-05
Position 1213: 1.2223696896888704e-05
Position 851: 9.580068707885462e-06
Position 1324: 9.498001085372004e-06
Position 522: 8.933449771900048e-06
Position 883: 8.07468966138534e-06
Position 665: 7.853328375279733e-06
Position 1117: 5.941729838805143e-06
Position 532: 3.7118569711700036e-06
Position 334: 3.6147613878302226e-06
Position 280: 3.4367711357930925e-06
Position 1092: 2.9504962279238626e-06
Position 1132: 2.2303096800517643e-06
Position 1179: 1.8946946219552184e-06
Position 319: 1.4555426762103014e-06
Position 256: 1.2727485976352509e-06
Position 865: 1.0568486442202123e-06
Position 1321: 8.26258259483315e-07
Position 940: 6.329970029525046e-07
Position 1138: 4.6485932195428306e-07
Position 322: 3.8546406321805543e-07
Position 421: 2.9876287799921927e-07
Position 172: 2.4695212126145555e-07
Position 1310: 1.728431888723575e-07
Position 237: 1.5714106346775685e-07
Position 175: 1.4735148408055828e-07
Position 103: 6.508860259463674e-08
Position 425: 5.959390741345258e-08
Position 351: 4.4262132182617046e-08
Position 61: 2.7117337709202703e-08
Position 398: 2.5129835810459022e-08
Position 307: 2.054544366194903e-08
Position 69: 1.1178109778678799e-08
Position 147: 1.8059655250828426e-10
Position 136: 1.6608214551167713e-10
Position 339: 2.9471185802105015e-11
Position 292: 1.3396077343328423e-11
Position 151: 4.153566767089108e-12
Position 155: 3.7796154326887284e-14
