Gene = Sfp78E
index = 1495
Annotated 5SS: [378]
Annotated 3SS: [439]
SMsplice 5SS: [362]
SMsplice 3SS: [439]
top_k =  1000
Partition function (log Z): -6.453712896133194

Sorted 5' Splice Sites (High to Low Probability):
Position 362: 0.63023146730813
Position 24: 0.33616913021983863
Position 266: 0.26713213278330716
Position 378: 0.17249876264521125
Position 272: 0.09129409849818819
Position 711: 0.023382179753479605
Position 604: 0.017375794216618095
Position 763: 0.015963425408131313
Position 41: 0.013567025277428963
Position 192: 0.013145404209519906
Position 496: 0.007957276602661812
Position 376: 0.006124451951734354
Position 227: 0.006121760142302417
Position 683: 0.005597421825124039
Position 263: 0.00293747453251947
Position 491: 0.0022773004456788466
Position 699: 0.0016335886255075596
Position 779: 0.0014267875847212399
Position 57: 0.0006559721035340838
Position 86: 0.0004514348043170535
Position 55: 0.00037774400048420947
Position 460: 0.0001941740100283546
Position 31: 0.00014350665424133245
Position 399: 0.00013987365636529384
Position 664: 0.00010161438063158881
Position 443: 8.69344496727968e-05
Position 477: 6.586431685259226e-05
Position 505: 6.377802011103337e-05
Position 301: 5.507137655416599e-05
Position 165: 5.14400150891734e-05
Position 88: 4.405056449376583e-05
Position 855: 3.5634642626518695e-05
Position 872: 3.5358754830731736e-05
Position 289: 3.087466958819483e-05
Position 151: 2.9411271427259334e-05
Position 280: 2.4127729556425557e-05
Position 576: 1.8512687046943187e-05
Position 578: 1.839349167785855e-05
Position 720: 1.7621986476297546e-05
Position 465: 1.588976145974506e-05
Position 827: 1.35860426847948e-05
Position 77: 1.1212673213451217e-05
Position 549: 7.831663252525933e-06
Position 625: 6.614676623024693e-06
Position 96: 4.1283508355096985e-06
Position 840: 3.408897574470035e-06
Position 230: 2.697958982280362e-06
Position 616: 2.4705144007690225e-06
Position 101: 2.3709371304617755e-06
Position 747: 2.350784100265607e-06
Position 402: 7.134532517824952e-07
Position 418: 2.291505347379257e-07
Position 452: 1.4889594637261636e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 439: 0.8826902329790987
Position 316: 0.2641232820702296
Position 83: 0.14649625889252232
Position 77: 0.09290334803309547
Position 320: 0.06795583841878497
Position 843: 0.054752758908268764
Position 125: 0.049992886602374095
Position 146: 0.011807514956004824
Position 660: 0.011613327889767822
Position 230: 0.00824029629678033
Position 165: 0.006974280754129198
Position 762: 0.005442484064403811
Position 601: 0.004199895722472755
Position 528: 0.003569274431259972
Position 883: 0.0010896021615540007
Position 901: 0.0007660128571882501
Position 495: 0.0007200523926092287
Position 923: 0.0006148745868888766
Position 698: 0.0006061225486051478
Position 171: 0.00046877406988711685
Position 570: 0.000362754487002538
Position 872: 0.0003518861123132154
Position 143: 0.00034866039349977767
Position 860: 0.00034081300257058424
Position 664: 0.0002202845304787847
Position 612: 0.00021491805321364365
Position 675: 0.00012436915731497438
Position 504: 0.00012203734995031512
Position 326: 0.00012162253952226937
Position 939: 0.00011035496108527847
Position 187: 7.049503612107984e-05
Position 477: 6.474954889942689e-05
Position 356: 1.8507011360765062e-05
Position 513: 1.8125288252510714e-05
Position 270: 1.8026653073126227e-05
Position 289: 7.076445133044214e-06
Position 173: 4.377253476474139e-06
Position 191: 3.727276129568343e-06
Position 367: 4.564574939267315e-07
Position 370: 1.0210282858673064e-07
Position 343: 3.1058670299851464e-08
Position 402: 1.9769347330651515e-08
Position 376: 1.6189604415960865e-08
Position 197: 6.243218993031777e-11
