Gene = Psf2
index = 1390
Annotated 5SS: [ 37 593]
Annotated 3SS: [342 650]
SMsplice 5SS: [593]
SMsplice 3SS: [650]
top_k =  1000
Partition function (log Z): -6.574862149453105

Sorted 5' Splice Sites (High to Low Probability):
Position 593: 0.8618568523783341
Position 310: 0.2311367521511039
Position 37: 0.053289710494842726
Position 597: 0.04391423085271746
Position 604: 0.032813005961873726
Position 71: 0.03199712362250597
Position 283: 0.012386671817496054
Position 28: 0.009806842464306458
Position 608: 0.007380356948404901
Position 995: 0.005844922200715945
Position 331: 0.002139608026115721
Position 986: 0.001875543812853421
Position 57: 0.0018009148128115807
Position 912: 0.0007720737129250845
Position 871: 0.0007651152068917987
Position 130: 0.0007468823811199157
Position 1093: 0.0005495319911018303
Position 304: 0.0003266000486685104
Position 959: 0.00025261356613775457
Position 933: 0.0002167469234358056
Position 980: 0.00020987361793621241
Position 1014: 0.0001997433353935307
Position 168: 0.00014484893443862418
Position 123: 0.00014371703272818485
Position 86: 0.00014169804074424782
Position 1039: 0.00013866178855819657
Position 211: 0.00013767791306825447
Position 25: 0.00012794968153855593
Position 751: 0.00010945565161884748
Position 116: 0.00010222512823189898
Position 528: 0.0001016488514817524
Position 184: 0.00010023858000271714
Position 1096: 8.180418760516368e-05
Position 285: 6.361425066470174e-05
Position 326: 5.743604121273287e-05
Position 201: 4.268071816586978e-05
Position 518: 3.715394672802247e-05
Position 253: 3.278525425942453e-05
Position 335: 3.2452333501209335e-05
Position 685: 3.194694070838039e-05
Position 96: 2.635332439893087e-05
Position 1115: 2.321674047345456e-05
Position 1067: 2.1042221338956155e-05
Position 1086: 2.0213448944101964e-05
Position 780: 1.1408357954566927e-05
Position 671: 6.7391457531582984e-06
Position 696: 3.6580505878653998e-06
Position 314: 2.996270407073172e-06
Position 444: 2.5484036981706777e-06
Position 651: 2.4897758387104685e-06
Position 1005: 2.4888436830599877e-06
Position 485: 2.332345690541583e-06
Position 463: 1.9608943625227826e-06
Position 1026: 1.7812750382179196e-06
Position 471: 6.628623512173487e-07
Position 731: 6.207412417652976e-07
Position 107: 5.459877472973556e-07
Position 477: 3.4837864514430737e-07
Position 616: 1.2103106049523187e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 650: 0.9780367338023672
Position 412: 0.18602308009741894
Position 342: 0.037163081418871154
Position 147: 0.018641616469015805
Position 1160: 0.01859201461283145
Position 394: 0.016642675136797094
Position 86: 0.012194316427180668
Position 221: 0.010151591676887298
Position 537: 0.007133463771405564
Position 116: 0.006492540392734
Position 218: 0.002632071652982575
Position 113: 0.0019324200500771016
Position 180: 0.0012245168614494271
Position 907: 0.0011059059500328132
Position 156: 0.0009216496977979534
Position 869: 0.0006343395472439996
Position 688: 0.0006006691455204262
Position 459: 0.00039798943334827676
Position 696: 0.00026432139892740135
Position 1014: 0.0002576831283994871
Position 518: 0.00018377779666266757
Position 1054: 0.0001579920166406365
Position 509: 0.00015183272523521983
Position 123: 0.00011470459954939424
Position 841: 5.999342347545413e-05
Position 177: 4.864478743862717e-05
Position 973: 4.5700039675119126e-05
Position 816: 3.559295664623165e-05
Position 1074: 3.1717293331276676e-05
Position 1026: 2.5147079981702713e-05
Position 1115: 2.0537705546022146e-05
Position 861: 1.782113802470166e-05
Position 918: 1.6570580182773497e-05
Position 741: 1.2802791734590348e-05
Position 1061: 1.0176440594774747e-05
Position 941: 9.364220864883684e-06
Position 759: 7.5322539384729276e-06
Position 235: 7.400616293716983e-06
Position 275: 7.146156949612549e-06
Position 572: 5.797230241490284e-06
Position 260: 5.647985844086228e-06
Position 223: 3.842581792360543e-06
Position 1067: 3.6396167051434545e-06
Position 242: 3.0627685438627175e-06
Position 1077: 2.625722166702039e-06
Position 738: 2.030856286704592e-06
Position 563: 1.5967818948521326e-06
Position 837: 1.4333017791925186e-06
Position 959: 9.500790434643919e-07
Position 419: 8.59663706726772e-07
Position 149: 7.067088357983401e-07
Position 282: 5.25338223873938e-07
Position 575: 4.711930992714348e-07
Position 304: 2.2482398780901333e-07
Position 584: 2.2288249218555872e-07
Position 1096: 1.9753328284991587e-07
Position 244: 9.761811151097269e-08
Position 163: 3.9865309451806166e-08
Position 267: 1.0826912562609532e-08
