Gene = Rcd4
index = 1413
Annotated 5SS: [410]
Annotated 3SS: [473]
SMsplice 5SS: [410]
SMsplice 3SS: [473]
top_k =  1000
Partition function (log Z): -6.156589243398619

Sorted 5' Splice Sites (High to Low Probability):
Position 410: 0.9742805355838877
Position 420: 0.016412765793001445
Position 295: 0.00411349078057941
Position 261: 0.003606992870292049
Position 63: 0.0018025501515456829
Position 108: 0.0006774334336280875
Position 323: 0.0006548365827515501
Position 61: 0.0003562739205711931
Position 16: 0.0001810656635279486
Position 243: 0.00015218923900385932
Position 231: 7.937974439130866e-05
Position 213: 4.570798138486847e-05
Position 657: 4.491032525630412e-05
Position 84: 2.515534686679692e-05
Position 27: 2.4168598790098197e-05
Position 191: 1.9805568096143635e-05
Position 302: 1.7720591776063323e-05
Position 155: 1.1604880367635638e-05
Position 32: 1.1512759357848868e-05
Position 119: 1.106476559410807e-05
Position 197: 1.0763664645376408e-05
Position 37: 5.529276853274915e-06
Position 678: 5.3965007306888595e-06
Position 25: 4.779669359246267e-06
Position 8: 4.34266225358398e-06
Position 432: 3.880201913658879e-06
Position 175: 2.3294880098004172e-06
Position 525: 2.091109419666542e-06
Position 555: 1.7732710113997985e-06
Position 690: 8.455124965914191e-07
Position 172: 3.437571617206889e-07
Position 510: 3.337326864106381e-07
Position 537: 2.4311855246365e-07
Position 3: 1.978062816759939e-07
Position 507: 1.867412019391915e-07
Position 439: 8.265975816082952e-08
Position 505: 5.8715414122961615e-08
Position 519: 4.684930299706819e-08
Position 549: 4.588016376671316e-08
Position 161: 2.0130203239178997e-08
Position 459: 1.8683032976342095e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 473: 0.9929909650783668
Position 485: 0.004064466875542883
Position 409: 0.0028310796841880667
Position 111: 0.0016064860767938092
Position 146: 0.0004189501237508593
Position 135: 0.00022032456127483744
Position 364: 8.497972563949049e-05
Position 334: 8.321732399255151e-05
Position 568: 6.581674564230138e-05
Position 231: 5.156061900180298e-05
Position 243: 4.9148760099201704e-05
Position 714: 3.103386879102243e-05
Position 742: 2.2634354859005635e-05
Position 587: 1.9820065385510804e-05
Position 299: 6.754684482926084e-06
Position 331: 3.871551773766731e-06
Position 600: 3.85494889816097e-06
Position 295: 3.5819427718902013e-06
Position 625: 2.7863923717541923e-06
Position 617: 2.628593040911889e-06
Position 385: 1.6904340063043394e-06
Position 683: 1.4475451645961293e-06
Position 660: 1.0735450095734632e-06
Position 758: 9.235305059624498e-07
Position 251: 7.086242176541857e-07
Position 260: 5.905545025156475e-07
Position 639: 4.65684255163286e-07
Position 340: 3.2729273201634157e-07
Position 289: 2.849153676139996e-07
Position 745: 2.708933968488154e-07
Position 257: 2.4353585039191034e-07
Position 61: 1.7549673390523082e-07
Position 635: 1.5587715357535958e-07
Position 419: 6.980049285298588e-08
Position 84: 2.3929873542998914e-08
Position 788: 2.014093784961163e-08
Position 690: 1.2145737964873182e-08
Position 48: 1.1809959191753606e-08
Position 50: 7.0206952093815e-09
Position 657: 6.127902153264214e-09
Position 119: 2.8397901680060955e-09
Position 760: 2.901690980568917e-10
