Gene = ms(3)76Ba
index = 1798
Annotated 5SS: [192 287]
Annotated 3SS: [253 346]
SMsplice 5SS: [192]
SMsplice 3SS: [346]
top_k =  1000
Partition function (log Z): -6.229522156978354

Sorted 5' Splice Sites (High to Low Probability):
Position 192: 0.9454376218570564
Position 287: 0.18604091029744382
Position 385: 0.007249125142577194
Position 768: 0.005608361532959266
Position 119: 0.0030674107454706123
Position 905: 0.0016419651238636641
Position 1121: 0.0015364793527573332
Position 390: 0.0010821056530146717
Position 1916: 0.0005199424687277487
Position 267: 0.0002926976765570698
Position 1108: 0.00017981500096170454
Position 1552: 0.00017810502312852496
Position 1872: 0.0001639526135320564
Position 918: 0.00014853160703315446
Position 1456: 9.557621389456929e-05
Position 435: 9.340766496434838e-05
Position 593: 7.711436855288456e-05
Position 438: 6.71934776211083e-05
Position 735: 6.672120813756178e-05
Position 1754: 5.734960718241387e-05
Position 1706: 5.4455458220456803e-05
Position 702: 4.873720942195212e-05
Position 1221: 3.031666924417001e-05
Position 2359: 3.0085735541138336e-05
Position 2270: 2.9949588746710235e-05
Position 691: 2.9062586141687863e-05
Position 451: 2.8377323995677285e-05
Position 1175: 2.7597055211648123e-05
Position 1742: 1.4549477383907545e-05
Position 911: 1.3672528899064953e-05
Position 540: 1.0422464671475822e-05
Position 1401: 9.783364803745068e-06
Position 1299: 7.059785593452627e-06
Position 555: 4.770892307471137e-06
Position 89: 2.2812290956333977e-06
Position 39: 1.1778049053583397e-06
Position 60: 9.994471437709793e-07
Position 246: 3.505451449432112e-08
Position 902: 2.9892970640362016e-08
Position 818: 2.7259697473043463e-08
Position 75: 2.228086945743239e-08
Position 596: 1.960435263807285e-08
Position 891: 1.9243878749148884e-08
Position 374: 1.618158974674958e-08
Position 746: 7.185600051247754e-09
Position 393: 5.192941416066823e-09
Position 1020: 4.177882013521301e-09
Position 607: 2.4050145659173984e-09
Position 1232: 1.989448055411079e-09
Position 343: 1.3092757437793803e-09
Position 349: 3.4321463161606715e-10
Position 379: 2.67701433322919e-10
Position 642: 1.9734205320430733e-10
Position 748: 1.4703834167101807e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 346: 0.6954805615567926
Position 253: 0.18724578185604246
Position 343: 0.06843672230017626
Position 634: 0.04332015027114316
Position 1430: 0.038279897516452034
Position 1262: 0.024036359197785368
Position 267: 0.020969589895596046
Position 374: 0.017429707992302767
Position 359: 0.009436005445098702
Position 389: 0.008388935141872536
Position 1812: 0.006479884472384372
Position 1211: 0.002412593290010306
Position 1196: 0.0019341281911476932
Position 291: 0.001719546491255989
Position 564: 0.0015793096982937226
Position 1993: 0.0014918181657189512
Position 1400: 0.0014144675173898482
Position 995: 0.0013653737539382677
Position 660: 0.0013639696684213704
Position 191: 0.0013507421296593393
Position 1576: 0.0013030181594179124
Position 470: 0.001277902518463057
Position 818: 0.0011133521134655579
Position 1008: 0.001086855160857941
Position 2059: 0.0009610073293317479
Position 1053: 0.0009580217806907311
Position 272: 0.0008188129969894099
Position 1995: 0.0007479887767169708
Position 2256: 0.0007204876982686286
Position 1975: 0.0006140184667999993
Position 1138: 0.0005932594833107138
Position 1313: 0.0005523884629656261
Position 451: 0.0004693656157086034
Position 1058: 0.0004581841373401144
Position 537: 0.0004480698722252994
Position 1108: 0.00042971708851307917
Position 435: 0.0004067122803152022
Position 2125: 0.00038765540807029743
Position 865: 0.00038720187250435007
Position 1864: 0.0003290467927681929
Position 1519: 0.0003090372924295188
Position 869: 0.0002822584832732031
Position 1542: 0.00026993133567714987
Position 1939: 0.0002644525931417409
Position 1646: 0.00025977861346555516
Position 2151: 0.00025920910936310206
Position 1434: 0.0002572903678830195
Position 1232: 0.0002462412608082844
Position 968: 0.00023530571686918998
Position 1742: 0.00023298048608826608
Position 1466: 0.00020060598881852673
Position 1766: 0.00019731083208745462
Position 1704: 0.00017657349834233026
Position 722: 0.0001576833039471015
Position 1340: 0.00014482279458234474
Position 1835: 0.00014480050902669698
Position 447: 0.00013744438494374292
Position 1217: 0.00012962192811024074
Position 2013: 0.00012691246185185604
Position 1020: 0.00011758101865686303
Position 2339: 0.00011156718488583337
Position 1436: 0.0001088645780071853
Position 1525: 0.00010142450459651545
Position 547: 9.580211216862981e-05
Position 507: 8.137369846426107e-05
Position 1612: 7.81686629396178e-05
Position 1380: 6.453829756105227e-05
Position 2310: 5.8678972463956004e-05
Position 2001: 5.366389255557108e-05
Position 1116: 5.195547297513951e-05
Position 1269: 4.837055887434334e-05
Position 691: 4.6326420482301135e-05
Position 2024: 4.239490996601262e-05
Position 2413: 4.0107023148989786e-05
Position 1659: 3.939777874668124e-05
Position 963: 3.858942599339622e-05
Position 1826: 3.848033210585526e-05
Position 1085: 3.824850457154564e-05
Position 1385: 3.723999339661145e-05
Position 707: 3.5919733655349484e-05
Position 2168: 3.5841781720257134e-05
Position 1514: 3.1686666485930764e-05
Position 902: 3.0891325109080776e-05
Position 1143: 2.9603393797802182e-05
Position 1786: 2.8768447300700666e-05
Position 948: 2.187612497355039e-05
Position 1651: 2.1616685220217638e-05
Position 1407: 2.0009093371623344e-05
Position 1454: 1.808637779788096e-05
Position 2100: 1.698611370073552e-05
Position 1623: 1.620113006852252e-05
Position 1571: 1.4737808319854667e-05
Position 2270: 1.4012276779555346e-05
Position 1580: 1.300304765672321e-05
Position 2438: 1.2652667470916219e-05
Position 973: 1.2431726230916329e-05
Position 1711: 1.230365085960867e-05
Position 1722: 9.698509341071718e-06
Position 165: 6.32935696952431e-06
Position 637: 6.113382036772101e-06
Position 509: 5.689430932641841e-06
Position 2448: 4.662473765840904e-06
Position 2424: 3.14317932438028e-06
Position 108: 1.8533298159643334e-06
Position 123: 5.476054710257904e-08
Position 153: 3.734498270379504e-08
Position 129: 1.1118249301508793e-08
Position 136: 1.0099437012119004e-08
Position 478: 9.722685621753584e-10
Position 150: 5.896769569663858e-10
Position 488: 2.670825192237953e-10
Position 125: 1.1582259517677018e-10
Position 677: 9.096059529623698e-11
Position 196: 3.873659126610401e-11
Position 131: 1.015181478150579e-11
