Gene = nesd
index = 1816
Annotated 5SS: [ 382 1968]
Annotated 3SS: [ 466 2030]
SMsplice 5SS: [  10  382 1968]
SMsplice 3SS: [  78  466 2030]
top_k =  1000
Partition function (log Z): -3.591113547888492

Sorted 5' Splice Sites (High to Low Probability):
Position 382: 0.9734379500572744
Position 1968: 0.8982026070240027
Position 10: 0.6279977624683536
Position 29: 0.022921135172323442
Position 14: 0.01318598809984678
Position 580: 0.010035081265574048
Position 1679: 0.009890645340309822
Position 629: 0.009176524223059104
Position 333: 0.005533281177557225
Position 2054: 0.005084206322359838
Position 556: 0.0022587606650214887
Position 1216: 0.0014001951152649097
Position 1243: 0.000688657675579278
Position 1840: 0.0006862903391742614
Position 979: 0.0006073610037877558
Position 1741: 0.0005606871695285889
Position 822: 0.0002744305144481266
Position 2188: 0.0002351926468335731
Position 1540: 0.00022255370854211396
Position 589: 0.00021328604555947235
Position 161: 0.00018072167549723368
Position 1982: 0.0001715682726892404
Position 1321: 0.00015847012342765012
Position 1507: 0.00014497030970833677
Position 851: 0.00012539157958464932
Position 809: 0.0001185121039466979
Position 1853: 0.0001060760443755076
Position 1361: 9.291322513360488e-05
Position 1939: 5.419724837456879e-05
Position 1985: 4.8654194078789524e-05
Position 1933: 4.708265341500813e-05
Position 820: 4.390722263034982e-05
Position 787: 2.580709548532172e-05
Position 637: 2.3323043514248692e-05
Position 691: 2.1113372070194552e-05
Position 855: 1.9967702764493616e-05
Position 128: 1.8473920249737735e-05
Position 1860: 1.305711217481714e-05
Position 79: 1.2754420294571283e-05
Position 357: 1.1994929234749288e-05
Position 100: 1.1556958403872378e-05
Position 742: 6.8855107962023665e-06
Position 646: 5.614187441231387e-06
Position 726: 4.959295433468518e-06
Position 586: 3.499806689526892e-06
Position 294: 2.4134600894420413e-06
Position 547: 1.9513413614422595e-06
Position 1240: 1.7476446737735054e-06
Position 218: 1.0702890870485397e-06
Position 302: 8.482702257736999e-07
Position 2108: 5.15203614745372e-07
Position 263: 1.9514293237243174e-07
Position 243: 8.473014216498617e-08
Position 344: 5.924823309946565e-08
Position 315: 3.865478451615194e-08
Position 415: 1.1423787433485835e-08
Position 1101: 1.0607793720326829e-08
