Gene = PIG-C
index = 1357
Annotated 5SS: [541]
Annotated 3SS: [642]
SMsplice 5SS: [541]
SMsplice 3SS: [598]
top_k =  1000
Partition function (log Z): -6.292456517160487

Sorted 5' Splice Sites (High to Low Probability):
Position 541: 0.9904008281506862
Position 194: 0.1788121926408223
Position 161: 0.011460588815624515
Position 13: 0.006989597145804461
Position 1109: 0.004495100177914388
Position 573: 0.0007940408296336989
Position 1043: 0.0006208908521280093
Position 818: 0.0006204502424498331
Position 202: 0.0005558954787750939
Position 833: 0.0004477263928520206
Position 847: 0.00040782760015182915
Position 828: 0.0002963772025568702
Position 43: 0.0002833603399280124
Position 391: 0.0002015334564492465
Position 394: 7.263133250400725e-05
Position 564: 7.250684408334425e-05
Position 292: 7.099634792093918e-05
Position 174: 4.499258040577367e-05
Position 1054: 2.6249525402087e-05
Position 76: 2.4707618556049564e-05
Position 327: 2.1413065083077836e-05
Position 344: 1.7521176647740076e-05
Position 705: 1.1209867981224087e-05
Position 532: 1.1129447295519035e-05
Position 385: 9.139672741086464e-06
Position 566: 7.428988085268964e-06
Position 299: 6.718326702022868e-06
Position 523: 6.048845466999553e-06
Position 87: 5.979079926172578e-06
Position 632: 4.040059238011915e-06
Position 739: 3.558507099187829e-06
Position 1026: 1.8476837422894257e-06
Position 727: 1.5262093629850675e-06
Position 718: 5.796510355859066e-07
Position 1133: 3.809767797855128e-07
Position 921: 3.0840478365224096e-07
Position 927: 2.7434645701165954e-07
Position 961: 2.644391207069248e-07
Position 271: 7.42021088037239e-08
Position 748: 3.8610233638471836e-09
Position 795: 2.6125465262421504e-09
Position 651: 2.193846201343601e-09
Position 481: 1.5529920367262857e-09
Position 646: 1.4450038101897675e-09
Position 625: 3.4385427703303807e-10
Position 273: 1.9997009298073026e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 598: 0.5483842451762176
Position 637: 0.3409004689487279
Position 263: 0.1396138791818966
Position 642: 0.06210202681163404
Position 269: 0.02260607849115405
Position 299: 0.018533376260730955
Position 918: 0.014985561834692584
Position 915: 0.010945661849764827
Position 921: 0.010493496374074662
Position 216: 0.007122486709601888
Position 69: 0.006668006487917951
Position 1164: 0.006277919844054963
Position 685: 0.0049756376596857095
Position 441: 0.0011159146506652942
Position 391: 0.0009798246616586112
Position 1175: 0.00036765116722358647
Position 313: 0.00035979456856264914
Position 1002: 0.00015126342013253025
Position 164: 5.03507992168188e-05
Position 202: 4.98597072769462e-05
Position 449: 3.913850851629216e-05
Position 526: 2.6628608186429847e-05
Position 772: 1.2641665883907036e-05
Position 673: 8.46027775365636e-06
Position 1008: 5.957252598874132e-06
Position 341: 5.062663512770668e-06
Position 350: 3.94152237312109e-06
Position 128: 3.8390075606117495e-06
Position 1172: 3.6122847876722707e-06
Position 1021: 3.097207557609701e-06
Position 1026: 2.998937985996353e-06
Position 1124: 2.171840738404922e-06
Position 732: 1.7311812455709166e-06
Position 81: 1.7071420052905788e-06
Position 337: 1.1136574681755668e-06
Position 540: 7.617011979136918e-07
Position 184: 6.007034215948597e-07
Position 1046: 2.662842157530731e-07
Position 927: 2.327418136977123e-07
Position 344: 2.1287946294607507e-07
Position 544: 1.701061281645424e-07
Position 138: 9.752767845860318e-08
Position 369: 4.2655860400791567e-10
