Gene = E(z)
index = 1143
Annotated 5SS: [ 491 1285 1507 1705 2135 2383 3015]
Annotated 3SS: [ 552 1345 1689 2036 2192 2444 3082]
SMsplice 5SS: [  89  491 1285 1507 2135 2383 3015]
SMsplice 3SS: [ 153  552 1345 2036 2192 2444 3082]
top_k =  1000
Partition function (log Z): 12.986159276951895

Sorted 5' Splice Sites (High to Low Probability):
Position 2135: 0.9993220018902707
Position 89: 0.9862359711728821
Position 1507: 0.974137147017216
Position 3015: 0.9537990218545056
Position 1285: 0.9380435694157516
Position 491: 0.8986396569002616
Position 2383: 0.7165181349765687
Position 2697: 0.06832403160277899
Position 1986: 0.05324545184200162
Position 1938: 0.038395065753158535
Position 1705: 0.023904671722003504
Position 984: 0.022833623640742377
Position 2343: 0.022566557324027015
Position 656: 0.016420857644264975
Position 1289: 0.013687728253581999
Position 2995: 0.013376851250677078
Position 1305: 0.013034309461731255
Position 695: 0.011626472016651634
Position 1046: 0.01105476977065534
Position 2287: 0.010029985250149124
Position 2394: 0.009406543042373008
Position 1970: 0.009316557047173313
Position 3220: 0.00796581170172523
Position 2272: 0.005300508210524254
Position 1848: 0.004953742302974518
Position 3231: 0.004264448532476983
Position 878: 0.002855385865783602
Position 1068: 0.00243044377949619
Position 70: 0.001933262889904444
Position 1831: 0.0019124598038559207
Position 599: 0.001841362610052376
Position 684: 0.0017740859544142066
Position 2473: 0.0013920842187358595
Position 788: 0.0013729433594433548
Position 2737: 0.001097114236481241
Position 2993: 0.0007294870681976012
Position 3271: 0.0006929289168625047
Position 821: 0.0006416765300088149
Position 2522: 0.0006126085056007553
Position 1169: 0.0005385436638972709
Position 1859: 0.0005242667733489149
Position 308: 0.00045440786792619146
Position 509: 0.0003906064442972275
Position 2676: 0.0003731812860034371
Position 201: 0.0003282967394711415
Position 2524: 0.00032256363643874843
Position 2291: 0.00031999757224161475
Position 1877: 0.00031278442654692406
Position 333: 0.0003067763458998208
Position 93: 0.0003022375849395387
Position 2735: 0.0002903796182773439
Position 745: 0.00026840812509802285
Position 773: 0.00026557482463232323
Position 2584: 0.00026517072229619997
Position 1540: 0.00023632548350631478
Position 3143: 0.0002137528469446612
Position 1897: 0.00021316707463263124
Position 2582: 0.00018785371407988223
Position 2406: 0.00018619308019429012
Position 3274: 0.00017469723504734516
Position 2466: 0.0001717137068966641
Position 739: 0.00016520590164075674
Position 1428: 0.00015891902422376415
Position 73: 0.00015777724603149653
Position 2387: 0.0001533439248076991
Position 841: 0.00014822648438160514
Position 2128: 0.00013517998619535913
Position 2999: 0.00011916075503615457
Position 2821: 0.00011801127930715434
Position 2680: 0.00010101129572724898
Position 2614: 8.752883713119571e-05
Position 60: 8.638502147851434e-05
Position 1012: 8.152772457825222e-05
Position 707: 7.673562190102019e-05
Position 2853: 7.638482307876918e-05
Position 1511: 7.08022841158108e-05
Position 106: 7.080132166268232e-05
Position 1667: 5.343605303488824e-05
Position 639: 5.253248821122553e-05
Position 3306: 5.1246424001525584e-05
Position 3237: 5.033163702133762e-05
Position 320: 4.912688472741133e-05
Position 1049: 4.728107794196933e-05
Position 719: 4.662147919062627e-05
Position 1796: 4.3850014671069415e-05
Position 932: 3.982418847437023e-05
Position 1309: 3.576061479637177e-05
Position 3346: 3.552191771578555e-05
Position 536: 3.158567319481256e-05
Position 1563: 2.7663571575695173e-05
Position 257: 2.7317214959723313e-05
Position 1857: 2.7012231197132777e-05
Position 2139: 2.6980865585947007e-05
Position 1899: 2.659645008108822e-05
Position 923: 2.461780304586077e-05
Position 1583: 2.3810724658462984e-05
Position 1622: 2.3345835961442885e-05
Position 2915: 2.1965406087103506e-05
Position 1181: 2.1192410812438978e-05
Position 1121: 2.084747308208343e-05
Position 2510: 1.91424769995862e-05
Position 1477: 1.747218985789003e-05
Position 1760: 1.640751599444818e-05
Position 1558: 1.501031254913329e-05
Position 322: 1.4031205814694931e-05
Position 2983: 1.2615895234912216e-05
Position 1718: 1.2123301878766727e-05
Position 476: 1.2023105737955143e-05
Position 1190: 1.11467276289268e-05
Position 22: 8.391081261696756e-06
Position 2962: 8.267565611806802e-06
Position 572: 7.529960415492504e-06
Position 2923: 6.829615874131701e-06
Position 2358: 6.522464680638618e-06
Position 641: 6.521238393583845e-06
Position 901: 6.0464498676173074e-06
Position 215: 6.045869386781931e-06
Position 265: 5.78330167903194e-06
Position 1474: 5.3820035022165555e-06
Position 2683: 4.8004063831273275e-06
Position 42: 4.589906410030243e-06
Position 2925: 3.7648392808529356e-06
Position 2694: 3.6937478253563858e-06
Position 3159: 3.3024648215723024e-06
Position 2055: 2.8639652055354916e-06
Position 3176: 2.501894699852362e-06
Position 3212: 2.3687995091648706e-06
Position 19: 2.1517150132247282e-06
Position 1768: 2.0422966481488784e-06
Position 242: 1.98951490334095e-06
Position 236: 1.88785179270365e-06
Position 419: 1.759342806790057e-06
Position 2005: 1.7115337748778234e-06
Position 1690: 1.5521725681015766e-06
Position 515: 1.5235814024199964e-06
Position 413: 1.5160168816527747e-06
Position 1721: 1.430621361499861e-06
Position 1471: 1.402525643813295e-06
Position 583: 1.2958866729370978e-06
Position 1346: 9.739621063925476e-07
Position 454: 9.46189650833092e-07
Position 2577: 6.885087395781495e-07
Position 1724: 6.801157316561842e-07
Position 282: 5.295957806032741e-07
Position 2166: 4.5821827947780577e-07
Position 384: 4.0945106014510096e-07
Position 153: 1.8594914432370496e-07
Position 2073: 1.7470639553034438e-07
Position 353: 1.4494975379886167e-07
Position 234: 6.580363092547117e-08
Position 2416: 4.759057816369111e-08
Position 2418: 3.9051744360968274e-08
Position 632: 2.0103319221241132e-08
Position 2898: 4.732348806178169e-09
Position 2590: 4.73103555815887e-09
Position 2896: 3.95949475590895e-09
Position 408: 4.3268479974308626e-10
Position 395: 3.4184155822179107e-10
Position 406: 2.860459005492045e-10
Position 592: 2.77051757134948e-11
Position 2477: 7.983143906259508e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 2192: 0.9979398053415782
Position 3082: 0.9854883366768151
Position 1345: 0.9686669920774275
Position 2036: 0.9414454634727926
Position 552: 0.8551919506457881
Position 2444: 0.7417613214695491
Position 153: 0.6739788469728474
Position 257: 0.27890144084384416
Position 1689: 0.14531996214349896
Position 1084: 0.0349976798675111
Position 2915: 0.03238129691722359
Position 2800: 0.026898010482911232
