Gene = RpIIIC53
index = 1432
Annotated 5SS: [415 854 995]
Annotated 3SS: [ 473  925 1046]
SMsplice 5SS: [415 854 995]
SMsplice 3SS: [ 473  925 1046]
top_k =  1000
Partition function (log Z): -0.21389259684565215

Sorted 5' Splice Sites (High to Low Probability):
Position 415: 0.9569807689311597
Position 854: 0.9193358514977841
Position 995: 0.8703189957471354
Position 1372: 0.025806480559708942
Position 1152: 0.018864154655891936
Position 261: 0.018858969487044394
Position 374: 0.013244358064631331
Position 563: 0.01058322457117377
Position 240: 0.008176010363875937
Position 1629: 0.003539177059982613
Position 1645: 0.003329887309188318
Position 342: 0.0022610923441388235
Position 419: 0.0019027172056576215
Position 32: 0.0012297810033674204
Position 1388: 0.0008965199337266376
Position 398: 0.0007089133564937011
Position 1637: 0.0005633332801419564
Position 29: 0.000541370326925555
Position 1126: 0.00041039266702002546
Position 858: 0.000321837857055381
Position 1488: 0.0003129242490000898
Position 554: 0.0002908325059553997
Position 686: 0.0002596622706131448
Position 17: 0.00020129337165223274
Position 1328: 0.00015556525738155328
Position 1383: 0.00013872298354104007
Position 156: 0.00010568818421032504
Position 1131: 8.532846076260753e-05
Position 643: 7.44147211336688e-05
Position 3: 7.30128936523354e-05
Position 34: 6.144474644519103e-05
Position 557: 4.249893097316913e-05
Position 524: 3.75603655302816e-05
Position 276: 3.429633632541673e-05
Position 651: 3.407255679042798e-05
Position 1462: 2.8957466976578358e-05
Position 1466: 2.175415591673104e-05
Position 1272: 1.9078248046784026e-05
Position 270: 1.0970156943886752e-05
Position 422: 1.0711833777790313e-05
Position 19: 9.301508069997374e-06
Position 696: 8.418714555700256e-06
Position 244: 7.748969115237782e-06
Position 231: 7.6212851161857255e-06
Position 974: 6.540693548526889e-06
Position 1609: 5.847948908929083e-06
Position 265: 5.429501573610691e-06
Position 1431: 4.339047522081947e-06
Position 1215: 3.6240334507216496e-06
Position 694: 2.509545892532855e-06
Position 771: 2.3957863309927393e-06
Position 715: 2.3450432995091604e-06
Position 637: 2.227029144874173e-06
Position 1326: 2.015145765061865e-06
Position 1217: 1.9905353580366913e-06
Position 142: 1.2413298453357158e-06
Position 203: 1.188728457382642e-06
Position 530: 7.889934472661655e-07
Position 782: 7.779719322383303e-07
Position 1598: 3.693239241772631e-07
