Gene = RpL36A
index = 1443
Annotated 5SS: [ 87 470]
Annotated 3SS: [295 783]
SMsplice 5SS: [ 87 218 470]
SMsplice 3SS: [155 295 783]
top_k =  1000
Partition function (log Z): -1.6960510473256067

Sorted 5' Splice Sites (High to Low Probability):
Position 470: 0.9784178478315245
Position 218: 0.7670936054203844
Position 87: 0.7343091181963772
Position 441: 0.006626089268816198
Position 228: 0.0038535432225377773
Position 222: 0.002500110068349166
Position 246: 0.0011256393155653591
Position 965: 0.0006362840132707612
Position 968: 0.00038783257474334857
Position 884: 0.0003332833093378477
Position 93: 0.00026217266679964314
Position 48: 0.0002607567910516227
Position 611: 0.0001726767216626668
Position 359: 0.00016166499618180743
Position 190: 0.00010193031062991774
Position 268: 7.748780429664053e-05
Position 296: 7.550298841103433e-05
Position 432: 6.268011033701467e-05
Position 652: 5.762418504618466e-05
Position 140: 5.20837663824019e-05
Position 283: 4.3145605504566715e-05
Position 106: 2.3131938779218702e-05
Position 569: 2.184534002634027e-05
Position 474: 1.8946884103309806e-05
Position 123: 1.7997870677429396e-05
Position 408: 9.5169036330802e-06
Position 860: 9.191709521844683e-06
Position 975: 8.274796955109625e-06
Position 915: 5.532184442611565e-06
Position 671: 5.474683049398477e-06
Position 248: 4.118643403257255e-06
Position 486: 3.9520353895351384e-06
Position 367: 3.6618514418479206e-06
Position 745: 3.6486441056855456e-06
Position 376: 2.9345743708072294e-06
Position 187: 2.802828415655539e-06
Position 640: 2.6113054742589304e-06
Position 674: 1.7953703368738686e-06
Position 341: 1.6527928270564664e-06
Position 660: 1.6400694499795275e-06
Position 812: 1.2941913822553553e-06
Position 411: 1.0026174472313446e-06
Position 302: 9.494808352240258e-07
Position 624: 3.85580836957069e-07
Position 591: 3.098831258757328e-07
Position 334: 2.935810004438746e-07
Position 285: 1.340542937680786e-07
Position 676: 7.51988943335177e-08
Position 805: 6.308482528855912e-08
Position 766: 4.5206158113382353e-08
Position 978: 4.250255225070606e-08
Position 819: 2.1022261802889364e-08
Position 828: 1.872240800782499e-08
Position 287: 7.29811428768858e-09
Position 643: 2.0119465203821516e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 783: 0.9811337391893513
Position 295: 0.9084917309062055
Position 155: 0.30930288020547425
Position 140: 0.28736183991286746
Position 1025: 0.0036833791708804826
Position 846: 0.0023028620261107244
Position 184: 0.0008441037252003742
Position 543: 0.0007229999338028171
Position 789: 0.0006493267285586173
Position 331: 0.0004569497561441458
Position 572: 0.0004406883699761913
Position 334: 0.00037031633760705867
Position 843: 0.00025236826718364033
Position 630: 0.00024280278014327054
Position 858: 9.705303775652647e-05
Position 665: 8.635371087371106e-05
Position 766: 8.059623995776916e-05
Position 340: 5.700802812294219e-05
Position 714: 3.402946233081408e-05
Position 801: 3.089248629692435e-05
Position 187: 1.7557551001836637e-05
Position 798: 1.628971517498836e-05
Position 349: 1.2923474563677073e-05
Position 367: 1.2592791991239115e-05
Position 260: 1.1094814593990005e-05
Position 965: 1.0459252899506457e-05
Position 867: 9.261161374909646e-06
Position 358: 7.183745970437745e-06
Position 462: 5.942434625924423e-06
Position 376: 4.94156604357344e-06
Position 828: 2.9924770112714214e-06
Position 420: 2.973548597854185e-06
Position 1032: 1.3752114047102927e-06
Position 373: 1.337849311694439e-06
Position 157: 1.0799466389664864e-06
Position 385: 1.0448026380241345e-06
Position 921: 9.263292194121698e-07
Position 430: 7.086611198365134e-07
Position 819: 3.5133959554871507e-07
Position 906: 2.9672189482956794e-07
Position 382: 2.671854569350144e-07
Position 427: 1.7989355269837038e-07
Position 405: 1.7032269021265611e-07
Position 876: 9.637214498999668e-08
Position 400: 8.893488662895316e-08
Position 466: 8.775585837783459e-08
Position 218: 8.637136963329807e-08
Position 391: 7.786195166497393e-08
Position 445: 4.4839885388321225e-08
Position 894: 2.7081492819969484e-08
Position 915: 2.3466040261902914e-08
Position 91: 1.796551049785226e-08
Position 440: 1.7444216060030552e-08
Position 451: 1.2852195620528051e-08
