Gene = Clamp
index = 1078
Annotated 5SS: [ 256  764 1024 1507 1841 2094]
Annotated 3SS: [ 499  822 1076 1566 1889 2155]
SMsplice 5SS: [ 256  764 1024 1507 1841 2094]
SMsplice 3SS: [ 499  822 1076 1566 1925 2155]
top_k =  1000
Partition function (log Z): 6.03406787942701

Sorted 5' Splice Sites (High to Low Probability):
Position 764: 0.9975930488247694
Position 1507: 0.9813924483598666
Position 2094: 0.884578249279803
Position 256: 0.8628815052538742
Position 1841: 0.6432893817747942
Position 1024: 0.624544236122226
Position 2581: 0.36145465254641435
Position 1812: 0.19195748512258026
Position 970: 0.10931394155989708
Position 1110: 0.10845815145877347
Position 403: 0.043512429793882236
Position 1028: 0.029704849366438645
Position 3058: 0.027949003268504424
Position 1681: 0.01667770060376662
Position 387: 0.015053047738709056
Position 1800: 0.012202419671616149
Position 3292: 0.008476935422892913
Position 2382: 0.007729494104067046
Position 1654: 0.007205397150446725
Position 2609: 0.006764275156458227
Position 3089: 0.006263576954125559
Position 997: 0.006167869342671447
Position 2044: 0.003206973194888326
Position 2408: 0.002968238611722449
Position 377: 0.002803738622197051
Position 1510: 0.0027810107305727134
Position 234: 0.0024518721863926
Position 2477: 0.002288617047768392
Position 1279: 0.002124997904600829
Position 407: 0.0020953189040900577
Position 1434: 0.0020768726121930215
Position 2324: 0.0020654351721362514
Position 291: 0.002018788983025581
Position 2571: 0.001789491015007354
Position 249: 0.0016406951023415636
Position 1845: 0.001428992276873022
Position 1103: 0.0014271484998206888
Position 3129: 0.0013529652633723368
Position 2899: 0.0013098229340285142
Position 87: 0.001261579527823101
Position 2818: 0.0012252082345356745
Position 1767: 0.0012081627106306657
Position 69: 0.0011571854153944413
Position 1233: 0.0011177319082104602
Position 286: 0.0011133856504606573
Position 48: 0.0010059539985267838
Position 2941: 0.0009709620756487986
Position 1943: 0.0008788873995737208
Position 947: 0.0008754618545034476
Position 299: 0.0008086141544162679
Position 1513: 0.0007858748749390655
Position 1830: 0.0007335748622932062
Position 355: 0.0006631244310281532
Position 2245: 0.0006507341235696226
Position 244: 0.0005246542664683771
Position 1890: 0.0004991812077765018
Position 1824: 0.00044627856179945704
Position 123: 0.0004382966907252802
Position 768: 0.00032867151954435887
Position 2585: 0.00032645393597811266
Position 1761: 0.0003254502125836281
Position 563: 0.0002767701570513365
Position 75: 0.00026446145561081683
Position 1685: 0.00022769194371298674
Position 220: 0.00022657287997002862
Position 1338: 0.0002197871142703881
Position 1105: 0.00021787501156895648
Position 546: 0.0002168416582489299
Position 1964: 0.00021222823958838108
Position 2010: 0.00020333428937132354
Position 2991: 0.00020060207850052588
Position 2238: 0.00019185740804901117
Position 1758: 0.00016763756147500453
Position 1994: 0.0001333669014255884
Position 345: 0.000124503995199971
Position 239: 0.00011794100036059629
Position 2240: 0.00010629868076337349
Position 3086: 0.0001048894891456723
Position 17: 8.61698520552094e-05
Position 1928: 8.554154385800338e-05
Position 445: 8.212522894736293e-05
Position 2675: 7.973312019939451e-05
Position 2595: 7.211494346541255e-05
Position 574: 6.845052760580203e-05
Position 3266: 5.9405991022014775e-05
Position 2523: 5.8244957266537156e-05
