Gene = mxt
index = 1811
Annotated 5SS: [  57 1654 2042 2209 2584 3127 3578 3756]
Annotated 3SS: [1078 1719 2136 2522 2648 3183 3636 4947]
SMsplice 5SS: [  57 1654 2042 2584 2987 3127 3578 3756]
SMsplice 3SS: [1078 1719 2343 2648 3052 3183 3636 4947]
top_k =  1000
Partition function (log Z): 14.276687823856568

Sorted 5' Splice Sites (High to Low Probability):
Position 1654: 0.9991560305461602
Position 3578: 0.9902766004642749
Position 2584: 0.9616609675177255
Position 3127: 0.9290412296898792
Position 2042: 0.9246629448455247
Position 3756: 0.8297745672675325
Position 2987: 0.7692783175720718
Position 57: 0.7681243908686806
Position 4490: 0.25085501887384554
Position 4857: 0.14035636669023127
Position 576: 0.06843061276878237
Position 1017: 0.06579133163564987
Position 2209: 0.03983532298349692
Position 1033: 0.02490242842957941
Position 2593: 0.024120817281576584
Position 2992: 0.017353377101850247
Position 4758: 0.015962592889028838
Position 4772: 0.014349943232300925
Position 1006: 0.01317297060736289
Position 195: 0.008774571456426884
Position 4375: 0.008263241900531904
Position 3787: 0.00807967020349584
Position 3131: 0.007673622672610692
Position 3530: 0.007250053309193272
Position 4703: 0.006430300436273756
Position 215: 0.006386124253605969
Position 4659: 0.006052984630061653
Position 132: 0.005535074755107294
Position 67: 0.005277113295182486
Position 4232: 0.005111326284223287
Position 2588: 0.005107992443004821
Position 4869: 0.004996967081100627
Position 1937: 0.004875380788181278
Position 1450: 0.004326539985066246
Position 885: 0.004287499337511168
Position 770: 0.003441933424236028
Position 652: 0.0032427465732010603
Position 4083: 0.003127578737390153
Position 1025: 0.00310867040754901
Position 5138: 0.0030418111745989986
Position 3846: 0.00277718846656013
Position 4196: 0.0026853443799270092
Position 3152: 0.0021973168148852165
Position 14: 0.0021041474111726556
Position 4861: 0.0020820964114900554
Position 2421: 0.0016708545169968176
Position 957: 0.0015973279046519917
Position 1348: 0.0014415244746598718
Position 5108: 0.000977518707250199
Position 1474: 0.0009477930062405562
Position 3121: 0.0008435958800598835
Position 2136: 0.0007995904190789624
Position 1476: 0.0007168415311837586
Position 4523: 0.0007128302327965768
Position 411: 0.0006876199450717294
Position 648: 0.000685167573511964
Position 622: 0.0006547061543904567
Position 1942: 0.0006441430354977332
Position 2999: 0.0005630919900024425
Position 4596: 0.0005351569961978167
Position 1151: 0.0004471140140904782
Position 1949: 0.00042563679325459
Position 1387: 0.0004050281913135498
Position 973: 0.00039257617110856856
Position 927: 0.0003871521451805892
Position 1658: 0.0003843233415665186
Position 1085: 0.0003763955533073632
Position 4707: 0.0003531664229167379
Position 2801: 0.00033932871965415307
Position 491: 0.0003237493410893256
Position 4143: 0.0003132334393261617
Position 2698: 0.0003078331110461599
Position 1391: 0.0002654438782634013
Position 1663: 0.00023669706666311558
Position 3136: 0.00023433385835027688
Position 804: 0.00022931570266905349
Position 2773: 0.00022833807656509532
Position 3142: 0.00022545779371044308
Position 1368: 0.00022396147787953806
Position 218: 0.00019694305694127292
Position 199: 0.00016547905962697825
Position 1801: 0.00015931823155443406
Position 51: 0.0001522923689972283
Position 3389: 0.00014952311108800027
Position 865: 0.00014811384325176828
Position 3049: 0.000125198890158285
Position 4049: 0.00012425949176457146
Position 526: 0.00012223101795547865
Position 3161: 0.00012027891543346887
Position 4481: 0.00011323168800655761
Position 3053: 0.0001118585547458302
Position 2926: 8.643481830507404e-05
Position 4841: 8.4278412248182e-05
Position 580: 8.292454192550352e-05
Position 5584: 8.062565884234385e-05
Position 2226: 6.986418689543644e-05
Position 113: 6.460171710530455e-05
Position 1897: 6.106111894811067e-05
Position 4326: 6.046749360381911e-05
Position 386: 6.004325189325386e-05
Position 1381: 5.909989719703461e-05
Position 2235: 5.880595885442014e-05
Position 502: 5.7126978842046265e-05
Position 1799: 5.586790765061718e-05
Position 2386: 5.347433164407682e-05
Position 1326: 5.3291819883480255e-05
Position 645: 4.9305515686557316e-05
Position 4382: 4.912287836060876e-05
Position 333: 4.3534335135262126e-05
Position 4725: 4.346010114141846e-05
Position 1789: 4.2326540786509866e-05
Position 101: 4.1077155056639545e-05
Position 1805: 4.089558065324865e-05
Position 168: 3.986982666873757e-05
Position 4224: 3.810620171762648e-05
Position 1279: 3.2908204711748106e-05
