Gene = eIF3i
index = 1685
Annotated 5SS: [ 85 752]
Annotated 3SS: [261 806]
SMsplice 5SS: [ 85 752]
SMsplice 3SS: [261 806]
top_k =  1000
Partition function (log Z): -2.4826718124780784

Sorted 5' Splice Sites (High to Low Probability):
Position 752: 0.9962170363586389
Position 85: 0.5341816113928975
Position 452: 0.06917892491586704
Position 171: 0.05700077561383207
Position 179: 0.012095236167065027
Position 131: 0.010035236820318314
Position 473: 0.009169794161195085
Position 173: 0.006671000531486242
Position 184: 0.0028893923527683633
Position 504: 0.0026020278004082686
Position 15: 0.002169485186522989
Position 1082: 0.002131794599070353
Position 96: 0.0018676900026055369
Position 1111: 0.0018451442128126978
Position 182: 0.0014340652711304358
Position 843: 0.0009417703704848509
Position 544: 0.0009114553484131672
Position 416: 0.0008540085295355021
Position 111: 0.0008067945339209252
Position 1244: 0.0007878464127830236
Position 925: 0.00036560817826489364
Position 857: 0.00035091312490424223
Position 756: 0.00026167885574660487
Position 1013: 0.00025231776345527573
Position 961: 0.0002496322495439844
Position 31: 0.00022825538894254927
Position 369: 0.00017147326139107814
Position 227: 0.00013308794391745732
Position 514: 0.00013161820875505037
Position 904: 0.00012252257574564361
Position 426: 0.00011613400473189289
Position 421: 8.70298648073731e-05
Position 1266: 7.476054915370761e-05
Position 725: 6.575274490500923e-05
Position 13: 5.726978906392643e-05
Position 1316: 5.10479650503951e-05
Position 364: 4.297465111485897e-05
Position 849: 3.7792264175626456e-05
Position 617: 3.746018095140221e-05
Position 25: 3.264018202226507e-05
Position 720: 3.2630641358973916e-05
Position 499: 3.0262689301570195e-05
Position 49: 2.9852254531804672e-05
Position 241: 2.7514863768061076e-05
Position 717: 2.747544576984714e-05
Position 263: 2.4358871907491688e-05
Position 89: 2.2252187850877245e-05
Position 1305: 1.7305963295871748e-05
Position 309: 1.5295967240001687e-05
Position 366: 1.1855749376320887e-05
Position 537: 1.1675957681100103e-05
Position 1291: 8.612796134432993e-06
Position 1294: 8.033767313341442e-06
Position 1308: 7.967749045105264e-06
Position 982: 7.182560569167584e-06
Position 290: 6.7515958104094165e-06
Position 1215: 6.434730295454732e-06
Position 624: 6.425937134316957e-06
Position 1239: 5.816090861503234e-06
Position 18: 5.583758568330989e-06
Position 929: 5.514561901293652e-06
Position 1298: 5.437850914938064e-06
Position 1093: 5.238461575231091e-06
Position 436: 4.759038565042179e-06
Position 711: 4.3465212820884655e-06
Position 1008: 4.313005710485002e-06
Position 1065: 3.6697226478128826e-06
Position 973: 2.092371830583652e-06
Position 34: 1.5696611608797355e-06
Position 1188: 1.5577059783472081e-06
Position 860: 1.5571036805953656e-06
Position 1052: 1.4878296516416072e-06
Position 758: 1.424093634072352e-06
Position 251: 1.2287552251544303e-06
Position 389: 1.121072178114931e-06
Position 699: 9.109525936048593e-07
Position 807: 8.538920488478897e-07
Position 407: 3.778682620442298e-07
Position 267: 2.7151638068430737e-07
Position 637: 2.2135672934520607e-07
Position 1248: 5.308458788629906e-08
Position 797: 3.043344872013158e-09
Position 657: 9.202760232380635e-10
Position 660: 6.74478411802308e-10
Position 786: 3.728366665048557e-10
Position 1049: 2.7197298935880286e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 806: 0.9968508539696475
Position 261: 0.5899095951691931
Position 537: 0.04343272654149259
Position 140: 0.020883551569002776
Position 669: 0.018411006594086867
Position 579: 0.012644714142714676
Position 279: 0.009327494832735195
Position 583: 0.005269240192323502
Position 1188: 0.005168467310720096
Position 348: 0.002272535108928819
Position 309: 0.001890557355990327
Position 171: 0.0015183823645235123
Position 554: 0.0012581489219211555
Position 904: 0.0010150548658817843
Position 563: 0.0009982756085421044
Position 215: 0.0009304015225861451
Position 612: 0.0007167394361581533
Position 504: 0.0006689973053774619
Position 856: 0.000620422041835878
Position 847: 0.0005537764247358846
Position 1377: 0.0005212893730374796
Position 1308: 0.0003607882905971261
Position 882: 0.0003461447780843991
Position 601: 0.00025221939358668454
Position 991: 0.00012835386138010157
Position 414: 0.00012301059586865523
Position 489: 0.00012163198315136953
Position 1032: 0.00011842508822380587
Position 666: 0.00010623948175888251
Position 973: 9.26854846256795e-05
Position 1325: 8.854800552583293e-05
Position 1294: 5.926947693170136e-05
Position 614: 5.781347119322263e-05
Position 1305: 4.7410929573906445e-05
Position 943: 3.2912526777452435e-05
Position 354: 3.2491139275133226e-05
Position 1165: 2.6192115661661105e-05
Position 1013: 2.42502066604402e-05
Position 1319: 2.314974553045066e-05
Position 357: 1.572931590404868e-05
Position 1070: 1.5055364485677477e-05
Position 1102: 1.4095897947196543e-05
Position 1255: 1.396267924437291e-05
Position 321: 9.555927790204916e-06
Position 1316: 9.098912689129082e-06
Position 1144: 9.007174734231848e-06
Position 1147: 8.294695534321128e-06
Position 913: 7.77916653627369e-06
Position 672: 6.795530175499705e-06
Position 179: 3.2848141565777438e-06
Position 1399: 1.5466413553031445e-06
Position 1150: 1.1647884760673126e-06
Position 447: 1.0924421367821541e-06
Position 385: 7.488511845110014e-07
Position 111: 6.841467687836821e-07
Position 1213: 6.383058214286763e-07
Position 288: 5.92160666657506e-08
Position 751: 4.983073508804447e-10
Position 456: 2.0504936234720874e-11
