Gene = l(3)76BDm
index = 1754
Annotated 5SS: [ 242  698 1682 1988 2505 3512 3998]
Annotated 3SS: [ 535  756 1738 2041 2598 3571 4127]
SMsplice 5SS: [ 242  698 1682 1988 2505 3512 3998]
SMsplice 3SS: [ 535  756 1738 2041 2598 3571 4127]
top_k =  1000
Partition function (log Z): 22.802233965395242

Sorted 5' Splice Sites (High to Low Probability):
Position 698: 0.9982921383570301
Position 2505: 0.9938816585851087
Position 1988: 0.9828927098462378
Position 1682: 0.977656491210393
Position 3998: 0.9737588008954311
Position 242: 0.947148656773061
Position 3512: 0.9334667995559037
Position 3337: 0.06688981504487715
Position 3699: 0.06537973419699676
Position 2228: 0.05066275709005176
Position 2894: 0.026501045136893376
Position 3516: 0.02223283483706832
Position 294: 0.01885254777910482
Position 3014: 0.01749202817229545
Position 1146: 0.01657536728155306
Position 1965: 0.013724542071238749
Position 441: 0.013710131110190987
Position 1921: 0.009605494209510188
Position 2332: 0.008781472023622491
Position 808: 0.008581406690339377
Position 3823: 0.008304807435637261
Position 4763: 0.007884469718293298
Position 977: 0.007451575826833175
Position 265: 0.007012427681746595
Position 1631: 0.006809763854140134
Position 3221: 0.006063847740434215
Position 3055: 0.005442186892338105
Position 3769: 0.005160763357815414
Position 3018: 0.004623209960639725
Position 3509: 0.0041931535519832384
Position 289: 0.0035179103735730605
Position 1135: 0.0033626282183263478
Position 273: 0.003159226823538496
Position 3703: 0.002803038253634421
Position 2653: 0.0024780898975542845
Position 6: 0.002199797427973314
Position 2513: 0.002187367931888749
Position 1189: 0.0020696669417234015
Position 2509: 0.001842151174567938
Position 996: 0.001829928823612391
Position 2668: 0.0016880863194414755
Position 3990: 0.0016215409955608346
Position 2794: 0.0015245378911811684
Position 2260: 0.0014974011381540303
Position 4995: 0.0013645446160900662
Position 1011: 0.0012446996973624475
Position 1296: 0.0011310159980882138
Position 3374: 0.0010650833444602764
Position 1006: 0.001048390563613754
Position 4382: 0.0009882130846799143
Position 794: 0.000961546078926793
Position 1980: 0.0008650256348024844
Position 3682: 0.0008076304743802841
Position 437: 0.0007482465580408462
Position 362: 0.0007128262687335528
Position 934: 0.0007061205159433558
Position 980: 0.0006799295707409886
Position 386: 0.0006718469322185241
Position 3936: 0.0006215038125479273
Position 2202: 0.0005863203427400113
Position 258: 0.0005659093224699545
Position 3194: 0.0005452035022267918
Position 327: 0.0005324876455351949
Position 462: 0.0005175624777874054
Position 704: 0.0005035076465097042
Position 1097: 0.0004895588973674091
Position 1399: 0.00048672541574208564
Position 2319: 0.00044890039337387375
Position 34: 0.0004185831689792051
Position 2998: 0.00041568023136576236
Position 1775: 0.00041260933400468673
Position 2939: 0.0003883385706016023
Position 269: 0.00036600059669253756
Position 1166: 0.0003574649913453603
Position 4064: 0.0003467134057491524
Position 246: 0.00033430654802726184
Position 1258: 0.00033328946448719536
Position 3175: 0.00033010358417547524
Position 2486: 0.0003212903157884027
Position 409: 0.00030785794397603853
Position 2244: 0.00028127371985035366
