Gene = l(3)mbn
index = 1755
Annotated 5SS: [ 279  447 2454 3735 4001]
Annotated 3SS: [ 337 2309 2813 3937 4068]
SMsplice 5SS: [ 279  447 2454 2982 4001]
SMsplice 3SS: [ 337 2309 2813 3937 4068]
top_k =  1000
Partition function (log Z): 5.787697738148984

Sorted 5' Splice Sites (High to Low Probability):
Position 2454: 0.998329022261983
Position 447: 0.9914292331138612
Position 4001: 0.859158621215198
Position 2982: 0.8137576032074243
Position 279: 0.6939161409390479
Position 3735: 0.5065932421719883
Position 1977: 0.09409340110111268
Position 3422: 0.06918504818624836
Position 2907: 0.014817205627955363
Position 3197: 0.01323795233194924
Position 2096: 0.010419215401944704
Position 70: 0.009564048389566
Position 3900: 0.007570552917931258
Position 2234: 0.005618257688352037
Position 25: 0.004940860915510279
Position 1168: 0.0037327332772933795
Position 3069: 0.003345269491909974
Position 455: 0.0031350186897825976
Position 3860: 0.003093945744673353
Position 3744: 0.0024388699152282814
Position 3581: 0.0023378323445254084
Position 1952: 0.002313898889233841
Position 2669: 0.002161218622973694
Position 2057: 0.002056824049931576
Position 2708: 0.0018312490856687228
Position 3518: 0.001733684245627479
Position 3455: 0.0017271495094949754
Position 3257: 0.0016367797219468032
Position 4591: 0.0015598103764101188
Position 1594: 0.001547168136633889
Position 3287: 0.001480578637940145
Position 3310: 0.0014284140380954437
Position 3764: 0.0012980555523410544
Position 2878: 0.0011818225902589276
Position 4005: 0.0009222685637810071
Position 2722: 0.000849850873165385
Position 1253: 0.0008446129867778379
Position 126: 0.0008423013051296397
Position 4315: 0.0008401167849120939
Position 1322: 0.0008296234543408248
Position 733: 0.0008058407191487112
Position 2444: 0.0007099204422914867
Position 826: 0.0006656447609766235
Position 3994: 0.0005917762217241624
Position 1467: 0.0005507371784559485
Position 166: 0.000540702623421159
Position 2103: 0.0005346520945632233
Position 881: 0.0005312574038231885
Position 505: 0.0005153096436094098
Position 2765: 0.0005039762657505233
Position 2901: 0.000469313178739074
Position 2108: 0.0004153578958972379
Position 958: 0.00038521372129309814
Position 1290: 0.00038374822037462095
Position 386: 0.00037468550684079024
Position 1177: 0.0003479643962997771
Position 120: 0.0003375023378256966
Position 3531: 0.00028798116083979356
Position 2138: 0.00026629743229204236
Position 2448: 0.0002593617464812696
Position 1805: 0.0002582857856936657
Position 804: 0.00024611559366797663
Position 1480: 0.00023258244828693647
Position 974: 0.0002271996308669129
Position 89: 0.00020713295704518072
Position 3594: 0.00019882173776748207
Position 266: 0.00019654819640852218
Position 2693: 0.00018779045904689348
Position 3468: 0.00017584501313184175
Position 4330: 0.00017117670725944265
Position 1063: 0.0001688248744735828
Position 716: 0.0001470411625049599
Position 1349: 0.0001377086850418822
Position 270: 0.0001313693511874697
Position 2458: 0.00012107657649062172
Position 1634: 0.00011626978524741114
Position 1524: 0.00011566087451522804
Position 1456: 0.00011366644375535435
Position 2759: 0.00011262701927151334
Position 3017: 9.877274252414014e-05
Position 4438: 9.843047110325984e-05
Position 1956: 9.732947416774477e-05
Position 1078: 9.61689971327176e-05
Position 2662: 8.819547617668999e-05
Position 1138: 6.62236165304929e-05
Position 1503: 6.553985060010355e-05
Position 1610: 6.398071696904516e-05
Position 2202: 6.318287757653369e-05
Position 934: 5.236887801240435e-05
Position 3392: 5.1426034780026595e-05
Position 3185: 5.1412667178449066e-05
Position 20: 5.112987500554194e-05
Position 4579: 4.815015079798124e-05
Position 2543: 4.780704816008467e-05
Position 4132: 4.5218925823990775e-05
Position 1035: 4.520821809389241e-05
Position 213: 4.1866391021352066e-05
Position 2116: 4.0747104101131335e-05
Position 660: 3.888340035415331e-05
Position 3545: 3.498342455233952e-05
Position 709: 3.486239975834017e-05
Position 283: 3.478085883068394e-05
Position 3417: 3.427141693411653e-05
Position 889: 2.9865658518268818e-05
Position 291: 2.860807797369962e-05
Position 3482: 2.6631311223156844e-05
Position 849: 2.660405936561756e-05
Position 831: 2.2959298491485494e-05
Position 1462: 2.131897853075779e-05
Position 2620: 2.1192320705932425e-05
Position 539: 1.622540707168301e-05
Position 1145: 1.5107196984760326e-05
Position 700: 1.4584286898971648e-05
Position 824: 1.379209903108188e-05
Position 400: 1.2819779304401086e-05
Position 3060: 1.181705780159441e-05
Position 1869: 1.1689210566845477e-05
Position 2923: 1.1607317562727212e-05
Position 2048: 1.1434785115210636e-05
Position 164: 1.0763126512686546e-05
Position 3022: 1.0382630216075506e-05
Position 2358: 1.0092725678779879e-05
Position 81: 9.778891019944825e-06
Position 274: 7.822703291763196e-06
Position 179: 6.52776572533822e-06
Position 829: 6.011965920554042e-06
Position 2642: 5.558291738799696e-06
Position 2864: 4.964962277581135e-06
Position 193: 4.3738065396485465e-06
Position 3323: 4.115039937864996e-06
Position 3368: 3.70675652568111e-06
Position 2702: 3.673093723349264e-06
Position 817: 3.2305342270042902e-06
Position 29: 3.1234702483023182e-06
Position 3053: 2.2610723128374604e-06
Position 2843: 1.927446191286329e-06
Position 2439: 1.7729082428398925e-06
Position 158: 1.7507935934411032e-06
Position 27: 1.2933993835209508e-06
Position 53: 1.1042147886086495e-06
Position 146: 1.101434222902016e-06
Position 2375: 1.0778818206866388e-06
Position 2910: 1.0114033064128425e-06
