Gene = Tdrd3
index = 1549
Annotated 5SS: [  91  228 2423]
Annotated 3SS: [ 142  301 2527]
SMsplice 5SS: [  91  228 2423 2807]
SMsplice 3SS: [ 142  301 2527 2868]
top_k =  1000
Partition function (log Z): 7.07743534351928

Sorted 5' Splice Sites (High to Low Probability):
Position 228: 0.9937280819137125
Position 91: 0.9879755365858512
Position 2423: 0.9802899240138586
Position 2807: 0.8541236142091304
Position 366: 0.05847761826209003
Position 1218: 0.05373262310697365
Position 1622: 0.013630103032447159
Position 1922: 0.011121579644293451
Position 724: 0.008100808554909507
Position 2448: 0.006952757555246024
Position 383: 0.005119839385892192
Position 2606: 0.0047067829950218675
Position 1890: 0.004528900780387065
Position 2462: 0.0039094990244558986
Position 235: 0.002665567508416082
Position 2456: 0.0021482869555223146
Position 1064: 0.0014366055175807925
Position 1381: 0.0013333016082393827
Position 1430: 0.0012823731073343487
Position 2465: 0.0010334076586149714
Position 1953: 0.000941270771299333
Position 926: 0.0007313102813242818
Position 2826: 0.0005796312581223533
Position 1046: 0.0005390911856094182
Position 687: 0.0005164954687338881
Position 2433: 0.00047422863007259283
Position 2404: 0.00046581473846269106
Position 1434: 0.0004059358708901049
Position 465: 0.0003609461473747853
Position 88: 0.00031301174478421453
Position 2817: 0.0002829057746866016
Position 2427: 0.0002389428460961085
Position 1599: 0.00022819444742184882
Position 210: 0.0002173153307557154
Position 1110: 0.00020907434990882857
Position 1133: 0.00019744986765043347
Position 2026: 0.00016681108542295641
Position 392: 0.00016005961039736904
Position 95: 0.00015356195352938078
Position 390: 0.00015342790780929237
Position 2615: 0.0001473170515264536
Position 1168: 0.00014005600331665248
Position 232: 0.000139920058572429
Position 1655: 0.00011516116067950595
Position 2475: 0.00010829247474013612
Position 2765: 0.00010227019611848279
Position 83: 9.357920522318212e-05
Position 598: 8.231410487781037e-05
Position 527: 7.777878970055542e-05
Position 1050: 7.605503744153235e-05
Position 454: 5.4463924486671295e-05
Position 900: 5.360563156329242e-05
