Gene = mtDNA-helicase
index = 1801
Annotated 5SS: [319 815]
Annotated 3SS: [376 983]
SMsplice 5SS: [319 815]
SMsplice 3SS: [376 983]
top_k =  1000
Partition function (log Z): -4.782924620348542

Sorted 5' Splice Sites (High to Low Probability):
Position 319: 0.9690474568068186
Position 815: 0.7923326125880689
Position 734: 0.12232153191983262
Position 303: 0.009157609727707098
Position 880: 0.005039947495618416
Position 2099: 0.0038478769444474617
Position 152: 0.0036599924898876
Position 1322: 0.002589702052976319
Position 353: 0.002557735938279635
Position 1528: 0.0019997488634742313
Position 1669: 0.0017500609912064172
Position 763: 0.0013895387289144822
Position 757: 0.0009166224478933192
Position 1407: 0.0009127332268680757
Position 652: 0.0008685451451998582
Position 594: 0.0007582125828496471
Position 922: 0.0006515884007292611
Position 936: 0.0005874949736411546
Position 864: 0.00047802446747498273
Position 520: 0.00047315585135591074
Position 1691: 0.0004281519135298349
Position 1313: 0.0004097919178759815
Position 356: 0.0003646619128213977
Position 664: 0.0003609265744678276
Position 819: 0.00021431892231479278
Position 1327: 0.0001671833323664584
Position 1072: 0.00010423155486971091
Position 258: 7.397789415032281e-05
Position 646: 7.204526013684694e-05
Position 853: 6.347922202970191e-05
Position 1343: 5.712582010139977e-05
Position 517: 5.6386742423086406e-05
Position 627: 5.356932874967646e-05
Position 454: 4.393441081904766e-05
Position 40: 3.2752094344303536e-05
Position 1682: 3.19890288164156e-05
Position 1238: 2.8975816612014398e-05
Position 1532: 2.6843754601415727e-05
Position 111: 2.0587487575842373e-05
Position 61: 1.9802098390624716e-05
Position 1747: 1.8617030665579744e-05
Position 1463: 1.3639685253861856e-05
Position 1555: 1.3224349849994434e-05
Position 403: 1.250336870444262e-05
Position 82: 8.151345040357633e-06
Position 1666: 7.831710544102399e-06
Position 487: 7.449218725446217e-06
Position 212: 6.730665995013404e-06
Position 1564: 5.337794654210019e-06
Position 1126: 3.818964131101242e-06
Position 84: 2.4792577998968805e-06
Position 787: 2.2546462911251507e-06
Position 114: 6.637201394290696e-07
Position 156: 6.10183437897857e-07
Position 536: 4.882034193314792e-07
Position 131: 4.3972732336992466e-07
Position 56: 3.5695323628116985e-07
Position 227: 3.080556377891685e-07
Position 666: 1.1109617081560348e-07
Position 1724: 5.2368501138571454e-08
