Gene = bib
index = 1628
Annotated 5SS: [ 502 2311 3083 7818]
Annotated 3SS: [2143 2955 7609 8621]
SMsplice 5SS: [ 502 2311 3083 7818]
SMsplice 3SS: [2143 2955 7609 8621]
top_k =  1000
Partition function (log Z): 4.61366826760975

Sorted 5' Splice Sites (High to Low Probability):
Position 502: 0.9987919274102941
Position 2311: 0.9891127293402614
Position 3083: 0.9848409148390957
Position 7818: 0.981111232545806
Position 7120: 0.18821080198652312
Position 3696: 0.07829896520840542
Position 3762: 0.06407310828939075
Position 8561: 0.055183572004272125
Position 8941: 0.031433359141893144
Position 8030: 0.02641705413490301
Position 7325: 0.025567609019521136
Position 7516: 0.018941478357678336
Position 8040: 0.017693741749327654
Position 4251: 0.015144670739089242
Position 6192: 0.011213522528821204
Position 9047: 0.01016458374430615
Position 8995: 0.009546263891633655
Position 9146: 0.006206004761255891
Position 4446: 0.0061788434967054206
Position 10145: 0.005585195050252447
Position 7107: 0.004719467503215082
Position 9749: 0.004631086171177239
Position 8979: 0.004534271548569029
Position 864: 0.003972108275471628
Position 8235: 0.0036045000251194617
Position 1951: 0.0035941959337673058
Position 8315: 0.0034672729374610554
Position 1396: 0.0032630508976677565
Position 9071: 0.0031883587132397026
Position 7309: 0.002775171312179334
Position 10712: 0.0027639228032831234
Position 10412: 0.0027031071644729966
Position 8738: 0.002652059693242734
Position 9816: 0.0025800063319456994
Position 8712: 0.00230822625304091
Position 7527: 0.0022343327404622535
Position 8230: 0.0019243925784622538
Position 1042: 0.0018854961710638065
Position 1902: 0.0018051926713015852
Position 10725: 0.0017331458638361605
Position 8867: 0.0017294445009903348
Position 9578: 0.0015992390428174394
Position 7521: 0.0015452904173034851
Position 1878: 0.001540342828826897
Position 8075: 0.0015089631430732693
Position 9196: 0.0014913587518217183
Position 95: 0.001435681611643499
Position 2084: 0.0013722907454828072
Position 1245: 0.0012065198238431763
Position 181: 0.0011752613109714742
Position 8809: 0.001110236297673233
Position 6040: 0.001082877424369215
Position 9092: 0.001029226216537651
Position 8019: 0.0010184169365235825
Position 3149: 0.0009862447421424244
Position 76: 0.0009393967134389654
Position 2700: 0.0008881553352195672
Position 2601: 0.000806094822314914
Position 4157: 0.0008045375546577876
Position 6104: 0.0006741661946846559
Position 127: 0.0006140432076249687
Position 7089: 0.000602699808643812
Position 1534: 0.0005965630524712364
Position 7043: 0.0005899103176105762
Position 10328: 0.0005866761575410895
Position 6916: 0.0005719317169816696
Position 5165: 0.0005709923773693378
Position 9217: 0.0005044833171480946
Position 8744: 0.000498962624102401
Position 9076: 0.0004867565298719152
Position 3934: 0.00046136827652450683
Position 7872: 0.0004396776073838031
Position 4258: 0.00037410087300697393
Position 7371: 0.0003434777596515476
Position 5369: 0.0003373472745767315
Position 4057: 0.0003294343164759572
Position 7982: 0.00029945185555051336
Position 7716: 0.0002895872168884434
Position 3994: 0.00028518821944511905
Position 7053: 0.0002799239833311946
Position 941: 0.00026915328571667504
Position 120: 0.00026103884225048957
Position 1313: 0.0002564273295802472
Position 9605: 0.0002555938593193604
Position 4879: 0.00024269101767595574
Position 1563: 0.00023205727453743158
