Gene = morgue
index = 1793
Annotated 5SS: [217]
Annotated 3SS: [278]
SMsplice 5SS: [217]
SMsplice 3SS: [278]
top_k =  1000
Partition function (log Z): -3.3612749959239823

Sorted 5' Splice Sites (High to Low Probability):
Position 217: 0.9923160887404564
Position 1341: 0.01220438060762656
Position 193: 0.007135808466186848
Position 477: 0.0009259194910495341
Position 14: 0.0007573854064125265
Position 221: 0.0005327691707033453
Position 21: 0.0004017571530673585
Position 1544: 0.00031055154110120166
Position 1140: 0.0002566222380368701
Position 846: 0.00022387325882276859
Position 1586: 0.00014890177086964888
Position 1577: 8.8352574028831e-05
Position 1449: 8.451257073099184e-05
Position 1646: 4.894530475068493e-05
Position 1289: 4.484130018857865e-05
Position 1165: 2.4316900872486553e-05
Position 1557: 2.265518360379966e-05
Position 1025: 2.177320259635481e-05
Position 1016: 1.4929112196654125e-05
Position 1671: 9.099430039428244e-06
Position 962: 8.10729677320132e-06
Position 1689: 5.4011230713480494e-06
Position 1701: 5.301213871857038e-06
Position 1345: 4.982670452136981e-06
Position 994: 3.892239634724082e-06
Position 362: 3.25199348030533e-06
Position 903: 3.164026434748412e-06
Position 700: 3.103786479573674e-06
Position 898: 2.591424633687924e-06
Position 525: 2.5818990055332626e-06
Position 1668: 2.5627748832242887e-06
Position 825: 2.150539459310928e-06
Position 805: 2.127609300117531e-06
Position 1392: 1.5143665212070924e-06
Position 1217: 1.497364901556485e-06
Position 609: 1.102298007569064e-06
Position 297: 1.0602572725287957e-06
Position 1484: 9.389497787095063e-07
Position 236: 9.162282624490366e-07
Position 25: 8.949201320103168e-07
Position 953: 7.099270735709342e-07
Position 437: 6.567250180041183e-07
Position 68: 5.594610829205629e-07
Position 986: 5.36647884768793e-07
Position 638: 5.086268461989283e-07
Position 1087: 4.4929617571263516e-07
Position 338: 3.302721298952236e-07
Position 1440: 3.1340254965168637e-07
Position 1298: 2.9230633196038886e-07
Position 1494: 2.525834772115281e-07
Position 1270: 2.3248029755682508e-07
Position 40: 2.1944385391803476e-07
Position 1424: 1.9922449157967398e-07
Position 588: 1.6973895370073815e-07
Position 283: 6.642401339009522e-08
Position 1704: 5.9273454542852844e-08
Position 1687: 4.9859112516964946e-08
Position 52: 2.9817122597711023e-08
Position 140: 2.6141731078693537e-08
Position 1081: 9.514999627041847e-09
Position 63: 8.375285183724525e-09
Position 887: 7.397665006072676e-09
Position 840: 5.353150975635634e-09
Position 768: 4.2119011864886365e-09
Position 927: 4.18421933038697e-09
Position 85: 4.420330663656362e-10
Position 1374: 2.8567263381533954e-10
Position 1040: 2.2708658309220584e-10
Position 117: 2.1924802191035213e-10
Position 335: 9.79032940372353e-11
Position 881: 8.654224620437389e-11
Position 299: 6.566214940691725e-11
Position 1461: 3.6381871104945815e-11
Position 1054: 8.206501073371717e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 278: 0.998555591748039
Position 1415: 0.005933625297996867
Position 1412: 0.005621688092784035
Position 548: 0.0010872823721693751
Position 80: 0.0010826870525416938
Position 283: 0.0009139992838476544
Position 1696: 0.0006541955719052907
Position 1466: 0.0003466098457254798
Position 1757: 0.00030734077420663253
Position 1494: 0.00022664569357203334
Position 374: 0.00020356623249661232
Position 1341: 0.00019475050936893976
Position 91: 7.292595590198398e-05
Position 1244: 5.980994999756633e-05
Position 1610: 5.8496710632808577e-05
Position 1613: 5.0349922711086853e-05
Position 1186: 4.851373829943702e-05
Position 911: 3.502402674131516e-05
Position 1701: 2.9394163380248275e-05
Position 262: 2.731742730882639e-05
Position 1535: 2.1012757427620364e-05
Position 898: 2.0022537256810274e-05
Position 1270: 1.079866959307453e-05
Position 1199: 7.437189116349102e-06
Position 994: 7.030591295080369e-06
Position 566: 6.3019476743181054e-06
Position 1002: 5.193826391526434e-06
Position 974: 5.176793064415e-06
Position 1170: 4.514430017878767e-06
Position 605: 4.238928192309503e-06
Position 1543: 4.170531148276115e-06
Position 698: 3.8080645707748137e-06
Position 588: 3.6882199137190084e-06
Position 1100: 3.3782756053568603e-06
Position 443: 2.549279340714296e-06
Position 594: 2.3995293246402224e-06
Position 947: 1.972600614734696e-06
Position 1091: 1.754741303909991e-06
Position 1769: 1.2556215735809895e-06
Position 1281: 1.0165706301263616e-06
Position 105: 9.628141135880759e-07
Position 903: 9.37105852918575e-07
Position 140: 8.126129097892485e-07
Position 1115: 7.961543809551606e-07
Position 790: 7.887798330658366e-07
Position 1448: 7.11654042357346e-07
Position 63: 5.502646198327445e-07
Position 480: 4.807623175139134e-07
Position 99: 3.566321759729402e-07
Position 560: 3.144480459034047e-07
Position 522: 2.87038283647221e-07
Position 452: 2.6415132646863446e-07
Position 114: 2.572357101072149e-07
Position 971: 2.3832607565459346e-07
Position 126: 2.3330409312088127e-07
Position 575: 1.5949121464858948e-07
Position 111: 1.3352737673517448e-07
Position 1630: 1.1099552302008166e-07
Position 497: 1.0520760933232222e-07
Position 413: 7.589318240251252e-08
Position 449: 5.385928211030952e-08
Position 768: 5.383192828317809e-08
Position 506: 4.919127021179207e-08
Position 117: 3.5840688057620716e-08
Position 137: 1.6569773683053433e-08
Position 1289: 1.8234442743367668e-09
Position 845: 1.7186001894549956e-09
Position 177: 9.797618367224547e-10
Position 1316: 9.44309879492289e-10
Position 746: 8.767648922162747e-10
Position 959: 3.449684759569121e-10
Position 1073: 3.208390715953166e-10
Position 760: 3.0000434129929994e-10
Position 189: 4.787336237192349e-11
Position 383: 9.785330609594565e-12
Position 579: 5.994267538732742e-12
Position 150: 5.620838048496771e-12
Position 236: 4.462710360888247e-12
Position 431: 3.70580094987109e-12
Position 386: 1.3749998236764464e-12
Position 817: 9.545149329567726e-13
Position 231: 5.239153822423096e-13
Position 814: 2.8362876265346666e-13
Position 647: 2.4633617107745006e-13
Position 196: 1.6087053920193538e-13
Position 332: 4.333512469768641e-14
Position 796: 3.9345111974899065e-14
Position 456: 2.2995408229635437e-14
Position 398: 2.2940463530807744e-14
Position 464: 1.0747267174932947e-14
Position 461: 1.82057023592965e-16
Position 198: 1.799759176774075e-17
