Gene = Akh
index = 17
Annotated 5SS: [188]
Annotated 3SS: [255]
SMsplice 5SS: [188]
SMsplice 3SS: [255]
top_k =  1000
Partition function (log Z): -2.6455641180608107

Sorted 5' Splice Sites (High to Low Probability):
Position 188: 0.9994422564155415
Position 192: 0.000540567695125978
Position 534: 0.0002664094701537487
Position 433: 5.613026647650464e-05
Position 74: 4.81640514547076e-05
Position 452: 4.800425947532025e-05
Position 423: 1.8914281127285837e-05
Position 289: 1.7522276955761455e-05
Position 183: 1.3703537410689394e-05
Position 470: 3.5984567193747504e-06
Position 512: 1.5818088562171705e-06
Position 525: 8.542114767350368e-07
Position 176: 6.455350401202231e-07
Position 181: 5.31635247301081e-07
Position 34: 3.3478772216472577e-07
Position 97: 2.7550033637699864e-07
Position 32: 1.8303885695842832e-07
Position 137: 1.4449621944382422e-07
Position 302: 1.2876739545229207e-07
Position 27: 7.89972173400067e-08
Position 540: 6.101023360637351e-08
Position 152: 4.699926690614727e-08
Position 537: 2.864264892950165e-08
Position 379: 2.0022321211732143e-08
Position 284: 1.2606417019390683e-08
Position 543: 1.256363545155185e-08
Position 52: 1.2067526808605622e-08
Position 255: 4.241603261065461e-09
Position 230: 7.405840630716996e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 255: 0.9974432573135432
Position 390: 0.001084787147852086
Position 327: 0.0008211314952029612
Position 590: 0.0002910859374735246
Position 330: 0.0002541695265703162
Position 396: 0.00016944175078741164
Position 521: 0.00015212750671673406
Position 321: 8.48321840676232e-05
Position 282: 7.562686016969557e-05
Position 149: 2.718780251261834e-05
Position 554: 1.865291303715477e-05
Position 130: 1.6892935144087532e-05
Position 533: 4.892170993464325e-06
Position 137: 3.3947171867261996e-06
Position 298: 2.9564175634903318e-06
Position 414: 2.504957401481571e-06
Position 366: 2.3214290004290557e-06
Position 475: 2.060942791170786e-06
Position 537: 5.71645064522009e-07
Position 342: 5.291973836200265e-07
Position 426: 4.851788664525525e-07
Position 445: 3.948408953940697e-07
Position 97: 2.506578816346756e-07
Position 543: 2.433497002028582e-07
Position 213: 1.4426674394563385e-07
Position 82: 8.87727704545673e-08
Position 105: 7.523008309047277e-08
Position 110: 5.833724664727314e-08
Position 436: 2.1540921965147657e-08
Position 117: 2.1163821693083196e-08
Position 430: 8.493810523167659e-09
Position 181: 6.478884963620123e-09
Position 423: 5.060318218042631e-09
Position 132: 1.34575093764358e-10
Position 188: 2.440163288761338e-11
Position 192: 1.662510228431417e-12
