Gene = aurB
index = 1616
Annotated 5SS: [ 251 1024]
Annotated 3SS: [ 305 1083]
SMsplice 5SS: [ 251 1024]
SMsplice 3SS: [ 305 1083]
top_k =  1000
Partition function (log Z): -2.191100617625335

Sorted 5' Splice Sites (High to Low Probability):
Position 1024: 0.97820314923448
Position 251: 0.9733902414802815
Position 255: 0.002570827477890362
Position 1243: 0.0006336361554430065
Position 177: 0.0005462306691557947
Position 463: 0.00046189018633014333
Position 418: 0.00044654256101024685
Position 764: 0.00044300342471234567
Position 642: 0.00038756203886851717
Position 1225: 0.00020079864638413358
Position 212: 0.00018097841028777835
Position 1232: 0.0001474360260998246
Position 633: 0.0001404666355204723
Position 876: 0.00012321011130490375
Position 1241: 9.267395914892248e-05
Position 655: 5.348005397398876e-05
Position 691: 3.836662478438097e-05
Position 1028: 2.7808181704548836e-05
Position 227: 1.956880324063593e-05
Position 570: 1.7489670702831704e-05
Position 900: 1.5435431057816036e-05
Position 458: 1.4157143184675203e-05
Position 838: 1.2969001887600713e-05
Position 768: 1.052278523770229e-05
Position 528: 8.431998755950435e-06
Position 865: 5.77881369342293e-06
Position 1144: 5.021500634486212e-06
Position 873: 4.893613567741224e-06
Position 451: 3.7568775107499316e-06
Position 486: 2.1205538547040015e-06
Position 406: 1.8596843995090026e-06
Position 914: 1.2398528781951637e-06
Position 274: 1.0286394618753277e-06
Position 599: 9.774645743222232e-07
Position 423: 8.859209808879838e-07
Position 108: 7.99837909585961e-07
Position 993: 5.745235095153635e-07
Position 585: 5.740861229042719e-07
Position 804: 4.536476068627814e-07
Position 891: 3.620278191050413e-07
Position 1126: 3.463297611532269e-07
Position 1120: 2.5374877383046557e-07
Position 907: 2.3719061672229115e-07
Position 927: 2.1300094422093502e-07
Position 904: 1.2389641608882547e-07
Position 368: 5.642742660299914e-08
Position 677: 3.745997273955065e-08
Position 370: 3.668104827556267e-08
Position 1038: 2.0557666921892082e-08
Position 317: 1.6248017771403493e-08
Position 284: 9.625705482202317e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 305: 0.9759669634842103
Position 1083: 0.9734719937106484
Position 1066: 0.0034845979733478002
Position 1095: 0.0013246106172896998
Position 1293: 0.0011030081744725717
Position 797: 0.0007876986445133921
Position 734: 0.0005985738203996194
Position 834: 0.00035934549135424067
Position 935: 0.00028935277083948723
Position 711: 0.00026796905185135026
Position 1149: 0.00015615614473039587
Position 1259: 0.00015237812464625038
Position 750: 3.1434161546091626e-05
Position 333: 2.514948076742012e-05
Position 873: 2.143840513798696e-05
Position 462: 2.1334318487989053e-05
Position 717: 1.694757705901536e-05
Position 1104: 1.6945667475478556e-05
Position 317: 1.6888790734239657e-05
Position 792: 1.496177334379501e-05
Position 456: 1.2765608343863183e-05
Position 417: 1.195756851066534e-05
Position 900: 1.0974676171768403e-05
Position 642: 1.0256000255557484e-05
Position 1100: 9.65463516836055e-06
Position 999: 9.038040805941075e-06
Position 655: 8.373937862415691e-06
Position 480: 4.613102010082775e-06
Position 486: 4.2872776486765e-06
Position 591: 1.089505153372635e-06
Position 498: 9.277651973443661e-07
Position 430: 8.740422374927167e-07
Position 1008: 7.105531702519126e-07
Position 953: 6.415407914087506e-07
Position 1176: 6.285004818008005e-07
Position 248: 5.93611520956855e-07
Position 1182: 4.797179867711997e-07
Position 1166: 4.0803386887222856e-07
Position 957: 3.969024779046997e-07
Position 221: 3.9024672172576494e-07
Position 927: 3.745624768170759e-07
Position 576: 3.498413382499258e-07
Position 176: 2.251244304180867e-07
Position 435: 1.8644960827052717e-07
Position 540: 1.5547576473909612e-07
Position 1170: 9.610011020584674e-08
Position 474: 7.605264440380987e-08
Position 582: 7.295853589123333e-08
Position 942: 7.23496429377574e-08
Position 432: 5.124580754482644e-08
Position 1203: 5.0103832519485025e-08
Position 444: 1.5910578592497238e-08
Position 268: 6.657137324232096e-09
Position 387: 6.507390824893656e-09
Position 1232: 3.1240552549223006e-09
Position 261: 2.1902199174660434e-09
Position 1200: 5.40110808204774e-10
Position 194: 1.6579982667355927e-10
Position 185: 7.302356181906498e-11
Position 188: 3.1625090583702217e-11
Position 206: 6.6126623987836576e-12
Position 197: 2.333598539394284e-12
