Gene = KdelR
index = 1243
Annotated 5SS: [122]
Annotated 3SS: [188]
SMsplice 5SS: [122]
SMsplice 3SS: [188]
top_k =  1000
Partition function (log Z): -8.17635389527651

Sorted 5' Splice Sites (High to Low Probability):
Position 122: 0.5040879104992585
Position 117: 0.4594292870398064
Position 1663: 0.10790337367205437
Position 517: 0.035937737547612286
Position 449: 0.018384760613822892
Position 108: 0.012612452065511159
Position 790: 0.00951906332212016
Position 476: 0.006711002517952482
Position 1251: 0.0033194299303655867
Position 695: 0.0032518154197566317
Position 1086: 0.0029924576062677222
Position 1457: 0.002957723327874369
Position 467: 0.0018108704490213507
Position 1165: 0.001785768406614023
Position 853: 0.0010768231130038927
Position 257: 0.001034757542023052
Position 995: 0.0009725231946990134
Position 1452: 0.0008544724307707524
Position 1520: 0.0008151586915153665
Position 265: 0.0007098691753852504
Position 1375: 0.0004936657245271597
Position 1152: 0.00047308250466599443
Position 1174: 0.000375224294278774
Position 1341: 0.0003286469140208917
Position 410: 0.00031491679936863687
Position 797: 0.000314579543795189
Position 605: 0.0003145660509294059
Position 1122: 0.0002906031699527574
Position 508: 0.00028749674855171685
Position 1427: 0.00026110301522614115
Position 1422: 0.00022710103581308628
Position 457: 0.0002241129959406229
Position 989: 0.00020974832113007685
Position 1033: 0.00018193664083923262
Position 626: 0.00016523342743282818
Position 498: 0.0001519008080671993
Position 224: 0.0001284484166013878
Position 521: 0.00011696501142535272
Position 49: 0.00010975147913615545
Position 132: 9.420894421302332e-05
Position 782: 6.741027807924615e-05
Position 493: 6.607581309948707e-05
Position 948: 6.136829393495919e-05
Position 191: 5.8948526111218195e-05
Position 165: 5.132982760603904e-05
Position 754: 5.111719790525192e-05
Position 1083: 3.854756363497794e-05
Position 506: 3.657469149109052e-05
Position 1040: 3.6159976063098724e-05
Position 88: 3.6102481216634e-05
Position 526: 3.550966455604318e-05
Position 581: 3.41221807840047e-05
Position 1327: 3.404093958657905e-05
Position 586: 3.10871937114086e-05
Position 478: 3.0526441248550995e-05
Position 1021: 3.0030901348235506e-05
Position 1432: 1.9792204450657867e-05
Position 367: 1.6862266589442947e-05
Position 320: 1.460605981679514e-05
Position 836: 1.4130699493399735e-05
Position 887: 1.2920594529279752e-05
Position 388: 1.2308834241428996e-05
Position 407: 9.840105343557994e-06
Position 938: 9.594408354156784e-06
Position 619: 8.484950257053513e-06
Position 27: 8.038285086873418e-06
Position 322: 7.942773639087982e-06
Position 1186: 7.371992125176837e-06
Position 481: 6.489440783133462e-06
Position 1440: 5.160509063228283e-06
Position 436: 4.7371748374677284e-06
Position 1263: 4.5657386185445315e-06
Position 21: 4.5631176237152444e-06
Position 400: 4.560920571674297e-06
Position 1356: 4.5603264862778504e-06
Position 848: 4.074384379453072e-06
Position 635: 3.959448767177169e-06
Position 668: 3.0131482806188717e-06
Position 1687: 2.7116268851339536e-06
Position 1533: 2.0236709951247893e-06
Position 1405: 1.7981658693023969e-06
Position 802: 1.7045176572180698e-06
Position 759: 1.6496525899437583e-06
Position 313: 3.5106251251187004e-09
Position 640: 2.7105455703459115e-09
Position 200: 2.2171184660462838e-09
Position 195: 4.0005393894791224e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 188: 0.9676938399495695
Position 1719: 0.1437240691323432
Position 1508: 0.025322129928588722
Position 526: 0.008217144707200943
Position 1618: 0.005852293299493954
Position 1452: 0.005827275867601429
Position 208: 0.0035402477078749313
Position 1214: 0.0031879763298761406
Position 887: 0.003020908949155223
Position 1569: 0.002992065625650578
Position 1390: 0.0026488642169594703
Position 532: 0.0025459034612445447
Position 1739: 0.0021479441904829664
Position 165: 0.0015050309590890047
Position 1251: 0.000672867085867985
Position 1327: 0.0006638859930882958
Position 349: 0.00039015681604025746
Position 895: 0.0003469004147169288
Position 1366: 0.00033005342774655125
Position 685: 0.0003114116854524469
Position 1122: 0.00023990446268370587
Position 214: 0.00023137266484753307
Position 695: 0.00013064262990568988
Position 844: 0.00012312071482239228
Position 702: 7.552308888648253e-05
Position 993: 7.078956910884289e-05
Position 729: 7.051424868094114e-05
Position 394: 6.62991747483768e-05
Position 1057: 3.685339026036711e-05
Position 252: 3.505813948172787e-05
Position 945: 2.056666751736514e-05
Position 240: 1.9734600100484548e-05
Position 901: 1.9507535517934e-05
Position 910: 1.0882753743807437e-05
Position 1255: 8.761045216765729e-06
Position 1427: 7.551871749291851e-06
Position 1627: 7.479568022385795e-06
Position 475: 5.561486615298139e-06
Position 904: 4.434041558937794e-06
Position 100: 1.3381664014340696e-06
Position 358: 3.334194843472021e-08
Position 277: 2.7257200957621484e-08
Position 129: 1.3978226596291485e-08
Position 388: 1.3094812602583423e-08
Position 220: 7.427841261802855e-09
Position 260: 4.948239562072667e-09
Position 619: 4.324744871160625e-09
Position 635: 3.7224174125248053e-09
Position 227: 4.2269116101187263e-10
Position 257: 7.021756073403417e-11
Position 108: 2.7600277078864775e-11
Position 70: 2.1527076160923873e-11
Position 224: 2.001245346771085e-11
Position 265: 1.2012213001365556e-11
