Gene = Arv1
index = 29
Annotated 5SS: [188 368 564]
Annotated 3SS: [247 424 628]
SMsplice 5SS: [188 564]
SMsplice 3SS: [247 628]
top_k =  1000
Partition function (log Z): -2.8769671484040824

Sorted 5' Splice Sites (High to Low Probability):
Position 564: 0.9622896682073814
Position 188: 0.9098680517054398
Position 376: 0.324514434763701
Position 368: 0.07647370124087839
Position 19: 0.007666089776081941
Position 137: 0.007198259290617402
Position 115: 0.007045689303795344
Position 583: 0.0030453977279822925
Position 577: 0.0010792596169355558
Position 10: 0.0002820391088712479
Position 225: 0.00024511378232952954
Position 906: 0.00024315166528010408
Position 395: 0.00017076716522124128
Position 119: 0.00013928673357237499
Position 677: 0.00011447701565439742
Position 1010: 9.399330696465672e-05
Position 877: 6.692124283764857e-05
Position 48: 5.8339184105033964e-05
Position 437: 3.2964992607078425e-05
Position 113: 3.212993849492065e-05
Position 328: 3.191972347167532e-05
Position 148: 3.157694765981804e-05
Position 859: 1.971291981066513e-05
Position 94: 1.4595335491705343e-05
Position 419: 1.1598477458088858e-05
Position 960: 1.0523738859695068e-05
Position 46: 9.408524497437587e-06
Position 446: 8.211370641969332e-06
Position 922: 8.093198709041028e-06
Position 393: 7.725301989695854e-06
Position 126: 5.9359269517900296e-06
Position 964: 5.5935478257382596e-06
Position 976: 5.53075283658322e-06
Position 283: 5.245881269828636e-06
Position 781: 4.905672319623892e-06
Position 973: 3.98707960496237e-06
Position 733: 3.6468014644763758e-06
Position 449: 2.6252462753848474e-06
Position 292: 2.3807669673967725e-06
Position 223: 2.1010807771878746e-06
Position 636: 1.8830164421385008e-06
Position 5: 1.3032470298645643e-06
Position 832: 1.118489324598162e-06
Position 802: 9.832059531839875e-07
Position 518: 8.779565777214212e-07
Position 759: 6.715983562683634e-07
Position 736: 5.316706094210549e-07
Position 52: 3.672660270455219e-07
Position 475: 2.904584492362581e-07
Position 384: 1.1898580058010503e-07
Position 925: 8.638785531015019e-08
Position 255: 1.852385356650213e-08
Position 753: 2.387882227523525e-13
Position 783: 4.10013604454416e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 628: 0.98131310332678
Position 247: 0.9254300690370986
Position 424: 0.34786716182954597
Position 436: 0.03989975195430464
Position 308: 0.002765930344872001
Position 64: 0.0010659461202259825
Position 323: 0.0006172551291319526
Position 733: 0.000344190031661265
Position 367: 0.00023422646942423516
Position 1055: 0.00023071441651630476
Position 759: 0.00022496055848517446
Position 931: 0.00020901551969114133
Position 135: 0.00011721595016147571
Position 693: 0.00010303557507359254
Position 103: 7.541466150661062e-05
Position 529: 7.307847631013784e-05
Position 1101: 6.539273129687307e-05
Position 106: 6.106325049258538e-05
Position 1097: 3.718985588705285e-05
Position 1051: 3.689818335641632e-05
Position 873: 2.7592250583769605e-05
Position 700: 2.7167775862484908e-05
Position 999: 6.27735180760693e-06
Position 973: 5.092961588815599e-06
Position 289: 4.650975909207634e-06
Position 192: 4.596709815760694e-06
Position 945: 3.95129990940175e-06
Position 996: 3.7174581135963323e-06
Position 162: 2.940486434851613e-06
Position 292: 2.0480094928080193e-06
Position 137: 1.1893021850270788e-06
Position 154: 7.721233914358727e-07
Position 204: 5.337884632472171e-07
Position 960: 4.824720579728613e-07
Position 1105: 4.4348483049153147e-07
Position 1010: 6.716939777516119e-08
Position 587: 6.312230926913889e-08
Position 877: 5.498483763694011e-08
Position 143: 3.8738486569457897e-08
Position 375: 9.373984567612977e-09
Position 283: 1.3807096297495809e-09
Position 208: 1.0690263527858946e-10
Position 563: 9.619025492251567e-11
Position 380: 1.954011767230303e-11
Position 596: 4.6056888480580555e-12
Position 206: 9.584851966399135e-13
