Gene = atilla
index = 1614
Annotated 5SS: [ 343 1083]
Annotated 3SS: [ 911 2115]
SMsplice 5SS: [ 343 1083]
SMsplice 3SS: [ 911 2115]
top_k =  1000
Partition function (log Z): -2.413171310088977

Sorted 5' Splice Sites (High to Low Probability):
Position 1083: 0.9390386870193254
Position 343: 0.8160085998743096
Position 611: 0.26545935381128294
Position 1213: 0.031063111612188214
Position 845: 0.02922360392497281
Position 1365: 0.02583927000528296
Position 1252: 0.021217121820496666
Position 381: 0.013847379369588735
Position 606: 0.011292599369439835
Position 1292: 0.010321471361588903
Position 1307: 0.009610493262700224
Position 421: 0.00782939855060104
Position 481: 0.0071500639782910895
Position 781: 0.005344992135020015
Position 1701: 0.0051949389654828825
Position 815: 0.0051694080572750965
Position 1274: 0.003132330974260496
Position 1283: 0.002302902150671779
Position 1711: 0.002086149873893709
Position 223: 0.0014333621332698145
Position 155: 0.0013931127291239719
Position 211: 0.001316303954417573
Position 1070: 0.0012006765828327145
Position 1060: 0.0011296470047792253
Position 204: 0.0008492318640847513
Position 1704: 0.0008446305911232238
Position 1541: 0.000751418064068101
Position 201: 0.0007279892352145067
Position 1480: 0.0006652750702221297
Position 1776: 0.0006430466770590905
Position 1907: 0.0005806833211505635
Position 2359: 0.0004887381358257769
Position 1917: 0.00044484029218041057
Position 347: 0.00037328185496057
Position 2271: 0.00035597584436028673
Position 659: 0.0003524529971790863
Position 266: 0.0003462648330843328
Position 111: 0.000296594706807857
Position 1358: 0.0002909926961819603
Position 1634: 0.00024361002085534185
Position 300: 0.00023417128606434886
Position 340: 0.00018873606272574775
Position 1735: 0.00018279105893065036
Position 1939: 0.0001731211630396956
Position 738: 0.00016969168380179364
Position 1755: 0.00015440427284471123
Position 1331: 0.00014072595124035007
Position 426: 0.00013989870097072922
Position 763: 0.00013749939374396698
Position 2361: 0.00012420510822969908
Position 397: 0.00012315718369610546
Position 1596: 9.120715341300228e-05
Position 1608: 6.884203284222958e-05
Position 171: 6.742810091142899e-05
Position 1087: 6.429884865405937e-05
Position 2205: 5.154686943273748e-05
Position 164: 4.300293683889908e-05
Position 1477: 2.9784357141006193e-05
Position 26: 2.593344115608226e-05
Position 1384: 2.4850691290366246e-05
Position 14: 2.2698614287711933e-05
Position 1750: 2.1688860497885467e-05
Position 649: 1.8498717558422526e-05
Position 712: 1.8249646658431617e-05
Position 428: 1.5386389734155608e-05
Position 1550: 1.4154705630942353e-05
Position 1394: 1.2036499455379906e-05
Position 674: 1.1610123900098959e-05
Position 1555: 1.1362474308475012e-05
Position 558: 1.0544832117982486e-05
Position 1661: 1.021538479126075e-05
Position 324: 7.693975459536271e-06
Position 2187: 7.557385881555259e-06
Position 1014: 7.303053081999764e-06
Position 550: 6.574680429874906e-06
Position 39: 6.2668976892777096e-06
Position 102: 5.3879377409708495e-06
Position 1102: 4.825952518946733e-06
Position 2376: 4.152345702390081e-06
Position 1219: 4.023457485182984e-06
Position 413: 3.13703211047507e-06
Position 2318: 2.583503402302299e-06
Position 744: 1.9526730234990524e-06
Position 82: 1.656543488016606e-06
Position 2230: 1.638300124317157e-06
Position 406: 1.2658378812954602e-06
Position 270: 1.1112703192151682e-06
Position 1502: 1.0182314123660267e-06
Position 1526: 6.085562212008666e-07
Position 1073: 3.7186703698811825e-07
Position 2338: 3.1491209928930124e-07
Position 1052: 8.202769868390254e-08
Position 326: 7.217613474738601e-08
Position 75: 3.789396161752152e-08
Position 309: 3.0451269369158567e-08
Position 695: 3.7653842221549815e-09
Position 698: 1.6240859690402018e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 2115: 0.9866850716651548
Position 911: 0.6471975132867965
Position 681: 0.2096980815362775
Position 515: 0.11134704946758592
Position 480: 0.07903305217295081
Position 1133: 0.07586720385180515
Position 1193: 0.027420682956033553
Position 406: 0.014248568850225903
Position 695: 0.012632646434902955
Position 424: 0.010048036901231856
Position 638: 0.009529026799816596
Position 1574: 0.007433784234401003
Position 266: 0.004103309337302011
Position 433: 0.003465482393934763
Position 934: 0.0033252185633909147
Position 457: 0.003299258093775586
Position 709: 0.0030971159645027425
Position 967: 0.002629240922586306
Position 759: 0.002321760911721212
Position 2005: 0.001843104327589912
Position 1676: 0.001273903531139022
Position 1863: 0.0012432342618865881
Position 201: 0.0011947457655831
Position 1828: 0.0011083715957110436
Position 413: 0.0011030829880588956
Position 1432: 0.0009407452292908967
Position 2424: 0.0008739633642211803
Position 1014: 0.0007789137227497412
Position 1516: 0.0007338975018681522
Position 550: 0.0006382469901881935
Position 738: 0.0004894757086521562
Position 925: 0.0004051205438982252
Position 1173: 0.00032688535042455744
Position 973: 0.00029424798466363625
Position 1304: 0.0001609850804881876
Position 610: 0.0001602737916823513
Position 1135: 0.00013810203814782726
Position 1600: 0.00012441185927427147
Position 1971: 0.00010478770384321049
Position 2343: 9.873078813045724e-05
Position 2197: 9.516789361528286e-05
Position 1750: 6.758365249053138e-05
Position 1286: 6.615936611288484e-05
Position 1781: 6.355200814188737e-05
Position 1930: 5.9647721095882434e-05
Position 1252: 5.9158429274259e-05
Position 860: 5.123304867754467e-05
Position 2256: 5.022640357087526e-05
Position 1477: 3.8078271179622517e-05
Position 723: 3.155467002247498e-05
Position 1024: 2.8863807220729267e-05
Position 102: 2.686504594482037e-05
Position 822: 2.1532197348922336e-05
Position 711: 2.043557271278687e-05
Position 300: 1.964743053526406e-05
Position 209: 1.827511370705954e-05
Position 2171: 1.6515344201398947e-05
Position 2017: 1.4133745158515384e-05
Position 1728: 1.3619870384824459e-05
Position 2168: 1.2715616317194965e-05
Position 2383: 1.2530031349421221e-05
Position 1048: 1.214370871011958e-05
Position 1492: 1.1979239733902584e-05
Position 1623: 1.1694849826621585e-05
Position 1747: 1.1525666420980852e-05
Position 1039: 9.543070844474514e-06
Position 340: 8.89535017115497e-06
Position 1361: 8.308749763627564e-06
Position 1374: 8.283399318994573e-06
Position 772: 7.911536372606257e-06
Position 1538: 5.552262070934182e-06
Position 1768: 3.371774682830092e-06
Position 2275: 2.973288448253762e-06
Position 1606: 2.727705646173791e-06
Position 2386: 2.440235204856544e-06
Position 2014: 2.2255969314670636e-06
Position 1520: 2.007313258079867e-06
Position 1442: 1.9912347692810908e-06
Position 1704: 1.9102293122839703e-06
Position 122: 1.8287567535543527e-06
Position 1438: 1.2509884961123788e-06
Position 155: 1.1719212155186981e-06
Position 1292: 1.150076578556378e-06
Position 111: 1.0850845352860967e-06
Position 1541: 1.0593682674611433e-06
Position 1341: 9.478976136987867e-07
Position 381: 8.8842513704758e-07
Position 1059: 5.245900729217372e-07
Position 781: 4.0822313156563596e-07
Position 397: 3.0612953815689043e-07
Position 1283: 1.3061422296517095e-07
Position 719: 1.1425671225891399e-07
Position 803: 9.810802415002664e-08
Position 1195: 3.359867516897086e-08
Position 1318: 2.8370538053807008e-08
Position 82: 2.6075454015812586e-08
Position 1203: 2.230876124456981e-08
Position 1080: 1.2185782205148743e-08
Position 169: 9.400595296224431e-09
Position 1069: 7.181367485008279e-09
Position 347: 1.0598515531643791e-09
Position 124: 7.777490908373693e-11
Position 119: 1.4734089493075033e-12
