Gene = Cpr65Au
index = 1098
Annotated 5SS: [162]
Annotated 3SS: [503]
SMsplice 5SS: [162]
SMsplice 3SS: [503]
top_k =  1000
Partition function (log Z): -4.4752285385146955

Sorted 5' Splice Sites (High to Low Probability):
Position 162: 0.4772013893511885
Position 166: 0.4234688119732163
Position 397: 0.24833770580114664
Position 425: 0.09151299476463437
Position 364: 0.014695411120298848
Position 205: 0.012029739381198683
Position 418: 0.004810525716516836
Position 95: 0.003036216054169642
Position 415: 0.001029210952094322
Position 704: 0.0003644810062790074
Position 778: 0.00018698618028690868
Position 427: 0.00015696327733813538
Position 753: 0.00013485700085567024
Position 278: 0.00010649530790040662
Position 442: 9.885526790298082e-05
Position 71: 8.926551077007885e-05
Position 249: 8.90165501475211e-05
Position 672: 8.733000319370522e-05
Position 290: 6.937298284426218e-05
Position 606: 6.035204445822065e-05
Position 542: 4.8422751885724124e-05
Position 52: 3.2397960993026754e-05
Position 547: 3.033507768367838e-05
Position 682: 1.0723755125264815e-05
Position 77: 5.786776108555018e-06
Position 337: 4.408884501857486e-06
Position 733: 1.5162468432764971e-06
Position 575: 1.4389371499049106e-06
Position 582: 8.662350540090691e-07
Position 314: 8.355251705173756e-07
Position 638: 5.825809765619094e-07
Position 764: 4.0347810141041087e-07
Position 45: 2.453556891352138e-07
Position 793: 1.1019602544939188e-07
Position 323: 3.3238049943404588e-09
Position 586: 1.170769209856047e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 503: 0.970817725711834
Position 314: 0.20263101312384255
Position 252: 0.09461311448179688
Position 510: 0.006497207290319684
Position 361: 0.001137095675300259
Position 591: 0.0005197503089451894
Position 546: 0.00024716918705979576
Position 165: 0.0002269051208825438
Position 836: 0.0002206731627824504
Position 759: 0.00021810831449039646
Position 767: 0.00016463298045353138
Position 805: 0.00015283796166387184
Position 773: 6.973636904537786e-05
Position 672: 5.0005448838938326e-05
Position 424: 4.6207933768844615e-05
Position 230: 3.7426249866475686e-05
Position 363: 2.5024059315732203e-05
Position 809: 1.558627644712983e-05
Position 677: 5.108881455635341e-06
Position 638: 1.8415959896082607e-06
Position 415: 1.824321538717957e-06
Position 380: 1.264792832933915e-06
Position 537: 1.1058425612963624e-06
Position 785: 4.945335265815264e-07
Position 393: 4.3026715911317204e-07
Position 602: 3.848213608582563e-07
Position 108: 2.907818291421747e-07
Position 733: 2.2986305889250567e-07
Position 568: 2.073608431542033e-07
Position 176: 1.9587959349960704e-07
Position 370: 1.355144290186376e-07
Position 616: 8.086868872246366e-08
Position 610: 5.545483273861804e-08
Position 99: 5.450064624601926e-08
Position 685: 3.169233282623585e-08
Position 570: 3.109752066745794e-08
Position 682: 2.8605619947254626e-08
Position 400: 2.0899505111532467e-08
Position 778: 1.1426291030761122e-08
Position 817: 4.551589053224693e-09
Position 129: 2.19887857150561e-09
Position 395: 1.4707596321835637e-09
Position 114: 4.5153797994821505e-10
Position 515: 5.929690262725666e-13
Position 559: 4.41919688503225e-14
Position 131: 1.8334279527684118e-17
