Gene = Dysb
index = 1142
Annotated 5SS: [875]
Annotated 3SS: [932]
SMsplice 5SS: [875]
SMsplice 3SS: [932]
top_k =  1000
Partition function (log Z): -3.136634405460117

Sorted 5' Splice Sites (High to Low Probability):
Position 875: 0.9989931603060536
Position 506: 0.028224373338626183
Position 1096: 0.008422945523542785
Position 596: 0.007625097352823779
Position 199: 0.0029203725652130986
Position 647: 0.0021862202341421865
Position 275: 0.001660526369363128
Position 1102: 0.0009284538046582864
Position 1272: 0.0008850710241790054
Position 233: 0.0006642039904632402
Position 518: 0.0002989362046147868
Position 1082: 0.0002238631415478174
Position 571: 0.0001893002698012333
Position 879: 0.00015049568112243268
Position 849: 0.00014781969096490266
Position 1042: 8.814666559842095e-05
Position 1354: 4.4298105749734465e-05
Position 1072: 3.7222112552039375e-05
Position 992: 3.383925157568867e-05
Position 221: 3.3740786733271376e-05
Position 160: 3.373303456037121e-05
Position 1094: 2.990828523960469e-05
Position 645: 2.9757421905311062e-05
Position 540: 2.9292518145705805e-05
Position 203: 2.916404511907003e-05
Position 660: 2.8951892116502546e-05
Position 678: 2.154871436184736e-05
Position 1348: 1.8934476832953028e-05
Position 296: 1.5778680470321814e-05
Position 337: 8.586619238173156e-06
Position 365: 5.9511432113581524e-06
Position 1175: 5.658256094590212e-06
Position 140: 4.9986052413882085e-06
Position 521: 4.969617014644571e-06
Position 197: 3.6020126296676796e-06
Position 1266: 3.4118284802592396e-06
Position 79: 2.2396362031594356e-06
Position 726: 1.8405873330150083e-06
Position 371: 1.8282447361109459e-06
Position 355: 1.581637403315977e-06
Position 1379: 1.4754386258906589e-06
Position 111: 1.3512904669225534e-06
Position 1327: 8.267190700839891e-07
Position 282: 8.257616287863003e-07
Position 279: 6.933940908822518e-07
Position 311: 3.7915981672782924e-07
Position 603: 2.865033315382385e-07
Position 98: 2.762044405819756e-07
Position 344: 2.2529061053191093e-07
Position 971: 1.9588477040286004e-07
Position 955: 1.2595490403957646e-07
Position 1377: 1.2156553870515396e-07
Position 1342: 7.634460900003924e-08
Position 814: 6.832984815289717e-08
Position 974: 1.2177180949539748e-08
Position 911: 1.06023051448865e-11
Position 101: 4.057245531550333e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 932: 0.9951600666268793
Position 563: 0.01954197056614448
Position 768: 0.01695326554072821
Position 1194: 0.006675880887788231
Position 948: 0.004588660587781265
Position 1365: 0.0024087315410207992
Position 324: 0.001574172372049264
Position 570: 0.0009292708032172985
Position 675: 0.0008147902099495534
Position 774: 0.000755090071474729
Position 726: 0.0005804923230893571
Position 1311: 0.000533018298952885
Position 1377: 0.0005187306976439183
Position 1272: 0.0003083642110407065
Position 609: 0.00025170458998976164
Position 1425: 0.000236809181452207
Position 547: 0.00020395219935809774
Position 777: 0.00016037937928193997
Position 1248: 0.00014819102680049877
Position 588: 0.00014276308770554637
Position 405: 0.00010019105533576368
Position 371: 9.96730001067478e-05
Position 798: 9.677562896327437e-05
Position 699: 9.596022266672713e-05
Position 402: 9.590202063588619e-05
Position 344: 8.879971435651581e-05
Position 742: 7.501818625560548e-05
Position 780: 7.283329498638897e-05
Position 290: 6.675541306206027e-05
Position 275: 6.276963523414238e-05
Position 361: 6.146380659567575e-05
Position 287: 5.548679161353203e-05
Position 311: 5.1680971730899807e-05
Position 678: 4.97071973535722e-05
Position 735: 4.963900388404155e-05
Position 684: 4.844991470098607e-05
Position 747: 4.168754530126943e-05
Position 1342: 4.05119099034037e-05
Position 293: 3.2328727715498334e-05
Position 723: 3.170505118187025e-05
Position 705: 2.9974790789861702e-05
Position 1327: 2.9685325315827876e-05
Position 792: 2.288483374910447e-05
Position 603: 2.2440472765119948e-05
Position 1348: 1.458588820437187e-05
Position 447: 1.1267773476359602e-05
Position 600: 1.0699611229679941e-05
Position 624: 1.019297351808294e-05
Position 1061: 1.0153936232715678e-05
Position 1212: 9.900571224158102e-06
Position 475: 9.767846888898685e-06
Position 426: 9.182776336460993e-06
Position 621: 8.207340103618036e-06
Position 1354: 7.4549245347216795e-06
Position 810: 6.603037475335457e-06
Position 480: 4.040206040954301e-06
Position 645: 3.0548199373925707e-06
Position 1094: 2.9797518325551437e-06
Position 1082: 2.9178042088667776e-06
Position 521: 2.573247510467233e-06
Position 390: 1.9023011866787453e-06
Position 337: 1.8669342860842507e-06
Position 658: 1.6042476590242756e-06
Position 438: 1.5369118684805713e-06
Position 224: 1.2844265603039871e-06
Position 642: 8.35978631792545e-07
Position 955: 8.069357837005493e-07
Position 296: 7.255337013873487e-07
Position 1003: 7.094852315399705e-07
Position 983: 4.6691561481888136e-07
Position 492: 4.3388129000749776e-07
Position 140: 3.891147096982223e-07
Position 518: 2.8545101264365417e-07
Position 183: 2.3841664004607965e-07
Position 132: 2.148518383466767e-07
Position 992: 1.8821536362585972e-07
Position 497: 1.5177675724600845e-07
Position 195: 1.462041631951193e-07
Position 858: 1.328388023743856e-07
Position 137: 1.2851078446166153e-07
Position 660: 9.756771714021352e-08
Position 967: 7.442860534815775e-08
Position 129: 6.34743967293694e-08
Position 672: 5.4905047392300463e-08
Position 911: 4.718184114365581e-08
Position 971: 3.2523188900599066e-08
Position 630: 3.2444461230970936e-08
Position 221: 2.2841366308751014e-08
Position 837: 1.7001851455203114e-08
Position 435: 1.4484529600991556e-08
Position 150: 1.3953685420504998e-08
Position 485: 1.0693063856627758e-08
Position 203: 1.0029627455035913e-08
Position 1091: 6.904669385906995e-09
Position 299: 4.980819823928983e-09
Position 153: 9.876093942546399e-11
Position 229: 2.6117886871405992e-11
Position 233: 5.263199820173789e-12
Position 171: 3.381598346729446e-12
Position 506: 1.682884375909968e-14
