Gene = CycJ
index = 1114
Annotated 5SS: [195 445 945]
Annotated 3SS: [257 521 997]
SMsplice 5SS: [195 945]
SMsplice 3SS: [ 257 1004]
top_k =  1000
Partition function (log Z): -5.573646655513789

Sorted 5' Splice Sites (High to Low Probability):
Position 945: 0.900779469490516
Position 195: 0.8859692256360899
Position 445: 0.2980580115129078
Position 503: 0.017893550740705432
Position 1297: 0.008820293217075259
Position 1063: 0.006533787604464633
Position 207: 0.004568836535391388
Position 1134: 0.00284698852663814
Position 454: 0.002270018146331136
Position 969: 0.001919975146154258
Position 940: 0.00160094609464644
Position 1083: 0.0014233896426078562
Position 1096: 0.001413576196639263
Position 1190: 0.0012189717923010805
Position 1126: 0.0007368053430275125
Position 1089: 0.0004681600648991081
Position 694: 0.00038589221505808623
Position 1273: 0.0003283265315272562
Position 835: 0.00026388471521922606
Position 6: 0.00024379124767531495
Position 189: 0.00023677661972565421
Position 747: 0.00015859151967469794
Position 489: 0.00014680740452193618
Position 545: 0.00013873472315621563
Position 1072: 0.00013786147862419052
Position 721: 0.00010077306267852596
Position 430: 9.535166478125099e-05
Position 1464: 7.283437202745241e-05
Position 949: 6.897139320135978e-05
Position 1288: 5.71762590812795e-05
Position 1448: 4.743168075104163e-05
Position 1276: 4.3684538447770255e-05
Position 510: 4.207931730115921e-05
Position 584: 3.9379300072499153e-05
Position 862: 3.470177457404082e-05
Position 1144: 3.311928342859951e-05
Position 1217: 3.1890417683628544e-05
Position 37: 2.9771322222692572e-05
Position 78: 2.7543082827997733e-05
Position 524: 2.610073569627895e-05
Position 239: 2.475220383094298e-05
Position 21: 2.3222579831953673e-05
Position 1441: 2.2150640225488136e-05
Position 762: 1.7774563783101282e-05
Position 1321: 1.5404741402166e-05
Position 704: 1.5123000956263556e-05
Position 389: 1.3877382515537314e-05
Position 910: 1.0147008658839878e-05
Position 668: 8.636027449783787e-06
Position 334: 7.5847359815508e-06
Position 60: 6.35785056421818e-06
Position 564: 6.241299018495314e-06
Position 254: 6.217079370958935e-06
Position 344: 4.714718864111053e-06
Position 767: 4.493127480308666e-06
Position 1171: 4.067504313252487e-06
Position 634: 3.7910493835305826e-06
Position 123: 3.7749790827289777e-06
Position 150: 3.436415916128033e-06
Position 424: 3.03137664450339e-06
Position 1054: 2.9778762244972474e-06
Position 147: 1.9677304945676257e-06
Position 1450: 1.9125416511347743e-06
Position 55: 7.687528131724535e-07
Position 597: 5.153336658617579e-07
Position 826: 2.8461954482747305e-07
Position 786: 2.0016682213626503e-09
Position 1248: 1.0123367647908197e-09
Position 895: 6.885449743832458e-10
Position 1291: 5.461789156972772e-10
Position 997: 2.4753577450889326e-10
Position 1201: 7.429426710566334e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 257: 0.8716262178234171
Position 1004: 0.5283904742363322
Position 997: 0.36098069904222513
Position 608: 0.16302807974795647
Position 521: 0.07294810872515428
Position 811: 0.041749437171870386
Position 1179: 0.02963919897905118
Position 651: 0.022646322956223718
Position 1369: 0.011122493764664785
Position 786: 0.008634717042305845
Position 762: 0.007079092328299727
Position 362: 0.005982956925226933
Position 1326: 0.004841125053312956
Position 1054: 0.0026998610201869645
Position 1206: 0.002387098331738608
Position 616: 0.0023071998827621496
Position 1332: 0.00045049713335157783
Position 1215: 0.00042691555345026624
Position 316: 0.0002918696927319646
Position 910: 0.00023545561801774205
Position 1062: 0.00023126594898928633
Position 269: 0.0002100292812658587
Position 87: 0.00017788048266041145
Position 1541: 0.00016383332501516105
Position 968: 0.00016379417123980438
Position 673: 0.00011607665597785926
Position 1222: 0.00010613713462783467
Position 945: 0.00010328018980132845
Position 700: 9.984772864486865e-05
Position 1511: 9.781260576221134e-05
Position 60: 9.418525917384549e-05
Position 1193: 8.728602498748747e-05
Position 1371: 7.001979297694276e-05
Position 859: 4.9769978070669815e-05
Position 1441: 4.6917674034251975e-05
Position 1419: 3.483837469792434e-05
Position 324: 3.203621166435225e-05
Position 1402: 2.9075457843447388e-05
Position 1386: 2.3822742382690342e-05
Position 119: 2.056109101368275e-05
Position 868: 1.8194833384608263e-05
Position 1516: 1.303952231513859e-05
Position 1226: 1.0211303733612384e-05
Position 1245: 7.883161968234203e-06
Position 715: 7.535483605728276e-06
Position 887: 5.528537703903409e-06
Position 739: 4.4196938245456026e-06
Position 475: 4.0828765455214354e-06
Position 1248: 3.6445733607511316e-06
Position 409: 3.3582174978508833e-06
Position 1297: 3.341688374549842e-06
Position 879: 3.0168578062507276e-06
Position 116: 2.330599362364244e-06
Position 841: 2.202382832421698e-06
Position 711: 2.1364984889521114e-06
Position 1519: 1.8216308700127532e-06
Position 459: 1.7496681605973034e-06
Position 424: 1.4408416885854102e-06
Position 137: 1.1905612231396727e-06
Position 823: 1.1512275440737089e-06
Position 331: 7.552928372965554e-07
Position 379: 2.9400430100487134e-07
Position 389: 2.73354878998337e-07
Position 835: 2.537771819227733e-07
Position 186: 2.433773995966457e-07
Position 320: 1.8640059164914734e-07
Position 419: 1.0095648884761715e-07
Position 167: 1.727144939105405e-08
Position 183: 7.521200693350672e-09
Position 371: 3.921980488759243e-09
Position 134: 1.6826938272600478e-09
Position 123: 1.1710075733067465e-09
Position 461: 8.432796843649748e-12
Position 194: 5.661253638230837e-13
Position 464: 1.6851742485399661e-13
