Gene = Strip
index = 1528
Annotated 5SS: [ 173 4172 5962]
Annotated 3SS: [3269 4234 6028]
SMsplice 5SS: [ 173 4172]
SMsplice 3SS: [3269 4234]
top_k =  1000
Partition function (log Z): -6.210214365107287

Sorted 5' Splice Sites (High to Low Probability):
Position 4172: 0.935314569029724
Position 173: 0.9332903254067393
Position 4509: 0.3862577741494636
Position 5962: 0.38213424063723894
Position 2985: 0.05054259313290659
Position 6385: 0.03961978582042616
Position 240: 0.03313343131754359
Position 211: 0.028169730605959706
Position 2932: 0.02592017024248083
Position 4053: 0.025552456535798147
Position 2715: 0.01998401766983046
Position 1045: 0.013175837703084805
Position 5152: 0.013019629320269436
Position 2960: 0.01199087086652114
Position 5346: 0.0105776789223865
Position 6404: 0.010391167769329917
Position 2138: 0.010385512535395845
Position 5369: 0.009321758342075924
Position 5463: 0.009048091462364998
Position 4473: 0.006398086063614294
Position 4950: 0.005936344170299802
Position 4749: 0.005432444835567909
Position 5096: 0.005353802495559833
Position 1605: 0.004805072250532441
Position 1723: 0.0039706493693250884
Position 251: 0.003683284978739195
Position 6392: 0.003682515057519515
Position 6076: 0.00354398274380008
Position 6082: 0.0033525679297480783
Position 1991: 0.0032971965065101117
Position 6007: 0.00320952978055296
Position 6481: 0.002966033962412431
Position 6252: 0.002884938620002659
Position 4930: 0.0024155904496314736
Position 1126: 0.002296671540160308
Position 4565: 0.0020408813751343173
Position 1028: 0.0018814711470917034
Position 4649: 0.0017344804328524137
Position 2558: 0.0017342601917958213
Position 2151: 0.0017215651134213478
Position 5839: 0.0016781413644883754
Position 4306: 0.0015265203981753063
Position 3483: 0.001083795706540555
Position 6408: 0.0010717215025239206
Position 3320: 0.0010245150912845194
Position 5402: 0.0009169797226345371
Position 1784: 0.0008921046272663686
Position 299: 0.0007742501572903564
Position 2744: 0.0006595981198658602
Position 2774: 0.0006059154208062072
Position 1034: 0.0005801566282860008
Position 579: 0.0005005687112452693
Position 2264: 0.00045020831440093314
Position 2606: 0.0004368982227853061
Position 4367: 0.00041914528782112473
Position 5770: 0.000381197191820848
Position 2957: 0.00035603092624497017
Position 2147: 0.00031019284761058484
Position 3057: 0.00030490736812603523
Position 2376: 0.00026280701995365623
Position 5542: 0.000259270377985969
Position 6608: 0.00023423645658990057
Position 4751: 0.00020582269216658824
Position 5843: 0.00015508941444949807
Position 4754: 0.0001510456338450322
Position 1870: 0.0001315175916219549
Position 1269: 0.0001278356442377469
