Gene = mge
index = 1790
Annotated 5SS: [711 928]
Annotated 3SS: [ 891 1399]
SMsplice 5SS: [711 928]
SMsplice 3SS: [ 891 1399]
top_k =  1000
Partition function (log Z): -4.773079686223455

Sorted 5' Splice Sites (High to Low Probability):
Position 711: 0.841099284747688
Position 175: 0.6256260720062502
Position 928: 0.3639059722110984
Position 1182: 0.12322950133161675
Position 1243: 0.1195733939626959
Position 1153: 0.04611718976215668
Position 47: 0.026802828380172
Position 41: 0.020901181891633817
Position 1009: 0.016785659899134366
Position 802: 0.007530522925267948
Position 1299: 0.006677421262268737
Position 351: 0.004078827361590787
Position 1640: 0.004001534342951144
Position 1287: 0.0036814426438003035
Position 974: 0.0031561549614550133
Position 715: 0.002658745981239555
Position 1022: 0.0015842537184720268
Position 75: 0.001436520596631832
Position 1031: 0.0013219115271121298
Position 945: 0.0012984156047246061
Position 723: 0.0011646108061967992
Position 472: 0.0009854632821839468
Position 1047: 0.0009571099541149289
Position 1832: 0.0008196724587719697
Position 516: 0.0008114088415595157
Position 250: 0.0006600644652260802
Position 1481: 0.000613322258433711
Position 356: 0.0005015218002984615
Position 243: 0.0004795702623767629
Position 1068: 0.00047251685294534605
Position 2008: 0.000471008420144835
Position 2015: 0.00046123056806851175
Position 1322: 0.00043639017730643184
Position 1496: 0.00038774997414730026
Position 485: 0.00036087582797599276
Position 941: 0.00033521801987221165
Position 1794: 0.00032231441147410596
Position 1659: 0.00030777371775264406
Position 1784: 0.0002887805670387089
Position 456: 0.00028258559200445253
Position 808: 0.0002784893782658318
Position 206: 0.00025298826577410346
Position 552: 0.00022634612689170067
Position 239: 0.00021272940413231094
Position 155: 0.0001903697069065285
Position 765: 0.00017258313661433543
Position 105: 0.00014979277682973128
Position 60: 0.00014635698158850117
Position 226: 0.00014351157327732
Position 1206: 0.00012845225271101082
Position 1988: 0.00010300165867800881
Position 812: 9.953766493997745e-05
Position 1247: 9.318248298047028e-05
Position 1173: 8.444737746192244e-05
Position 1250: 7.03788535070523e-05
Position 13: 6.7662351277003e-05
Position 726: 6.499480024911572e-05
Position 1126: 5.7099987671310104e-05
Position 1138: 5.4944243741397035e-05
Position 341: 5.1311514023816666e-05
Position 2013: 4.6487763325347914e-05
Position 1254: 4.3297718987674704e-05
Position 576: 3.8785018668925633e-05
Position 7: 3.269249391769552e-05
Position 1704: 2.9891025676236323e-05
Position 55: 2.2398113369952824e-05
Position 694: 2.194799429342188e-05
Position 501: 7.122881116575439e-06
Position 591: 7.0804144307715395e-06
Position 702: 6.796756434036761e-06
Position 1990: 6.558005324110399e-06
Position 181: 6.403660844817653e-06
Position 736: 5.758964584291243e-06
Position 550: 5.594869425099209e-06
Position 503: 3.840455783711976e-06
Position 137: 1.6372946880409818e-06
Position 556: 1.202297255599232e-06
Position 179: 1.1052783557846862e-06
Position 270: 7.783189075518511e-07
Position 794: 2.3128111229278057e-07
Position 241: 1.0718000176392479e-07
Position 1505: 1.0582821468696595e-07
Position 1159: 1.0537372658343797e-07
Position 632: 5.255215844649414e-08
Position 1011: 4.968400148869552e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 891: 0.883403654736395
Position 1399: 0.6443284431699763
Position 514: 0.1388763253257544
Position 413: 0.09363011611836403
Position 239: 0.06678789464222157
Position 289: 0.055614932197109425
Position 1093: 0.0412799223881356
Position 591: 0.037148372463131386
Position 226: 0.0328711335313488
Position 440: 0.030568994336465472
Position 89: 0.027835046476585475
Position 1347: 0.022664076169554903
Position 1892: 0.018476501007804246
Position 137: 0.015857922868192303
Position 525: 0.011046265856998421
Position 1286: 0.011023922582175199
Position 1350: 0.009200248272534035
Position 1313: 0.009164672062079045
Position 247: 0.009086834010498222
Position 644: 0.0076016222576883044
Position 768: 0.0072458308991289475
Position 576: 0.006980269485062276
Position 456: 0.006431557166142509
