Gene = eIF3l
index = 1686
Annotated 5SS: [ 142 1326 2353]
Annotated 3SS: [ 846 1379 2411]
SMsplice 5SS: [ 142 1326 2353]
SMsplice 3SS: [ 846 1379 2411]
top_k =  1000
Partition function (log Z): 0.11307372908161106

Sorted 5' Splice Sites (High to Low Probability):
Position 2353: 0.9891108004906212
Position 1326: 0.9684543589693477
Position 142: 0.6823274678900333
Position 405: 0.22608497845562409
Position 416: 0.02539575182892855
Position 484: 0.02033303545018144
Position 585: 0.016681566968006593
Position 704: 0.012966833884143448
Position 942: 0.010347906039778143
Position 785: 0.010132525136799604
Position 402: 0.009540380228377299
Position 566: 0.007012205672750556
Position 1529: 0.005953144240544879
Position 687: 0.005609051998482249
Position 424: 0.0045528149956108295
Position 1075: 0.00436684957058027
Position 793: 0.004061367269641773
Position 2134: 0.004008629872332092
Position 284: 0.003692702707783439
Position 1290: 0.0028728877628780188
Position 1553: 0.0024939062902587517
Position 631: 0.002388714677798203
Position 694: 0.0023451999579351783
Position 1657: 0.0022549227231474438
Position 937: 0.0020154195078755078
Position 987: 0.0020073074402128673
Position 1005: 0.0019973184218404333
Position 717: 0.0018990391407638872
Position 553: 0.001794177342847894
Position 2119: 0.0017785807939027308
Position 306: 0.0016529392679455154
Position 782: 0.0016381743142613603
Position 604: 0.00157494051403333
Position 439: 0.001184522120507333
Position 375: 0.0010081550315325888
Position 1634: 0.0009533339047232641
Position 1422: 0.0009441281698362636
Position 422: 0.0008156282737360614
Position 111: 0.0007749651039905717
Position 897: 0.0007260228446151342
Position 1102: 0.000709845247383875
Position 579: 0.0006616509285405714
Position 1278: 0.0006590358085891864
Position 652: 0.0006391386050336942
Position 1945: 0.0006221449103398516
Position 2044: 0.0006021100515525139
Position 1282: 0.0005501966045909916
Position 1735: 0.0004652917508573077
Position 1296: 0.00044968607182694666
Position 2005: 0.00043968595906168005
Position 288: 0.0003676133691939362
Position 2340: 0.0003601814608816314
Position 1087: 0.00035173498026051423
Position 2471: 0.00033245845520123667
Position 1330: 0.00031858470758096627
Position 1725: 0.00026737234344390546
Position 2487: 0.00021720791672766353
Position 1994: 0.00020572181760316577
Position 1320: 0.000196014691112397
Position 1170: 0.00018720071651388959
Position 1803: 0.00018261997964078613
Position 1686: 0.0001721478185577775
Position 1272: 0.0001305141858950228
Position 1906: 0.00012267127084669957
Position 1728: 0.00012165205209442096
Position 1294: 9.617005412737749e-05
Position 1128: 9.076557295119872e-05
Position 488: 7.544798055796513e-05
Position 1827: 6.848368463442771e-05
Position 290: 6.418521055033133e-05
Position 1814: 6.0642553270332767e-05
Position 77: 5.914756758037623e-05
Position 2169: 5.690994966692543e-05
Position 1125: 4.965317973001097e-05
Position 327: 4.845582930884997e-05
Position 378: 4.4148819319583436e-05
Position 266: 4.3357090293621245e-05
Position 146: 3.7658210300352366e-05
Position 116: 3.344252677805137e-05
Position 655: 2.9373910466585213e-05
Position 64: 2.74275063993058e-05
Position 1302: 2.7389450545350605e-05
Position 1160: 2.677558760448494e-05
Position 2181: 2.157165998298774e-05
Position 1443: 1.984715172803391e-05
Position 2065: 1.370661882934401e-05
Position 347: 1.3593209221063512e-05
Position 2491: 9.630749060428447e-06
Position 81: 7.541090562185624e-06
Position 1838: 6.799003544311485e-06
Position 2460: 6.659297931034846e-06
Position 1243: 6.648990338894552e-06
Position 40: 6.4166540240428395e-06
Position 1881: 4.950339410604417e-06
Position 469: 4.4441740375268285e-06
Position 29: 4.281049217576406e-06
Position 220: 4.178816447514675e-06
Position 663: 2.1331236720117524e-06
Position 35: 2.0077508882791103e-06
Position 1531: 1.8418622522463116e-06
Position 1017: 9.066566865996661e-07
Position 486: 8.297068473523828e-07
