Gene = Vajk1
index = 1592
Annotated 5SS: [ 205 1029]
Annotated 3SS: [ 554 1092]
SMsplice 5SS: [ 205 1029 1721]
SMsplice 3SS: [ 554 1092 1784]
top_k =  1000
Partition function (log Z): 1.7448037536826477

Sorted 5' Splice Sites (High to Low Probability):
Position 1029: 0.9948175854498377
Position 205: 0.9876925313257384
Position 1721: 0.506727388480014
Position 801: 0.4027397006978022
Position 1678: 0.2207880096896804
Position 1733: 0.1661066869366309
Position 2610: 0.05160126390028264
Position 1351: 0.017097265111400247
Position 2462: 0.015748557495629208
Position 1240: 0.010722794523600237
Position 1949: 0.006675878919971323
Position 1477: 0.006152797274822959
Position 1261: 0.005966545983945379
Position 1893: 0.004992457448603172
Position 1985: 0.002297167236690022
Position 1660: 0.0021515663511495636
Position 1147: 0.0020421208724269646
Position 471: 0.002033560026406102
Position 262: 0.0019807937901412348
Position 921: 0.0018570548070903246
Position 1429: 0.0015543772344569036
Position 704: 0.0014289438298352452
Position 47: 0.0013755619686099349
Position 2086: 0.001097356664784964
Position 2110: 0.0010761636873482486
Position 1033: 0.0009302474674052337
Position 2614: 0.0008359580440623581
Position 1423: 0.0007999082063521529
Position 1453: 0.0007990724460712878
Position 229: 0.0007690796225766663
Position 305: 0.0005930227562724918
Position 2538: 0.0005097959284713955
Position 1970: 0.0004980247785097619
Position 807: 0.000421425650417967
Position 2095: 0.00039936044160589966
Position 765: 0.0003732594438441719
Position 2103: 0.00035889797144507353
Position 879: 0.00034423610216232064
Position 2618: 0.00031551931711443047
Position 501: 0.00030984019850351444
Position 1465: 0.00023116997568242316
Position 1255: 0.00022187413599318606
Position 789: 0.00021630571595715616
Position 813: 0.00020921662887597763
Position 873: 0.00016056823694720116
Position 2645: 0.00015869861969811612
Position 1129: 0.00014236628583590198
Position 244: 0.00012585632874769444
Position 2576: 0.00012212905960364313
Position 2641: 0.00011414550102850719
Position 215: 0.00011179834450451529
Position 209: 0.0001010530828265895
Position 420: 9.870628663446706e-05
Position 246: 9.641098829964596e-05
Position 750: 9.579463040905446e-05
Position 1195: 8.96405472472055e-05
Position 1339: 8.94643528557135e-05
Position 831: 8.167080779344095e-05
Position 951: 6.242796323338005e-05
Position 1471: 6.238302894058137e-05
Position 2633: 6.055192683895136e-05
Position 198: 4.137619297166648e-05
Position 1593: 4.118492059615698e-05
Position 1494: 3.886093415677194e-05
Position 2628: 2.9318940989019336e-05
Position 231: 2.919188411929299e-05
Position 44: 2.8336498416616465e-05
Position 315: 2.6648790927426448e-05
Position 1207: 2.5642537840294805e-05
Position 56: 1.9762747540857857e-05
Position 2546: 1.890932396687382e-05
Position 2320: 1.888406089593183e-05
Position 1904: 1.6488235581361126e-05
Position 297: 1.492593430868108e-05
Position 1369: 1.4790591540776038e-05
Position 236: 1.4695751243675092e-05
Position 1910: 1.3954617990437052e-05
Position 1435: 1.351805955182123e-05
Position 66: 1.3506552254972945e-05
Position 897: 1.3390894367390513e-05
Position 441: 1.3032809230091717e-05
Position 1501: 1.2814184827527902e-05
Position 1531: 1.2631663653687443e-05
Position 475: 1.2231145616371807e-05
Position 1141: 1.1404870780697109e-05
Position 1549: 1.0327798484136959e-05
Position 407: 9.672481025357677e-06
Position 2073: 8.561506772813975e-06
Position 1411: 8.559735113727862e-06
Position 2544: 8.239223631684335e-06
Position 2730: 7.941821969068633e-06
Position 2303: 7.675969234039485e-06
Position 1093: 7.461466327146513e-06
Position 1153: 6.918008020025439e-06
Position 2671: 6.813903561766911e-06
Position 1399: 6.7064525206378995e-06
Position 1171: 6.34226336266153e-06
Position 1303: 6.100866408409861e-06
Position 1357: 6.0724466262790855e-06
Position 1279: 5.56720864924231e-06
Position 15: 4.711989536985078e-06
Position 2566: 3.9859854851567276e-06
Position 939: 3.9780836408343554e-06
Position 2535: 3.6129532989133202e-06
Position 933: 3.1247337367732952e-06
Position 1213: 3.0699341651341728e-06
Position 2372: 2.2632655083509234e-06
Position 2375: 2.1882091591471783e-06
Position 981: 2.0144382761379182e-06
Position 1023: 1.8388191521112543e-06
Position 999: 1.3932982106042146e-06
Position 449: 1.3777336361522917e-06
Position 1117: 1.311961071278646e-06
Position 1183: 1.1730916440456932e-06
Position 603: 1.1603878457617035e-06
Position 113: 1.1139584492275933e-06
Position 1017: 9.800584327725247e-07
Position 22: 8.948342595531837e-07
Position 2427: 6.761614072702542e-07
Position 861: 6.629688744240998e-07
Position 131: 4.898258851621521e-07
Position 1061: 4.0337320919185374e-07
Position 30: 3.823730438693402e-07
Position 58: 2.823731475299214e-07
Position 837: 2.669262154434289e-07
Position 1393: 2.509642311815006e-07
Position 1333: 2.3204927004058338e-07
Position 1327: 2.3137854557045823e-07
Position 1231: 2.282653701721317e-07
Position 107: 2.2049265863961207e-07
Position 167: 2.184723872301239e-07
Position 1135: 2.0816941811214433e-07
Position 1513: 1.9254522177862534e-07
Position 1387: 1.9139178952903026e-07
Position 867: 1.7375118872086382e-07
Position 118: 1.546342893560287e-07
Position 1315: 1.2432556924303013e-07
Position 843: 1.1533121005714738e-07
Position 1243: 1.1186774725438099e-07
Position 1099: 7.072352492261449e-08
Position 1267: 4.891448277481664e-08
Position 1489: 1.3885615766126179e-08
Position 1382: 1.2361734931688307e-08
Position 1063: 8.37824387744523e-09
Position 987: 7.878867079403465e-09
Position 969: 1.9164609119005744e-09
Position 523: 7.063401293125386e-10
Position 1085: 1.1035450324600216e-10
Position 2515: 1.0855361546187007e-11
Position 579: 1.8270470265268687e-13
Position 993: 3.245430879104008e-15

Sorted 3' Splice Sites (High to Low Probability):
Position 1784: 0.9717307604926105
Position 1092: 0.9398294016098038
Position 554: 0.8852090918330537
Position 872: 0.4836658276284576
Position 2667: 0.0523624034002847
Position 598: 0.015824646473620658
Position 2515: 0.009025060374842036
Position 2025: 0.006919416171467329
Position 561: 0.006190529986251651
Position 1171: 0.005550358040226322
Position 2525: 0.0052093880576240545
Position 1945: 0.005149598480351957
Position 1117: 0.00460627159084705
Position 491: 0.003468274910016842
Position 1506: 0.0031063964866357287
Position 1545: 0.002858262217234993
Position 2160: 0.0026288742352411167
Position 2709: 0.0023308077871866412
Position 2048: 0.0021253469336213466
Position 977: 0.0020283274290402347
Position 1407: 0.0017478933009999352
Position 1327: 0.0016499609987085044
Position 1303: 0.0013675129454824052
Position 497: 0.001336760997912195
Position 1569: 0.0011988893457433852
Position 1260: 0.0010204093802667284
Position 1521: 0.0007770525068170671
Position 1239: 0.0007243880767422995
Position 1461: 0.0005490788891262271
Position 878: 0.0005411592725336386
Position 475: 0.0005253064353721691
Position 274: 0.0005084525869660649
Position 424: 0.0004763775041058837
Position 2130: 0.0004328490113114662
Position 851: 0.0004161212754428498
Position 107: 0.0004136431572336141
Position 118: 0.00032504210818519057
Position 2836: 0.0003191096080588484
Position 980: 0.0002779614015699293
Position 2139: 0.0002285138723148509
Position 800: 0.00020960129126733427
Position 2008: 0.00019798083166796344
Position 2400: 0.0001945390232222067
Position 2730: 0.00018909150888732926
Position 2124: 0.00017586057986171164
Position 2639: 0.00017156782284171194
Position 255: 0.000162943892548314
Position 441: 0.00015061646919415766
Position 2248: 0.00013699668149201835
Position 2494: 0.00013228456596707692
Position 2706: 0.00012671018274217375
Position 926: 0.0001263735839130331
Position 2001: 0.00010811082236016569
Position 1605: 9.938036447991686e-05
Position 1851: 9.696003613628128e-05
Position 887: 9.633192614195516e-05
Position 1404: 9.174763031721214e-05
Position 1146: 8.33506618364068e-05
Position 1584: 7.738468410038317e-05
Position 177: 7.345055540015749e-05
Position 2797: 7.059560349097429e-05
Position 827: 6.969520347821015e-05
Position 1962: 6.458098925710944e-05
Position 2173: 6.355473129118762e-05
Position 929: 5.375082311347922e-05
Position 797: 4.3661622921993604e-05
Position 2032: 3.898320861770801e-05
Position 920: 3.850092054187359e-05
Position 1542: 3.79372257722078e-05
Position 2115: 3.778954596299091e-05
Position 1128: 3.696404965408214e-05
Position 293: 3.694874238301002e-05
Position 938: 3.6845486192418896e-05
Position 773: 3.420282480385123e-05
Position 315: 3.239590878184855e-05
Position 2462: 2.1395891248129488e-05
Position 281: 1.9001036073796314e-05
Position 1428: 1.5791861440000203e-05
Position 848: 1.5464219279111948e-05
Position 1179: 1.3390089888577718e-05
Position 1221: 1.1293084018363796e-05
Position 609: 1.0842902682968774e-05
Position 623: 1.040516190139948e-05
Position 614: 8.880399679676675e-06
Position 647: 8.835140146789789e-06
Position 1333: 8.482485246969326e-06
Position 1017: 7.795725617438039e-06
Position 1236: 7.51028679323435e-06
Position 974: 7.147544381934174e-06
Position 950: 6.380827775106268e-06
Position 650: 6.360488484785742e-06
Position 1587: 6.1805556270843465e-06
Position 1350: 5.547791740445262e-06
Position 1855: 5.474914546324454e-06
Position 501: 5.018403705849702e-06
Position 2228: 4.021558600585879e-06
Position 2199: 3.7246644849758925e-06
Position 776: 3.5128067193493435e-06
Position 262: 2.5857368308673635e-06
Position 620: 2.276771437260877e-06
Position 644: 2.1067290822903438e-06
Position 779: 1.8759269212110669e-06
Position 76: 1.6142148311093465e-06
Position 704: 1.51309659377669e-06
Position 1141: 1.3055924047530735e-06
Position 957: 1.3017950011733266e-06
Position 1476: 1.2922929187176318e-06
Position 66: 1.2550155923762455e-06
Position 1125: 1.1847783223477642e-06
Position 1411: 1.111604188213772e-06
Position 305: 9.530044038253338e-07
Position 2254: 7.676702680911909e-07
Position 824: 6.003762137990682e-07
Position 641: 5.312659833181371e-07
Position 662: 2.1933854280187596e-07
Position 191: 1.66301372085332e-07
Position 668: 1.025905638961167e-07
Position 807: 8.262329170309205e-08
Position 188: 4.6968621537441145e-08
Position 221: 3.0741542463809875e-08
Position 681: 2.5752490030431027e-08
Position 1200: 1.3277706753862654e-08
Position 1028: 1.1415064006102843e-08
Position 244: 2.3241674526463988e-10
Position 1054: 1.2338143827784462e-10
Position 209: 1.1318911549651325e-10
Position 236: 3.8022741230674456e-11
Position 198: 3.684553002794083e-11
Position 710: 9.515132178673598e-12
