Gene = Culd
index = 1112
Annotated 5SS: [ 292  685 1153 2055 2818]
Annotated 3SS: [ 353  747 1685 2112 2883]
SMsplice 5SS: [ 292 1153 1519 2055 2818]
SMsplice 3SS: [ 353 1348 1685 2112 2883]
top_k =  1000
Partition function (log Z): 5.5273440982669495

Sorted 5' Splice Sites (High to Low Probability):
Position 2055: 0.9931472312812412
Position 292: 0.9810861782660073
Position 1153: 0.9709802515185147
Position 2818: 0.9366530400567022
Position 1519: 0.6559570430052418
Position 2998: 0.45982969652479666
Position 685: 0.4046875011364251
Position 909: 0.31838735470993074
Position 2544: 0.13849268240944032
Position 1615: 0.12722550959156081
Position 1000: 0.06919551176590309
Position 705: 0.04077456405926831
Position 2264: 0.028051684710272962
Position 1591: 0.020158753534377252
Position 594: 0.013677246913659905
Position 3197: 0.00921703970655029
Position 868: 0.008144273236409429
Position 437: 0.0070171753458849176
Position 1550: 0.006593991024015288
Position 1265: 0.005232673681870428
Position 1495: 0.004951111841369962
Position 1216: 0.00344588081267276
Position 3213: 0.0028287558796723285
Position 1430: 0.0024994768250863604
Position 1255: 0.0023381206822111356
Position 1555: 0.0022190866100056422
Position 1514: 0.0021892597302845002
Position 1026: 0.002099985192140383
Position 481: 0.0020741200253717768
Position 1504: 0.0018099493565768775
Position 1098: 0.0013380746088615255
Position 3002: 0.0012717753592419252
Position 2406: 0.001199533573727231
Position 1558: 0.0006461232877073175
Position 1509: 0.0006426941226167888
Position 3822: 0.0006310837390879818
Position 2822: 0.0005644142222121933
Position 271: 0.0005007406366699703
Position 256: 0.0004040385558493913
Position 1157: 0.0003842216463761299
Position 762: 0.00029185135412230937
Position 822: 0.0002910286618841061
Position 2455: 0.000270226111931884
Position 2385: 0.00026221074148727384
Position 2425: 0.00024216795821987457
Position 1433: 0.00022634689046367317
Position 3833: 0.0002036233418515284
Position 3204: 0.00018873672365682866
Position 2815: 0.00017418991808498433
Position 709: 0.0001711276494352159
Position 298: 0.00016276235298030584
Position 1442: 0.0001553822373282857
Position 701: 0.000152175665128395
Position 2059: 0.00015054470385301834
Position 3809: 0.0001425830493313708
Position 1572: 0.00012495086402166032
Position 1080: 0.0001232475936822264
Position 1437: 0.00012190185739660369
Position 3201: 0.00012138171687912389
Position 1757: 0.00011776185978584362
Position 401: 0.0001137769414690963
Position 836: 0.0001130089231537697
Position 2000: 0.00011067239465343149
Position 802: 9.935880158050214e-05
Position 296: 8.285732295480835e-05
Position 1595: 8.21854137532178e-05
