Gene = Sfp26Ad
index = 1490
Annotated 5SS: [102]
Annotated 3SS: [171]
SMsplice 5SS: [102]
SMsplice 3SS: [171]
top_k =  1000
Partition function (log Z): -4.927421291959122

Sorted 5' Splice Sites (High to Low Probability):
Position 102: 0.9070380565885908
Position 106: 0.04704078705347648
Position 67: 0.028709018366621028
Position 351: 0.008531902992274765
Position 64: 0.00840147774878337
Position 99: 0.00824893669165526
Position 297: 0.002509456423275276
Position 441: 0.0008334461889232561
Position 306: 0.0003907410848992942
Position 423: 0.0002748491805473203
Position 409: 0.000162720442707433
Position 36: 0.00014368605686410638
Position 147: 0.00013174034670193296
Position 26: 9.862696506547473e-05
Position 487: 8.719265056964293e-05
Position 585: 7.274931656619321e-05
Position 301: 6.492420762906359e-05
Position 427: 5.0419855193793906e-05
Position 283: 3.4461039752491854e-05
Position 406: 3.2415057824547126e-05
Position 490: 2.9974746566587933e-05
Position 335: 2.9337398894356257e-05
Position 6: 1.9788173502364444e-05
Position 361: 1.635072432650452e-05
Position 617: 1.5425994996450682e-05
Position 126: 1.2397716903592465e-05
Position 494: 8.534047994861212e-06
Position 28: 7.083334801732006e-06
Position 492: 4.4076312825960607e-07
Position 210: 4.058469742389945e-07
Position 621: 3.471302854934566e-07
Position 614: 1.1973889835555723e-07
Position 626: 1.2066396274436988e-08
Position 189: 5.595142605075636e-09
Position 207: 4.283813158519282e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 171: 0.9964805970694195
Position 490: 0.005460425681753067
Position 151: 0.00199450475452795
Position 423: 0.001625303898959451
Position 626: 0.0012893791040329127
Position 438: 0.0012782226482629393
Position 215: 0.0010821087844285647
Position 621: 0.0007783136518515476
Position 380: 0.0007691162256158846
Position 414: 0.0005972211934651827
Position 351: 0.00048565767603953963
Position 669: 0.0004428337802783293
Position 503: 0.00017949424202511651
Position 453: 0.00012464428511730407
Position 651: 0.0001191382242522216
Position 189: 9.890883323072199e-05
Position 464: 4.111047712687697e-05
Position 554: 2.8826243805069756e-05
Position 221: 2.7484748816103115e-05
Position 218: 2.4106735845578066e-05
Position 355: 2.15613946326545e-05
Position 537: 1.9443051780485288e-05
Position 512: 9.898580142675638e-06
Position 323: 5.762711318664461e-06
Position 281: 5.65145002948354e-06
Position 562: 5.375352263105111e-06
Position 116: 9.432834100525106e-07
Position 514: 7.109696971379302e-07
Position 335: 3.9689817071476287e-07
Position 274: 3.2926392457141104e-07
Position 106: 1.5321837780740653e-07
Position 230: 8.13582363208975e-08
Position 519: 7.215052660928623e-08
Position 49: 2.7407642031298643e-08
Position 57: 2.5697650412173803e-08
Position 64: 3.8510446721952584e-10
Position 71: 1.092554050044931e-10
Position 283: 6.47625085513156e-16
