Gene = Tmc
index = 1563
Annotated 5SS: [  321  6215  6328  6939  7295  7668  8174  8383  8740  9436  9596  9750
 10052 12073 13545 13799 14031 14409]
Annotated 3SS: [ 6077  6286  6647  7166  7562  7984  8251  8628  9340  9498  9656  9895
 10115 13439 13616 13853 14085 14478]
SMsplice 5SS: [  321  6215  6328  6939  7295  7668  8174  8383  8740  9436  9596  9750
 10052 13545 13799 14031 14409]
SMsplice 3SS: [ 6077  6286  6667  7166  7562  7984  8251  8628  9340  9498  9656  9895
 13439 13616 13853 14085 14478]
top_k =  1000
Partition function (log Z): 41.361996586095046

Sorted 5' Splice Sites (High to Low Probability):
Position 14031: 0.9969182080449533
Position 9596: 0.9965421845031337
Position 13799: 0.9958688954537697
Position 9436: 0.9927539308067621
Position 8174: 0.9917287091082104
Position 7295: 0.9870380228683163
Position 9750: 0.9783304358189917
Position 10052: 0.973638752324594
Position 14409: 0.9467605629705497
Position 321: 0.9372172294414735
Position 6215: 0.9318287389045755
Position 8383: 0.9003951096336708
Position 7668: 0.8780941688558342
Position 13545: 0.8460944879709071
Position 12073: 0.6952276047135807
Position 6328: 0.6628637461638804
Position 8740: 0.43634150195703775
Position 10355: 0.3480882543411461
Position 7119: 0.22410312230457113
Position 9234: 0.18444594384539786
Position 3072: 0.14382603214644202
Position 8813: 0.12744780907310818
Position 9291: 0.11418599113478026
Position 7874: 0.10173900540823565
Position 8432: 0.07686383824883516
Position 1520: 0.05730868993039763
Position 8786: 0.05499624592662868
Position 6950: 0.053442035659940906
Position 14423: 0.05239977953348695
Position 5569: 0.04931662706106736
Position 10868: 0.04644967919051124
Position 13260: 0.03714095464092072
Position 10534: 0.03385618188818038
Position 11377: 0.03336729768496366
Position 432: 0.029921281037889873
Position 8749: 0.028904834972567663
Position 7068: 0.027531432538616705
Position 8855: 0.017095339453338597
Position 9278: 0.015566756883270421
Position 6943: 0.014538771247655997
Position 66: 0.014130712894657525
Position 7646: 0.012905336603029557
Position 1824: 0.011581357011009059
Position 5010: 0.011485951982051048
Position 10301: 0.010507427117030354
Position 10444: 0.009759956535257203
Position 6337: 0.009063502454960522
Position 9742: 0.008781131581513255
Position 11310: 0.00875820421540268
Position 6933: 0.008586691475336672
Position 10694: 0.008574122075662508
Position 1197: 0.008233281707115257
Position 6415: 0.007747845616373184
Position 1092: 0.007531641038764393
Position 3556: 0.0069783224416962945
Position 10364: 0.00693326817676848
Position 325: 0.006754021195262459
Position 11534: 0.006714576534119456
Position 8804: 0.006577668459829577
Position 4879: 0.006132574533640134
