Gene = Sras
index = 1518
Annotated 5SS: [493]
Annotated 3SS: [551]
SMsplice 5SS: [493]
SMsplice 3SS: [551]
top_k =  1000
Partition function (log Z): -5.3050053482156

Sorted 5' Splice Sites (High to Low Probability):
Position 493: 0.9759076408901758
Position 763: 0.047148358127205414
Position 177: 0.026020675616676384
Position 354: 0.015514143770221225
Position 628: 0.01475181621032353
Position 790: 0.010188746502181347
Position 796: 0.006990355659143338
Position 499: 0.00478328095415454
Position 593: 0.004210787081871795
Position 206: 0.0028508832566166453
Position 376: 0.0025634492983045345
Position 758: 0.0020343356653063065
Position 210: 0.0018894851354568744
Position 283: 0.001840542400197297
Position 605: 0.0012031560412161548
Position 100: 0.0011798421631632236
Position 294: 0.0009301441732275844
Position 473: 0.0008863896663702348
Position 477: 0.000521384513941241
Position 634: 0.0005187965016253585
Position 716: 0.00035493031508686035
Position 214: 0.0002605486333153908
Position 135: 0.0002510768453326548
Position 6: 0.00012437747696419365
Position 689: 0.00010070110860606022
Position 1067: 9.938180513809393e-05
Position 632: 8.628087422195737e-05
Position 429: 7.466232173983617e-05
Position 683: 7.128398892306967e-05
Position 55: 3.325011218070888e-05
Position 900: 3.165316051150852e-05
Position 32: 3.0718429469833936e-05
Position 264: 2.9621510002127725e-05
Position 852: 1.730387321693374e-05
Position 408: 1.6938514149242925e-05
Position 405: 1.534311495927837e-05
Position 318: 1.3917068325764603e-05
Position 857: 1.2934108291023291e-05
Position 998: 1.2794275793859792e-05
Position 395: 5.050090413942866e-06
Position 846: 4.600325157550381e-06
Position 1141: 2.415449002441459e-06
Position 875: 2.015880978713131e-06
Position 947: 2.0137611954004836e-06
Position 1059: 1.952993518150354e-06
Position 138: 1.7271349182053502e-06
Position 287: 1.696137343467117e-06
Position 117: 1.43163468871484e-06
Position 285: 1.2869458664133369e-06
Position 165: 1.262293681861267e-06
Position 1106: 1.091137813473251e-06
Position 1213: 1.0517498071575926e-06
Position 311: 9.281179450906658e-07
Position 1090: 9.056410321312665e-07
Position 456: 8.671079010983841e-07
Position 1071: 7.919163042415953e-07
Position 1094: 6.526471212352699e-07
Position 201: 1.7440491602505782e-07
Position 30: 1.693466334494524e-07
Position 184: 1.579086639305556e-07
Position 24: 1.1784754409841987e-07
Position 1120: 1.1394179313345917e-07
Position 27: 8.898627530584927e-08
Position 192: 2.4059009017930334e-08
Position 922: 4.2628707187752165e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 551: 0.9815327395708454
Position 851: 0.10239620653858078
Position 421: 0.030223543018301248
Position 467: 0.002175040852147227
Position 667: 0.0014692529744589676
Position 158: 0.0010807425679983877
Position 269: 0.0007974686037338287
Position 341: 0.0007224910769584593
Position 274: 0.0005699563433438746
Position 368: 0.0004637436452729836
Position 737: 0.00028180671694907005
Position 796: 0.0002795711858109565
Position 401: 0.0002743330997446649
Position 971: 0.0002721531788638355
Position 306: 0.00021687141491593087
Position 719: 0.00011566155105048922
Position 55: 0.00010197178719124137
Position 582: 9.700829634582638e-05
Position 916: 8.723172379330865e-05
Position 1186: 8.628268904882151e-05
Position 521: 7.493088206698642e-05
Position 271: 4.7321059556480295e-05
Position 217: 3.83708750990497e-05
Position 232: 3.736545062370541e-05
Position 283: 3.341887334386283e-05
Position 611: 2.345646607708139e-05
Position 1237: 2.3016421993307998e-05
Position 755: 1.814392150289455e-05
Position 349: 1.6304975537808414e-05
Position 389: 1.0867794089968399e-05
Position 1202: 1.0088537980228403e-05
Position 1059: 8.577941106641015e-06
Position 499: 6.03448726522254e-06
Position 505: 3.7102953016409995e-06
Position 931: 1.5202894120850887e-06
Position 1267: 1.4670627672237643e-06
Position 928: 1.1043422803314518e-06
Position 138: 5.96096521672337e-07
Position 1218: 5.533571997197123e-07
Position 1163: 5.227505283702809e-07
Position 59: 5.102660517824037e-07
Position 1241: 4.916546183651555e-07
Position 567: 4.845356034923367e-07
Position 1213: 4.779312333705459e-07
Position 473: 4.094817093486553e-07
Position 100: 2.1606646199694312e-07
Position 1209: 1.7727047794031407e-07
Position 129: 1.5096156485388765e-07
Position 1269: 6.884789063326424e-08
Position 111: 4.121038421551266e-08
Position 117: 2.3194796313922684e-08
Position 64: 1.8516512620666016e-08
Position 104: 8.692975005541667e-12
Position 181: 4.152659166984838e-12
