Gene = FASN3
index = 1160
Annotated 5SS: [ 247 2628 4498 4979 6319 6996 7516 7927 9085]
Annotated 3SS: [2109 2679 4554 5040 6382 7240 7576 7988 9144]
SMsplice 5SS: [ 247 2628 4498 4979 6319 7516 7927 8081 9085]
SMsplice 3SS: [2109 2679 4554 5040 6382 7576 7988 8167 9144]
top_k =  1000
Partition function (log Z): 6.713047702151773

Sorted 5' Splice Sites (High to Low Probability):
Position 4979: 0.9949663688107863
Position 4498: 0.9924396288328774
Position 6319: 0.9853523251256
Position 2628: 0.9830429956506958
Position 7927: 0.9322974034792224
Position 247: 0.8824510546880513
Position 9085: 0.8230008315981208
Position 7516: 0.8049697039004601
Position 8081: 0.7577612148236197
Position 3189: 0.4604974558250453
Position 8363: 0.1938656373981501
Position 5666: 0.15812441128591045
Position 664: 0.1279666372554859
Position 7718: 0.10597395815271334
Position 6849: 0.09620457503274195
Position 8795: 0.09028921649885782
Position 2871: 0.08002264721600344
Position 5237: 0.07160842882556431
Position 6996: 0.05568941839963113
Position 8092: 0.043554421095396846
Position 8600: 0.04110412261561876
Position 4722: 0.03796034874293687
Position 8561: 0.036317486031665985
Position 3158: 0.031778144157042144
Position 6809: 0.0291773147511849
Position 5653: 0.027252066461487277
Position 172: 0.026382181651388645
Position 9514: 0.02583583556440502
Position 543: 0.02248722133538874
Position 5126: 0.021107597802345775
Position 3484: 0.019435381839515563
Position 8651: 0.01935500522587527
Position 3839: 0.01889162637539924
Position 3507: 0.016507754680010908
Position 3034: 0.01650409150076938
Position 507: 0.01533498918915578
Position 6929: 0.015107922296382892
Position 5789: 0.014373028935581022
Position 1367: 0.01382323112674919
Position 3843: 0.013686892197648626
Position 1771: 0.013405931260810387
Position 4687: 0.012430880176077824
Position 5643: 0.012413774660597001
Position 5898: 0.01214992824431795
Position 7109: 0.011394496763964288
Position 2045: 0.011181057591913799
Position 2395: 0.010270718877766967
Position 1765: 0.010175425298703399
Position 1816: 0.009601460396488204
Position 2426: 0.009315938325229584
Position 1934: 0.008778662222947903
Position 161: 0.007738455293008855
Position 4675: 0.007471050286105379
Position 1322: 0.007467548994719516
Position 1761: 0.0072543909607855886
Position 9535: 0.006634365990159785
Position 8342: 0.006080476828671908
Position 5939: 0.005957180243136461
Position 3468: 0.005540594980609555
Position 9670: 0.0055094169196906505
Position 7199: 0.005375845682862345
Position 5427: 0.005061707403894851
Position 2955: 0.005011855929636423
Position 8696: 0.004806192329584429
Position 9682: 0.0047944620046599185
