Gene = Uxt
index = 1591
Annotated 5SS: [117]
Annotated 3SS: [167]
SMsplice 5SS: [117]
SMsplice 3SS: [167]
top_k =  1000
Partition function (log Z): -9.000666663630957

Sorted 5' Splice Sites (High to Low Probability):
Position 117: 0.9385968996918844
Position 285: 0.05171746116854474
Position 76: 0.0209616802148669
Position 17: 0.017797774518224303
Position 526: 0.0034824224743918585
Position 481: 0.0025574368074471714
Position 151: 0.0018470316362922579
Position 650: 0.0010189165699029852
Position 660: 0.0008723050346068232
Position 418: 0.0005087114581041707
Position 252: 0.000493619337926939
Position 121: 0.0004442899710832262
Position 370: 0.0003751650559629524
Position 264: 0.00024367596933831423
Position 136: 0.00013078667505648684
Position 654: 8.937209808168405e-05
Position 220: 7.348797119432739e-05
Position 412: 4.545951916259284e-05
Position 352: 4.3012505624516574e-05
Position 642: 3.408228950365754e-05
Position 430: 2.4141306695420364e-05
Position 663: 2.3100979367054847e-05
Position 779: 1.772447493216926e-05
Position 739: 1.3672909714429526e-05
Position 289: 8.795019080778598e-06
Position 432: 6.777091048374442e-06
Position 388: 4.72285048144919e-06
Position 699: 4.329807966104643e-06
Position 149: 4.179776024713901e-06
Position 857: 3.7557952547056962e-06
Position 207: 3.3121688504983604e-09
Position 508: 4.174111008142607e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 167: 0.8229052391724937
Position 171: 0.13327418561206003
Position 594: 0.024494358557624787
Position 334: 0.017496257480140602
Position 381: 0.01246374005671193
Position 97: 0.005358774505835122
Position 365: 0.005309377189651657
Position 145: 0.0034926642059810915
Position 727: 0.0032700517467355744
Position 454: 0.002814142333335189
Position 352: 0.0014164101620547866
Position 755: 0.0013312885108885363
Position 76: 0.0012393469927590363
Position 769: 0.0008872677398899207
Position 626: 0.0007520727138879198
Position 802: 0.0006914761734652555
Position 486: 0.0006373875698056511
Position 562: 0.0006125632330668071
Position 739: 0.000610653699629858
Position 136: 0.00032061719089300045
Position 100: 0.00028963450428449365
Position 899: 0.0002832116688122805
Position 404: 0.00024174980073022657
Position 183: 0.00012946691515574276
Position 663: 0.00011514240778761202
Position 149: 0.00010929301395478288
Position 498: 8.989074529521086e-05
Position 682: 8.637400406536536e-05
Position 629: 7.398288242860889e-05
Position 264: 7.042462916080074e-05
Position 699: 7.007936589469008e-05
Position 426: 5.725182513814402e-05
Position 312: 4.975793758946151e-05
Position 808: 4.6159190503344995e-05
Position 805: 4.3017326728624955e-05
Position 239: 4.122369205072202e-05
Position 660: 4.088524385935736e-05
Position 928: 3.4184889696149297e-05
Position 944: 3.305684588218342e-05
Position 107: 2.573711277285651e-05
Position 219: 2.315954363177806e-05
Position 857: 1.6173124487478393e-05
Position 294: 1.335456068414292e-05
Position 207: 1.2462595093977778e-05
Position 575: 1.1040671605922046e-05
Position 252: 1.0398099372581892e-05
Position 536: 9.884752407197084e-06
Position 229: 9.66803956834746e-06
Position 609: 9.649742680970115e-06
Position 771: 9.543457448646735e-06
Position 919: 4.630822864849069e-06
Position 231: 2.858200817469289e-06
Position 692: 1.7577546970946678e-06
Position 524: 1.6845741345038556e-06
Position 112: 7.440523049931392e-08
Position 155: 2.43399485622059e-08
Position 204: 2.360047660761419e-08
Position 121: 4.5939782583928724e-09
Position 300: 2.547573347727481e-09
Position 241: 3.2247066524374587e-10
Position 273: 6.575077176195872e-11
Position 117: 3.171579793775621e-11
Position 285: 5.353191112501719e-12
Position 243: 4.5129350485079596e-12
Position 276: 2.137882678991504e-12
