Gene = Fas3
index = 1162
Annotated 5SS: [  629 63618 64079 64792]
Annotated 3SS: [63299 63736 64356 66054]
SMsplice 5SS: [  629 36374 37268 37417 63618 64079 64792]
SMsplice 3SS: [36167 36434 37322 63299 63736 64356 72623]
top_k =  1000
Partition function (log Z): -73.32753725755231

Sorted 5' Splice Sites (High to Low Probability):
Position 629: 0.6637743593343407
Position 1124: 0.5499695176633643
Position 23922: 0.06287476809109682
Position 201: 0.016199404168869
Position 14354: 0.008839164704959688
Position 657: 0.0031620057327328087
Position 203: 0.0024219592043690586
Position 16515: 0.002277836946791085
Position 13549: 0.0021210019256346956
Position 18392: 0.0018811074774997838
Position 13330: 0.0018060873564467578
Position 149: 0.0017939807638122762
Position 888: 0.0016712027772221672
Position 727: 0.0013164633692521975
Position 215: 0.0007516208449918706
Position 906: 0.0007084682522692892
Position 14: 0.000696180699794061
Position 717: 0.0006233205514854759
Position 871: 0.00043134006046760635
Position 571: 0.0003781229306318969
Position 13585: 0.0003587396481703264
Position 153: 0.00034206893589392644
Position 899: 0.00031974980218228184
Position 131: 0.00018937711572512294
Position 752: 0.000160796025654767
Position 402: 0.0001604726451515699
Position 14045: 0.0001590023512630095
Position 442: 0.00014570811168652093
Position 412: 0.00013694648101865613
Position 88: 0.00011775731516385774
Position 143: 0.00011738538018551025
Position 290: 0.0001114731611885778
Position 384: 8.568617851876769e-05
Position 873: 8.563934654209443e-05
Position 668: 5.283676209528387e-05
Position 1036: 5.027181694417597e-05
Position 719: 4.94830281568514e-05
Position 113: 3.58896436905951e-05
Position 147: 3.411437421477257e-05
Position 998: 3.267924485435061e-05
Position 460: 2.7399717474512734e-05
Position 1099: 2.7337506585713183e-05
Position 1943: 2.5162378029330177e-05
Position 1058: 2.444809151239227e-05
Position 3503: 2.4240836587928074e-05
Position 1025: 2.238139391575428e-05
Position 876: 2.127061710484767e-05
Position 2435: 2.0881257594945407e-05
Position 864: 1.7759122069324823e-05
Position 801: 1.5186229278929257e-05
Position 71: 1.416571761254731e-05
Position 205: 1.3889793509756396e-05
Position 913: 1.308914386268412e-05
Position 389: 1.2899639933082426e-05
Position 11661: 1.1512156421628154e-05
Position 543: 1.102566318742452e-05
Position 8578: 1.0971581375917086e-05
Position 698: 9.860679620446682e-06
Position 2053: 9.150826407943664e-06
Position 817: 8.511730950833701e-06
Position 2743: 7.4244687326813816e-06
Position 59: 5.986105122756659e-06
Position 2397: 5.648013223625435e-06
Position 5018: 5.295085722430022e-06
Position 964: 5.120916578571494e-06
Position 12138: 4.689351294543201e-06
Position 1628: 4.662987670685218e-06
Position 8957: 4.631803723639319e-06
Position 598: 4.322640518326149e-06
Position 8786: 4.120078603611317e-06
Position 122: 3.94666310852119e-06
Position 207: 3.7266813530873925e-06
Position 1000: 2.5080393146290745e-06
Position 608: 2.1761652102972334e-06
Position 217: 2.1082596235268955e-06
Position 348: 2.1025509208419442e-06
