Gene = Cpr23B
index = 1091
Annotated 5SS: [75]
Annotated 3SS: [145]
SMsplice 5SS: [75]
SMsplice 3SS: [145]
top_k =  1000
Partition function (log Z): -2.296527795154794

Sorted 5' Splice Sites (High to Low Probability):
Position 75: 0.9997445910886141
Position 231: 0.004686188201191128
Position 680: 0.0023034260966610237
Position 541: 0.0007114015778744245
Position 363: 0.0005489488735100291
Position 749: 0.0004719202969304334
Position 479: 0.0003614058826972815
Position 548: 0.0003204308948327279
Position 79: 0.0002353428537155985
Position 770: 0.00023218638125238475
Position 672: 0.0002303204000762132
Position 767: 0.0001911723092831427
Position 584: 0.0001717528950483834
Position 639: 0.00012327002871439222
Position 346: 0.00010701248388165325
Position 728: 8.504828228675487e-05
Position 677: 8.379859635841729e-05
Position 518: 4.117778431945906e-05
Position 545: 2.5864067792675958e-05
Position 374: 1.8641215084437707e-05
Position 82: 8.105865425767224e-06
Position 326: 6.831886759792244e-06
Position 532: 6.498075687901495e-06
Position 482: 4.715655648418448e-06
Position 800: 2.7523387204177454e-06
Position 779: 2.3151145558189085e-06
Position 903: 2.135057413707427e-06
Position 408: 1.9506235514900606e-06
Position 7: 1.8348071086788505e-06
Position 1029: 9.449562748238701e-07
Position 620: 9.3870674901209e-07
Position 240: 5.543204872160214e-07
Position 965: 4.536209207354788e-07
Position 235: 3.971940920710084e-07
Position 1043: 3.797979604534037e-07
Position 372: 3.739274909289556e-07
Position 193: 3.648815368333404e-07
Position 865: 3.62229989108358e-07
Position 22: 3.05415062859091e-07
Position 1052: 2.9170109865578996e-07
Position 821: 2.2625357743308774e-07
Position 136: 1.6085993572852166e-07
Position 927: 1.3308400043799934e-07
Position 803: 1.0790953694569253e-07
Position 428: 7.747890007913377e-08
Position 869: 3.0488998633468765e-08
Position 452: 5.3732060787084575e-11
Position 557: 2.3818292036690696e-11
Position 160: 1.5760230271658546e-11
Position 145: 7.479214102675178e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 145: 0.9986375636999939
Position 820: 0.006117660005010822
Position 397: 0.002482544773100927
Position 183: 0.001036379514995032
Position 600: 0.0009080629803436365
Position 469: 0.0002959151152161747
Position 606: 0.00023098284285737509
Position 279: 0.00021707639030232181
Position 360: 0.00018042347674342927
Position 301: 0.00017804513405623906
Position 796: 0.0001271305495882237
Position 696: 8.95952611240591e-05
Position 829: 3.552462483526832e-05
Position 499: 2.7249585298848504e-05
Position 339: 2.3841641999690152e-05
Position 1103: 1.7318624083342675e-05
Position 721: 1.43015149461172e-05
Position 568: 1.332095866893581e-05
Position 496: 1.291464953189805e-05
Position 502: 1.2394343343255723e-05
Position 214: 1.0992125578392078e-05
Position 552: 9.243550774641294e-06
Position 574: 9.079995653505556e-06
Position 188: 8.158395230082452e-06
Position 211: 5.9687710788363195e-06
Position 408: 5.215758413462837e-06
Position 649: 4.754380707500871e-06
Position 865: 4.418883297961757e-06
Position 990: 4.354257863283736e-06
Position 652: 4.27644744211788e-06
Position 379: 2.251415993883949e-06
Position 532: 2.190221352262246e-06
Position 466: 2.1810195220021424e-06
Position 899: 2.1421995754128484e-06
Position 1010: 9.70292877601033e-07
Position 657: 6.220323721602388e-07
Position 985: 3.273351087775851e-07
Position 902: 2.9535252299936907e-07
Position 505: 2.8393097769068096e-07
Position 529: 2.7370341143170284e-07
Position 193: 2.3317758045299487e-07
Position 231: 1.1804689586545108e-07
Position 583: 1.1156133960414969e-07
Position 240: 1.0984716328408352e-07
Position 372: 9.789119715371859e-08
Position 220: 8.500272039315639e-08
Position 346: 7.234180060487768e-08
Position 208: 3.768832624199195e-08
Position 69: 2.8043471838289873e-08
Position 62: 3.170654333941038e-09
Position 508: 1.361583205837457e-11
Position 478: 1.3107942127635762e-11
Position 74: 8.367886795596974e-13
Position 89: 7.651307775074454e-13
Position 250: 3.617532520131069e-13
Position 261: 3.184524242904299e-14
Position 97: 4.369689631923976e-15
Position 79: 3.218201287988465e-16
