Gene = ND-13B
index = 1296
Annotated 5SS: [112 403]
Annotated 3SS: [240 601]
SMsplice 5SS: [112 403]
SMsplice 3SS: [247 601]
top_k =  1000
Partition function (log Z): -0.703833249938123

Sorted 5' Splice Sites (High to Low Probability):
Position 403: 0.9811134045388711
Position 112: 0.7960469448374747
Position 188: 0.005090125141500848
Position 131: 0.0035123524247336405
Position 788: 0.0018602569926688794
Position 450: 0.0018602465334885121
Position 248: 0.001482295728739051
Position 198: 0.001228577310111249
Position 524: 0.0007342718572872585
Position 357: 0.0004847021425047463
Position 45: 0.00019219491527876445
Position 443: 0.00018938281966904584
Position 536: 0.00016697451648053644
Position 517: 0.00014670392369150881
Position 78: 9.385007298244507e-05
Position 48: 5.824820538040348e-05
Position 434: 5.15916139232056e-05
Position 751: 5.118572699371986e-05
Position 373: 5.0033337306703456e-05
Position 300: 4.128216903723893e-05
Position 805: 3.767694249797968e-05
Position 210: 1.843988380109245e-05
Position 470: 1.4783494878515683e-05
Position 116: 1.1415719476697287e-05
Position 216: 1.055605515377297e-05
Position 32: 4.1183854012699775e-06
Position 724: 3.832923932661145e-06
Position 394: 9.240270056991896e-07
Position 647: 7.679384253098057e-07
Position 488: 6.10010826716325e-07
Position 324: 4.954151563658748e-07
Position 322: 4.317685292646528e-07
Position 240: 1.5901934086083463e-07
Position 728: 1.1415972887185035e-07
Position 265: 7.859660386137151e-08
Position 293: 6.922832741104177e-08
Position 636: 6.674774808165927e-08
Position 221: 4.923242215401578e-08
Position 632: 1.8515993596839998e-08
Position 267: 7.384944742976614e-09
Position 642: 2.5902213598179074e-09
Position 662: 2.0478185713810563e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 601: 0.998488012590669
Position 247: 0.4932979496991668
Position 240: 0.2897187236617618
Position 293: 0.004040276056411104
Position 309: 0.003738885375943163
Position 188: 0.001867067728591726
Position 878: 0.0010385212840773653
Position 607: 0.00048209272098997166
Position 862: 0.0004801880076162705
Position 532: 0.0004058591198390232
Position 866: 0.0003710479378608179
Position 628: 0.00013674616124682
Position 473: 0.00010965390896180197
Position 339: 8.147329301441358e-05
Position 484: 7.335004577412033e-05
Position 160: 4.4949932651376646e-05
Position 162: 4.458831846267152e-05
Position 330: 4.0771748930733707e-05
Position 822: 3.6011343187191194e-05
Position 839: 2.086177111110944e-05
Position 805: 1.149477716103709e-05
Position 464: 1.1432864345703673e-05
Position 504: 3.2123956737238115e-06
Position 667: 2.736004343695931e-06
Position 99: 2.314001061740658e-06
Position 712: 2.0514230091291525e-06
Position 647: 1.6992497009550585e-06
Position 498: 1.5220319761445093e-06
Position 673: 1.3208422319900304e-06
Position 108: 1.2600762084476731e-06
Position 652: 7.511873172817429e-07
Position 78: 5.210099184412289e-07
Position 347: 5.144172960389104e-07
Position 381: 2.642391901911561e-07
Position 679: 2.0005595861399587e-07
Position 122: 1.9591312143168627e-07
Position 751: 1.6605184820551197e-07
Position 443: 1.372452174496075e-07
Position 116: 6.390541643216942e-08
Position 843: 6.153840570811681e-08
Position 131: 3.5660695810104815e-08
Position 787: 3.4737670358711806e-08
Position 378: 3.38369474514408e-08
Position 793: 3.344920188195396e-08
Position 357: 3.046102692327776e-08
Position 748: 2.888188125944287e-08
Position 136: 2.8070366248239688e-08
Position 767: 1.7583569364258755e-08
Position 772: 1.5110353659841516e-08
Position 148: 1.0336612366372004e-08
Position 403: 7.28474810709302e-09
Position 407: 5.0580518011055075e-09
Position 724: 5.0161521916025515e-09
Position 366: 4.098766663761723e-09
Position 721: 2.470402156448479e-09
Position 734: 1.5754904255695528e-09
Position 894: 1.0440248048910312e-09
Position 841: 1.4745620735266095e-10
Position 836: 1.372725514848047e-10
