Gene = haf
index = 1721
Annotated 5SS: [   77  1787 45697 46784 47529 48501 49208 49757 50357]
Annotated 3SS: [ 1703 45486 45832 47192 47814 49068 49631 49969 51260]
SMsplice 5SS: [  625 26646 28371 45697 46784 47529 48501 49208 49757]
SMsplice 3SS: [25701 27783 45486 45832 46884 47814 49068 49631 51260]
top_k =  1000
Partition function (log Z): -45.05712552248967

Sorted 5' Splice Sites (High to Low Probability):
Position 26646: 0.7118895273568453
Position 1787: 0.5184605773910651
Position 625: 0.5119490128504367
Position 77: 0.3853492482740681
Position 3819: 0.1184633727231047
Position 1360: 0.08387514131234669
Position 1320: 0.07375134803284376
Position 1338: 0.0494439548994676
Position 618: 0.036114337561552426
Position 81: 0.018998391907585323
Position 83: 0.014575111147128708
Position 713: 0.005146475529430186
Position 3435: 0.004427207133743887
Position 967: 0.004319378862639045
Position 1926: 0.003229039557717113
Position 792: 0.0026215104611779978
Position 335: 0.0023474130797045364
Position 874: 0.002133704349042657
Position 908: 0.0015410188344481455
Position 108: 0.0013260338786645774
Position 2525: 0.001264955630932112
Position 568: 0.0011368105427968364
Position 85: 0.0010951789386704114
Position 314: 0.0008142179497542177
Position 1940: 0.0007080255758730328
Position 87: 0.0004980995889964327
Position 3377: 0.00046231671999171154
Position 3408: 0.0004252451130797875
Position 711: 0.00036502569732819047
Position 1914: 0.0003600540471088838
Position 2974: 0.0003105798766115119
Position 988: 0.00024299778728733234
Position 582: 0.00022876460449401133
Position 1832: 0.00021895880940190344
Position 864: 0.00021368728587475884
Position 1596: 0.0001893016129857435
Position 97: 0.00016604024560712045
Position 218: 0.00015803408805171345
Position 368: 0.0001494506575636182
Position 2457: 0.00014746328607996478
Position 803: 0.00014730395616701356
Position 1909: 0.00014458376716078886
Position 504: 9.604124077061998e-05
Position 1871: 8.989298320440071e-05
Position 849: 8.484154844243765e-05
Position 2712: 8.23811807408151e-05
Position 442: 7.574898420283558e-05
Position 2936: 7.162781007565144e-05
Position 1041: 7.14594598193927e-05
Position 1302: 5.4116651301496034e-05
Position 445: 4.488556769939996e-05
Position 1541: 3.758400928811324e-05
Position 421: 3.63739929882149e-05
Position 106: 3.180997190417934e-05
Position 259: 2.906748825853441e-05
Position 1529: 2.7628727599627663e-05
Position 201: 2.2573850001833417e-05
Position 756: 1.9477284440661552e-05
Position 294: 1.8881445078230833e-05
Position 9: 1.78759722698902e-05
Position 99: 1.537929240072458e-05
Position 112: 1.3297408076954445e-05
Position 1974: 1.2881514793499833e-05
Position 32: 8.466508494938217e-06
Position 724: 7.743069746516078e-06
Position 402: 7.613170160477797e-06
Position 299: 6.812448092776669e-06
Position 1987: 6.200879111440065e-06
Position 337: 5.956867322428351e-06
Position 509: 5.3310842212507835e-06
