Gene = Atg18b
index = 36
Annotated 5SS: [ 313 6656 7350]
Annotated 3SS: [5924 6803 7405]
SMsplice 5SS: [ 313 6656 7350]
SMsplice 3SS: [5924 6803 7405]
top_k =  1000
Partition function (log Z): -5.34110287938993

Sorted 5' Splice Sites (High to Low Probability):
Position 7350: 0.9554239684148323
Position 6656: 0.9472742844778095
Position 313: 0.4116785647934346
Position 474: 0.36330474586189154
Position 889: 0.1042085344508097
Position 7952: 0.05545404006517744
Position 7709: 0.052834032313992044
Position 412: 0.04675612704919158
Position 5387: 0.0443436080085314
Position 7713: 0.041136194562084484
Position 7534: 0.03817210998683589
Position 3247: 0.01874118031901252
Position 1545: 0.017901642340214324
Position 7517: 0.01753157041524201
Position 2606: 0.017211618625362905
Position 7326: 0.016986777579346968
Position 7770: 0.016970341823329693
Position 225: 0.016802244478596663
Position 6660: 0.010875450816949747
Position 470: 0.010697617462933538
Position 8018: 0.010298722830288957
Position 6735: 0.009709818426064155
Position 1445: 0.008716342188744156
Position 458: 0.008629710293599924
Position 1842: 0.007756745440229891
Position 915: 0.007282007835333173
Position 6739: 0.005050422437596816
Position 7662: 0.004931218826903053
Position 3978: 0.004485028767062163
Position 4651: 0.004095014442953376
Position 3422: 0.0040057751942573295
Position 511: 0.0034124511311063076
Position 509: 0.0033243617800618975
Position 7830: 0.002599530489867464
Position 6637: 0.0025906337522106125
Position 1079: 0.0025853768726391193
Position 7157: 0.002331463294592065
Position 7729: 0.0021712453475657987
Position 4025: 0.001985258370106044
Position 7075: 0.0018745011633901276
Position 2638: 0.0018093360390509963
Position 223: 0.0017582154870910112
Position 2891: 0.0016222599224971564
Position 1592: 0.001448319183269267
Position 7695: 0.0013212205990355019
Position 505: 0.001284087982598901
Position 507: 0.0012575689339621584
Position 2764: 0.0011859913299041998
Position 445: 0.001181464823892343
Position 5372: 0.0011706773131568537
Position 109: 0.001042561680111469
Position 1073: 0.0009650787723191698
Position 466: 0.0009298320057737449
Position 7511: 0.0009288022836728373
Position 927: 0.0008907356666941698
Position 7573: 0.0008825632262528197
Position 480: 0.0008442075114871469
Position 7975: 0.0008213614240079713
Position 462: 0.0008019800825685189
Position 7192: 0.000719311662195331
Position 1201: 0.0007122804718681599
Position 2883: 0.0006758566430516429
Position 977: 0.000578688847372302
Position 7717: 0.0005672290853274915
Position 317: 0.000527581499070371
Position 624: 0.0005211982499672436
Position 1939: 0.0004908515376121923
Position 6696: 0.0004882002936903133
Position 7834: 0.0004606512980787742
Position 4879: 0.0004178297131318084
Position 6950: 0.00041078606097090476
Position 14: 0.0004055741754823875
Position 7608: 0.0004047216876489969
Position 631: 0.0004040912538254712
Position 2954: 0.0003431074089639214
Position 515: 0.00033923722750314804
Position 765: 0.00033151474459458286
Position 8146: 0.0003269151405439847
Position 3807: 0.0003268097733622849
Position 3545: 0.0003059927313755762
Position 6058: 0.00029384826583339255
Position 7345: 0.00026671130501871383
Position 158: 0.0002305915792903561
Position 3: 0.000222251437746348
Position 1238: 0.0002143270756961785
Position 2929: 0.0002116042939359244
Position 217: 0.00019012875048633578
Position 2609: 0.00011201841690303453
Position 6941: 0.00010617223209044521
Position 6980: 9.503522915472272e-05
Position 6156: 9.203216689996343e-05
Position 6128: 7.845801730046815e-05
Position 7870: 7.264751046702393e-05
Position 2016: 7.109158799514368e-05
Position 8125: 6.052855057707588e-05
Position 7774: 5.905572064822695e-05
Position 6275: 5.727385015669646e-05
Position 7906: 4.681261243016395e-05
Position 7768: 3.633395064143784e-05
Position 1142: 2.5154212938666527e-05
Position 832: 1.898353579686953e-05
Position 1186: 1.8524479968114834e-05
Position 7653: 1.6026282686086957e-05
Position 684: 1.594136790436238e-05
Position 2438: 1.5231425826967177e-05
Position 5986: 1.4308606619095348e-05
Position 1568: 1.3887855186156275e-05
Position 7113: 1.359063183739723e-05
Position 810: 1.3232505054156174e-05
Position 661: 1.0754077427459735e-05
Position 10: 1.0485510943417054e-05
Position 1457: 9.839596456991076e-06
Position 7954: 9.693459898273635e-06
Position 7842: 8.965009755315726e-06
Position 1722: 8.526796752264923e-06
Position 1455: 8.121108795689338e-06
Position 1095: 8.0117245937449e-06
Position 1610: 6.878645651811687e-06
Position 141: 6.380868222803942e-06
Position 2123: 5.711755778523332e-06
Position 1677: 5.555035447740969e-06
Position 1282: 5.263033283624062e-06
Position 1839: 3.908409126147502e-06
Position 974: 3.402385528669024e-06
Position 1393: 3.0627172032138603e-06
Position 1233: 2.833052973786698e-06
Position 355: 2.703034287666148e-06
Position 7123: 1.7591292448632896e-06
Position 1173: 1.7174024603638581e-06
Position 1145: 1.4312886294588387e-06
Position 1055: 1.002225886695125e-06
Position 1124: 1.0007304284688205e-06
Position 85: 9.71146472446125e-07
Position 7: 8.280240584642538e-07
Position 1166: 6.952342833621028e-07
Position 2726: 5.83646363298937e-07
Position 7057: 5.258384870609334e-07
Position 513: 4.238281490008465e-07
Position 518: 3.651557801586306e-07
Position 436: 2.0488805474684127e-07
Position 7223: 1.8213079420672988e-07
Position 490: 1.781641139917188e-07
Position 371: 1.5820120716945197e-07
Position 156: 1.361120262751875e-07
Position 95: 1.2943147018558577e-07
Position 12: 1.1341145453055042e-07
Position 329: 8.287078468899386e-08
Position 464: 8.265129231471854e-08
Position 7104: 7.67064117559848e-08
Position 5: 6.190121235957603e-08
Position 27: 3.6671493322328395e-08
Position 543: 3.00494103850732e-08
Position 52: 7.448674003381449e-09
Position 6481: 6.17829575480031e-09
Position 726: 4.026138525088324e-09
Position 500: 1.1230239242779213e-14
Position 594: 7.97340003332446e-15
Position 502: 5.556087666921356e-15

Sorted 3' Splice Sites (High to Low Probability):
Position 6803: 0.9716626979739607
Position 7405: 0.9519374404737329
Position 5924: 0.8740554177130117
Position 7825: 0.1283158256325756
Position 5975: 0.09179534038006035
Position 8065: 0.05005387823937218
Position 8017: 0.04318750750804299
Position 2685: 0.037034614034316446
Position 7797: 0.027767889911090075
Position 6812: 0.01569672405597731
Position 1291: 0.015613335927668094
Position 4878: 0.011581977364729143
