Gene = Tehao
index = 1550
Annotated 5SS: [1173]
Annotated 3SS: [2300]
SMsplice 5SS: [1408]
SMsplice 3SS: [1469]
top_k =  1000
Partition function (log Z): -13.42604939450808

Sorted 5' Splice Sites (High to Low Probability):
Position 1173: 0.5626026851508603
Position 265: 0.21922259982781384
Position 2701: 0.1406986168570626
Position 779: 0.06506975511872704
Position 2104: 0.04510212447319089
Position 1626: 0.04500674785365547
Position 1484: 0.03586802621648493
Position 307: 0.030346323340039914
Position 2641: 0.02937350547054408
Position 739: 0.021839222003846102
Position 514: 0.019198901996283345
Position 1412: 0.017815670323450383
Position 3657: 0.01619658136029196
Position 2551: 0.014292577543941564
Position 145: 0.010090094970593827
Position 288: 0.009143370808202994
Position 3778: 0.0069921245243930764
Position 1048: 0.005757323372874828
Position 110: 0.004079927128553365
Position 3021: 0.003958737853981451
Position 2392: 0.002874679636490799
Position 172: 0.002708579364694649
Position 3301: 0.0025492068451918575
Position 327: 0.002444334171045199
Position 1286: 0.0019384067706055628
Position 1255: 0.0017945696767768784
Position 1587: 0.0016705540003756226
Position 115: 0.0013479401581743616
Position 3046: 0.0012351175768608629
Position 330: 0.0011994259849036364
Position 919: 0.0009845027243773504
Position 1577: 0.0009585926352281318
Position 3147: 0.0007137246105679779
Position 941: 0.0006686928694563724
Position 1028: 0.0005194050933497267
Position 1369: 0.0005139260562043285
Position 129: 0.00043196014302248557
Position 414: 0.00041326302735129764
Position 1462: 0.00041324220561283576
Position 262: 0.0003773713452648074
Position 2674: 0.0003088420851338419
Position 1417: 0.00025528429812546826
Position 435: 0.0002489606233232234
Position 494: 0.00019510071684590626
Position 269: 0.0001486478254276455
Position 1527: 8.53659720556699e-05
Position 37: 7.516613645382258e-05
Position 668: 7.095563310175966e-05
Position 475: 6.666839748061996e-05
Position 224: 6.621468407024016e-05
Position 394: 5.110216102649357e-05
Position 53: 4.443181381269716e-05
Position 405: 4.357591900912233e-05
Position 978: 3.8622906931280276e-05
Position 946: 3.108157191518048e-05
Position 706: 2.9886730664625898e-05
Position 759: 2.8241045000194905e-05
Position 466: 1.8540066717472095e-05
Position 464: 1.7258065799768967e-05
Position 836: 1.5293271113752573e-05
Position 700: 1.455182123723366e-05
Position 773: 1.4232471578588984e-05
Position 2115: 1.4037375396124582e-05
Position 1453: 1.198350854082088e-05
Position 386: 1.1910698553724051e-05
Position 1425: 1.1367507931896197e-05
Position 896: 8.672302550026935e-06
Position 618: 8.570427474285317e-06
Position 930: 7.071463754473687e-06
Position 1524: 7.028191238043288e-06
Position 1177: 6.470621299836851e-06
Position 218: 5.255082292003009e-06
Position 624: 4.375205108669973e-06
Position 150: 4.243582179053598e-06
Position 148: 4.047842424086695e-06
Position 596: 3.7189668428835927e-06
Position 855: 3.6046072546354945e-06
Position 1451: 3.1762653170291204e-06
Position 278: 2.537548114223382e-06
Position 1193: 2.367976501345e-06
Position 944: 2.364327193444362e-06
Position 21: 1.9599580170845245e-06
Position 230: 1.896937129845153e-06
Position 245: 1.880557654119309e-06
Position 1264: 1.8341817421398813e-06
Position 786: 1.6573388339780301e-06
Position 363: 1.3154169019175342e-06
Position 237: 1.3036143102912215e-06
Position 960: 1.0627635930508046e-06
Position 637: 7.487096617863956e-07
Position 601: 4.97539706800257e-07
Position 1323: 3.411321636253882e-07
