Gene = Eip78C
index = 1152
Annotated 5SS: [ 1783  4504  4702 37028 37379]
Annotated 3SS: [ 4270  4559 36386 37102 37436]
SMsplice 5SS: [ 1783  4504  4702 37028 37379]
SMsplice 3SS: [ 4270  4559 36386 37102 37436]
top_k =  1000
Partition function (log Z): -17.018355833086556

Sorted 5' Splice Sites (High to Low Probability):
Position 4702: 0.9980150819958522
Position 4504: 0.997936462664983
Position 1783: 0.4137983383114697
Position 5003: 0.36575636012929275
Position 1119: 0.202327997645495
Position 338: 0.20149333587325632
Position 198: 0.08161905835485814
Position 54: 0.047820292150015944
Position 361: 0.012723375869512431
Position 247: 0.00961238643141974
Position 455: 0.00747512153772376
Position 439: 0.0053763608713603035
Position 272: 0.004948300681815171
Position 1122: 0.0021774142076567654
Position 870: 0.0019895866527961962
Position 241: 0.0018423429739148312
Position 1510: 0.001497626850830542
Position 969: 0.0013781515015369903
Position 2326: 0.0008378904778756954
Position 49: 0.0008227394831982354
Position 103: 0.0007125227890309054
Position 295: 0.0006928483059437217
Position 3453: 0.0005781973285570914
Position 685: 0.0005562540637384809
Position 1692: 0.0004546162906643202
Position 1861: 0.0003212825483708929
Position 4785: 0.00021913893663740104
Position 1300: 0.00020573893677340338
Position 1504: 0.00020268517463783309
Position 3236: 0.00019983381068631076
Position 4706: 0.00018198514076355862
Position 2277: 0.00014540003856453347
Position 786: 0.00013193331326963288
Position 4508: 0.00013089368954868796
Position 4496: 0.00013016085446862432
Position 725: 0.0001208389910600331
Position 4113: 0.00010300510357959098
Position 4478: 0.00010206521288191004
Position 1857: 9.205822644966382e-05
Position 1985: 8.913818870257823e-05
Position 4518: 8.762705942938845e-05
Position 478: 8.233532310357653e-05
Position 105: 8.048988662308475e-05
Position 569: 7.532656106322139e-05
Position 510: 7.27568489254744e-05
Position 4444: 7.202317801810153e-05
Position 537: 6.561047771711336e-05
Position 2215: 6.149542413252736e-05
Position 20: 5.388374029296004e-05
Position 4526: 5.125174812911692e-05
Position 795: 4.1958947809404455e-05
Position 521: 3.7350855107052597e-05
Position 1517: 3.608935219907405e-05
Position 1201: 3.186768816754387e-05
Position 921: 2.6282022477231515e-05
Position 4091: 1.8120596778124316e-05
Position 4183: 1.1471764637687298e-05
Position 4480: 8.588804455989837e-06
Position 3836: 7.889535346259466e-06
Position 4512: 4.714158844997213e-06
Position 4412: 4.469585810121757e-06
Position 3854: 2.7414281926616584e-06
Position 4655: 2.4559286627967476e-06
Position 3593: 9.983609452187487e-07
Position 22673: 3.423049071714823e-07
Position 22257: 2.8212486821469725e-07
Position 5444: 2.2858561688164495e-07
Position 4972: 1.607182587654964e-07
Position 1325: 1.0993132814811806e-07
Position 5232: 2.3597489041710688e-08
Position 5245: 7.0340878938656156e-09
Position 4965: 3.648147326116816e-09
Position 4983: 3.3250184789473366e-09
Position 5049: 1.9644734009711425e-09
Position 5043: 7.634437447534463e-10
Position 17195: 4.4598987071666516e-10
Position 15575: 4.4595059670750464e-10
Position 15234: 3.9943509720205404e-10
Position 4895: 3.9840772362128185e-10
Position 4969: 3.934925768890977e-10
Position 4993: 2.9023175732707796e-10
Position 4884: 1.962373499892498e-10
Position 1734: 1.10514103619802e-10
Position 5111: 7.241196481151593e-11
Position 11131: 6.398599610279313e-11
Position 5249: 5.5799288690259596e-11
Position 5114: 4.1094068470667914e-11
Position 5021: 4.0245755271929534e-11
Position 5057: 3.8269443475987224e-11
