Gene = Sc2
index = 1471
Annotated 5SS: [ 420  794 1130]
Annotated 3SS: [ 576 1013 1191]
SMsplice 5SS: [ 420  794 1130]
SMsplice 3SS: [ 576 1013 1191]
top_k =  1000
Partition function (log Z): -2.6791295347954174

Sorted 5' Splice Sites (High to Low Probability):
Position 1130: 0.9779906522691114
Position 420: 0.87682592973925
Position 794: 0.4618070514146619
Position 896: 0.0622569075772796
Position 1393: 0.04385746969049147
Position 1404: 0.038563298417203073
Position 813: 0.02656275814637447
Position 827: 0.017361456983696517
Position 97: 0.013057273818534085
Position 930: 0.011688676303989138
Position 324: 0.011336020586537342
Position 1397: 0.010351093829044616
Position 840: 0.009140187121039802
Position 378: 0.007600186020537384
Position 728: 0.006309223969682064
Position 798: 0.005062513090420169
Position 435: 0.004758728737620539
Position 103: 0.0036981664629533967
Position 1408: 0.0035269736095275197
Position 343: 0.0030633959756225476
Position 534: 0.0026576795037601846
Position 866: 0.002201553252804679
Position 274: 0.0016138210314156542
Position 372: 0.0014193353821332422
Position 424: 0.0011980452356872896
Position 287: 0.0009245201860369742
Position 760: 0.0008771033025000712
Position 87: 0.0008122373402855031
Position 908: 0.000791137224018307
Position 918: 0.0006483639736492783
Position 1430: 0.0006169792629880357
Position 447: 0.0006109341990769729
Position 935: 0.0005296607061498476
Position 718: 0.0004047502845750202
Position 742: 0.0003667355448369771
Position 428: 0.00035066435984707655
Position 879: 0.0002253696751962384
Position 376: 0.00021057722190256228
Position 546: 0.00019862963205355066
Position 310: 0.00019798754535610267
Position 608: 0.00018307077337108386
Position 942: 0.00018003716065337686
Position 1482: 0.00015343897259754223
Position 767: 0.0001504839940576807
Position 851: 0.00014530693151998427
Position 1345: 0.00014078322262208693
Position 537: 0.00012484703435344452
Position 834: 0.00010571321635515499
Position 395: 8.208817408561854e-05
Position 898: 7.846858103051245e-05
Position 1134: 5.887175280990718e-05
Position 615: 3.4134711519926516e-05
Position 635: 3.0211434960329265e-05
Position 1124: 2.7001896405922944e-05
Position 1080: 2.5716588647843068e-05
Position 599: 2.5579450452403036e-05
Position 20: 2.3178601948479418e-05
Position 1235: 2.1492752047921167e-05
Position 716: 1.891347840461377e-05
Position 1137: 1.4106540082437885e-05
Position 1227: 1.3981739207473279e-05
Position 194: 1.2526483702972516e-05
Position 438: 8.32455654326785e-06
Position 186: 7.28788153388488e-06
Position 458: 4.581172000069053e-06
Position 254: 2.8773917785772887e-06
Position 1472: 2.3099278416923632e-06
Position 1095: 1.8198610673782405e-06
Position 1162: 1.569078861449946e-06
Position 476: 1.3825077062181837e-06
Position 1196: 1.1151174164205093e-06
Position 1276: 6.326898287872836e-07
Position 246: 6.059373990240987e-07
Position 1247: 3.5863258400091493e-07
Position 1388: 1.0774847751809448e-07
Position 1493: 8.738681293357656e-08
Position 1063: 6.462304954662406e-08
Position 1485: 2.3292330569338725e-08
Position 1038: 6.632445854224068e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 1191: 0.9629781765502057
Position 576: 0.5579240387823797
Position 978: 0.49782333266621553
Position 1013: 0.4649712501858443
Position 1521: 0.04134925039191233
Position 1480: 0.030683308930902813
Position 1470: 0.023225349836634115
Position 742: 0.010680005465345914
Position 1396: 0.006080020914463286
Position 1300: 0.005560552328739996
Position 613: 0.0024909699293690114
Position 1493: 0.0022230658143280514
Position 1540: 0.00200173831376706
Position 1026: 0.0017950286171117811
Position 546: 0.0007827494595716357
Position 1366: 0.00045090969767023147
Position 895: 0.0003773663504391736
Position 1485: 0.0002793344203737648
Position 1537: 0.00027569804589243086
Position 625: 0.00025415466597412993
Position 682: 0.00019318554811406693
Position 1324: 0.00018748862422942917
Position 294: 0.0001447638859143203
Position 420: 0.00012018015124400901
Position 165: 8.727096578824549e-05
Position 186: 5.726397663840291e-05
Position 153: 3.873008830051412e-05
Position 207: 3.450556028054556e-05
Position 1156: 3.3203983236223885e-05
Position 431: 3.240332000876241e-05
Position 992: 2.9366060393103065e-05
Position 162: 2.8847792841772866e-05
Position 1222: 2.76213544575357e-05
Position 1342: 2.4156839782726737e-05
Position 901: 2.236862908142841e-05
Position 1339: 1.9480254800353857e-05
Position 923: 1.832574890957564e-05
Position 267: 1.670673682412148e-05
Position 1351: 1.5148395436467286e-05
Position 215: 3.843691983824121e-06
Position 80: 3.617782896510742e-06
Position 279: 2.268458775106264e-06
Position 1345: 1.773249301183967e-06
Position 669: 1.7211419402585204e-06
Position 388: 1.2227557050308209e-06
Position 447: 1.112951458123653e-06
Position 1121: 1.0018545865021083e-06
Position 306: 9.372322588096151e-07
Position 1080: 8.917283023679e-07
Position 438: 5.262409289648696e-07
Position 222: 4.780825182822615e-07
Position 75: 1.698491444562584e-07
Position 324: 1.1110586372848352e-07
Position 435: 4.719659509110905e-08
Position 372: 4.466381884257649e-08
Position 395: 1.7901505065092693e-08
Position 1088: 1.6602382395215013e-08
Position 84: 1.6231667432996866e-08
Position 96: 1.1099616959448993e-08
Position 102: 4.825953330708692e-10
Position 424: 3.373159649763446e-10
