Gene = sturkopf
index = 1898
Annotated 5SS: [122 658]
Annotated 3SS: [255 716]
SMsplice 5SS: [658]
SMsplice 3SS: [716]
top_k =  1000
Partition function (log Z): -7.387478050725153

Sorted 5' Splice Sites (High to Low Probability):
Position 658: 0.9462672203946174
Position 122: 0.07930047759427239
Position 1412: 0.06370655868088787
Position 1010: 0.061714201382888564
Position 1075: 0.014745525846123247
Position 1078: 0.011786998309635558
Position 849: 0.009373049004149108
Position 524: 0.008157110617970479
Position 1033: 0.006799269203538943
Position 1024: 0.005488600620816981
Position 338: 0.004686538690760933
Position 689: 0.004443534053854736
Position 1031: 0.004388558249138255
Position 592: 0.0043661595074841394
Position 943: 0.004133153365564542
Position 1533: 0.0035545832642496842
Position 1073: 0.002793221983919758
Position 761: 0.001485489736299955
Position 5: 0.0014066055690502505
Position 651: 0.0013823011563672163
Position 1406: 0.001201562438143189
Position 998: 0.001049277944168453
Position 1238: 0.0008022922798305738
Position 341: 0.0007760318257840942
Position 965: 0.0006321755255753545
Position 31: 0.0005688819107877886
Position 583: 0.0005591484249841966
Position 1214: 0.0005282302077426754
Position 45: 0.0005222629864969324
Position 415: 0.00045865655944941507
Position 400: 0.0004462360629377218
Position 889: 0.0004374666801988123
Position 1337: 0.0003315120530777285
Position 1264: 0.00029088353392180306
Position 180: 0.0002765292361335415
Position 1292: 0.000194350031189351
Position 1449: 0.00015203157429617695
Position 1440: 0.00014543043855730765
Position 1000: 0.0001079664507032469
Position 629: 9.86404491018583e-05
Position 662: 8.95254513469436e-05
Position 1442: 8.776743466093637e-05
Position 174: 8.507341963304079e-05
Position 1169: 8.300155326230313e-05
Position 1181: 7.243843028199526e-05
Position 605: 6.622559013419413e-05
Position 126: 5.8122963580967245e-05
Position 982: 5.326255456628893e-05
Position 854: 5.243942611140747e-05
Position 59: 4.5590781794421385e-05
Position 1456: 4.16457922768486e-05
Position 685: 3.910346393078014e-05
Position 360: 3.284310439112207e-05
Position 391: 3.243555217632785e-05
Position 842: 3.074514033397231e-05
Position 930: 2.794257546010151e-05
Position 750: 2.6585234831084425e-05
Position 645: 2.266939733135376e-05
Position 389: 1.9344832183659317e-05
Position 1584: 1.8417597757858338e-05
Position 101: 1.6182753784045e-05
Position 664: 1.3577346245864425e-05
Position 209: 1.3076798466384002e-05
Position 319: 1.1286767419373898e-05
Position 1153: 9.31181555889552e-06
Position 672: 8.412860887186545e-06
Position 258: 6.3441568518703234e-06
Position 480: 5.273188438242253e-06
Position 437: 4.159583679034114e-06
Position 558: 3.5165239740063808e-06
Position 189: 2.9470745481968015e-06
Position 260: 1.7884198561054883e-06
Position 1184: 1.3287295679485141e-06
Position 1572: 5.291574299937145e-07
Position 113: 4.3168614748033843e-07
Position 955: 2.0605630629751199e-07
Position 218: 6.444110347657049e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 716: 0.7528103711101881
Position 1132: 0.3503535371993276
Position 1611: 0.04723653036069829
Position 186: 0.03994235034146487
Position 1512: 0.020302177176939232
Position 1470: 0.0063834115438457335
Position 437: 0.006138859657325832
Position 591: 0.004651170239477773
Position 432: 0.0039015196063628688
Position 1315: 0.002422754058051868
Position 197: 0.002237528002361661
Position 1172: 0.001620913373461278
Position 523: 0.0015952343238118368
Position 307: 0.001255146799789612
Position 453: 0.0010039130457137
Position 603: 0.0009766574406387723
Position 1053: 0.0007551609883287903
Position 414: 0.0007405971452717613
Position 161: 0.0007006496200368471
Position 258: 0.0006437017928392806
Position 255: 0.000621671240610014
Position 743: 0.00047050549149209536
Position 1584: 0.000442201760531382
Position 1598: 0.00038601403049269
Position 456: 0.0003491532826284724
Position 268: 0.00034048038080523304
Position 904: 0.0003091024580304212
Position 325: 0.0002768565598103872
Position 657: 0.00024563861207056926
Position 1336: 0.00020600016866029536
Position 1153: 0.00018130324622206128
Position 398: 0.0001423073439659419
Position 141: 0.00013577043995779823
Position 1636: 0.00010041274243485699
Position 1478: 9.254121157681096e-05
Position 1099: 8.929158672919703e-05
Position 774: 8.642906833377624e-05
Position 1396: 5.763220991390815e-05
Position 1541: 4.159564652677737e-05
Position 1204: 3.068071327705369e-05
Position 1643: 2.8335613273009218e-05
Position 1009: 2.4328192600385227e-05
Position 1552: 2.4130382445454338e-05
Position 1241: 2.337124877999757e-05
Position 1620: 2.2529705354469887e-05
Position 107: 2.1905604091618465e-05
Position 612: 2.1075454779334516e-05
Position 943: 2.0421100335218466e-05
Position 1180: 1.9264144723413233e-05
Position 645: 1.5332148680910535e-05
Position 1264: 1.422389153098295e-05
Position 1325: 1.3858397787088655e-05
Position 745: 1.2163539011710088e-05
Position 126: 1.1511203329513676e-05
Position 376: 1.03644352355257e-05
Position 695: 1.018887347741967e-05
Position 1230: 9.904705560149123e-06
Position 551: 7.281826343738792e-06
Position 626: 7.078144979433459e-06
Position 554: 6.735365192583367e-06
Position 859: 6.732845103528161e-06
Position 470: 6.145668024041374e-06
Position 1432: 5.955902148852891e-06
Position 270: 4.5265388388228614e-06
Position 835: 4.442319879282113e-06
Position 849: 4.271666964393908e-06
Position 473: 3.3602785313319547e-06
Position 1348: 2.683864875721274e-06
Position 332: 2.226774856584596e-06
Position 351: 1.3655255432737068e-07
Position 1234: 5.014386640082812e-08
Position 337: 1.6690557066704782e-08
Position 400: 1.6092218036250607e-08
Position 662: 1.6504321669227878e-10
