Gene = ast
index = 1613
Annotated 5SS: [ 621 1118]
Annotated 3SS: [ 676 1172]
SMsplice 5SS: [ 621 1118]
SMsplice 3SS: [ 676 1172]
top_k =  1000
Partition function (log Z): 0.18001875997069883

Sorted 5' Splice Sites (High to Low Probability):
Position 1118: 0.9979659549494283
Position 621: 0.9878034280582937
Position 1296: 0.09904523107206364
Position 1787: 0.08527131639157429
Position 1684: 0.01950613433739921
Position 332: 0.009373404336027461
Position 1232: 0.007683668046978407
Position 788: 0.0067207857829004285
Position 1782: 0.006248360402344464
Position 1580: 0.006218472595351894
Position 758: 0.006047862407954417
Position 1300: 0.005913510755536912
Position 1219: 0.00417296600230662
Position 491: 0.0032761151992985824
Position 1514: 0.003074878168772591
Position 590: 0.003004482903846261
Position 1677: 0.0028764469402427495
Position 2288: 0.0023327541429297768
Position 1990: 0.0019536869370373987
Position 1482: 0.001914481599012636
Position 1200: 0.0017100175564017774
Position 850: 0.0012945436913752069
Position 615: 0.001173691610964194
Position 1438: 0.0011040527105970178
Position 1682: 0.001027018289272241
Position 387: 0.0010131949587511944
Position 357: 0.0009947806992259757
Position 1729: 0.0008483619230159774
Position 1970: 0.0007001103520774734
Position 2028: 0.0006975835981754964
Position 906: 0.0006771637368843948
Position 48: 0.0006404146539870127
Position 2073: 0.0006403017800944975
Position 2211: 0.0006111859001278116
Position 2754: 0.00035715359386905417
Position 822: 0.0002719990789534196
Position 1710: 0.00026158174887329686
Position 1946: 0.00023250955192917345
Position 1097: 0.0001575269788329154
Position 585: 0.00014935640872829867
Position 1632: 0.00014470126247673556
Position 2124: 0.00010803627050155966
Position 285: 8.176748272646006e-05
Position 692: 7.589640953188324e-05
Position 33: 6.560299507685783e-05
Position 875: 6.50407283945032e-05
Position 2023: 5.276524907860747e-05
Position 1235: 4.916813409783663e-05
Position 1180: 3.5881458474065344e-05
Position 1656: 2.991494400464288e-05
Position 1122: 2.5057603727524263e-05
Position 834: 2.4205197093961817e-05
Position 1826: 2.3549985689433383e-05
Position 726: 1.725718088828582e-05
Position 203: 1.627426349886866e-05
Position 270: 1.5636743046022193e-05
Position 877: 1.3524732443628907e-05
Position 1046: 1.1650759375163108e-05
Position 1658: 1.0771122057240382e-05
Position 632: 7.339542570744838e-06
Position 1102: 3.918133202220596e-06
Position 738: 2.9416431065774196e-06
Position 2759: 2.9260178516543318e-06
Position 267: 2.8301730697416583e-06
Position 447: 2.5756491242031895e-06
Position 1428: 2.3778774213904435e-06
Position 483: 1.9508061054289244e-06
Position 963: 1.7116051474472027e-06
Position 171: 1.6140897989280844e-06
Position 1331: 1.384748787562165e-06
Position 315: 8.108148697937181e-07
Position 515: 7.019613897268217e-07
Position 1359: 6.92899003849138e-07
Position 462: 4.5187701764773766e-07
Position 677: 3.0724476215381505e-07
Position 296: 2.68118646553159e-07
Position 1557: 2.4433670626414425e-07
Position 1773: 2.3677457436965994e-07
Position 1011: 1.829057574532418e-07
Position 275: 1.6408495368874638e-07
Position 549: 1.4647693921821365e-07
Position 93: 1.305888288224625e-07
Position 109: 1.2235773409997787e-07
Position 37: 1.2086519744232165e-07
Position 495: 1.0832758457842993e-07
Position 2031: 7.561647327216856e-08
Position 668: 4.9016738268413336e-08
Position 1191: 2.74439115120439e-08
Position 213: 2.0227516106963683e-08
Position 477: 1.4465352096169319e-08
Position 453: 7.855630990572007e-10
Position 1904: 2.2732192010622317e-10
Position 425: 1.8895354545117843e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 1172: 0.9840617958937858
Position 676: 0.910805805346066
Position 1356: 0.11288273668422599
Position 1852: 0.048742405299601346
Position 688: 0.040324873586271764
Position 691: 0.0271202463767076
Position 2336: 0.026847605056832438
Position 963: 0.02235251752460865
Position 1762: 0.018741162626690476
Position 2092: 0.01592172545541202
Position 1290: 0.010032984189341641
Position 1178: 0.008053623128336766
Position 809: 0.005908341578270891
Position 443: 0.0056381851002441285
Position 1680: 0.0046352370648230145
Position 2270: 0.004148989598623322
Position 2023: 0.003765471855323602
Position 1598: 0.003464715824897624
Position 395: 0.0025664424054402165
Position 647: 0.0023373244197762424
Position 1737: 0.0017664619887236136
Position 2196: 0.0015579991227136702
Position 446: 0.0015572564593548778
Position 1552: 0.001460903777679443
Position 2240: 0.0012427781761596218
Position 398: 0.0011536949408010439
Position 2046: 0.001120321663606325
Position 1875: 0.0011070363580565064
Position 2181: 0.0008504220380017866
Position 1861: 0.0007867882519915844
Position 2115: 0.0006646950550657601
Position 697: 0.0005510746450968568
Position 549: 0.00037363359694154427
Position 2835: 0.00036606045374594287
Position 916: 0.00036570957298962794
Position 1200: 0.00023817649463776233
Position 1707: 0.0002221733171020469
Position 818: 0.00021148684753176963
