Gene = Dhpr
index = 1134
Annotated 5SS: [331]
Annotated 3SS: [426]
SMsplice 5SS: [331]
SMsplice 3SS: [426]
top_k =  1000
Partition function (log Z): -9.109898095118346

Sorted 5' Splice Sites (High to Low Probability):
Position 331: 0.9866338423987474
Position 755: 0.013473005063731888
Position 596: 0.011105001375546241
Position 599: 0.00818545810945594
Position 113: 0.005270117682315291
Position 130: 0.003261509570053477
Position 293: 0.0010732464266266857
Position 827: 0.0008290585847141182
Position 865: 0.0006277892733918604
Position 890: 0.0003961223711473829
Position 122: 0.00034092255718260774
Position 148: 0.0003088605683340376
Position 39: 0.0002503956054478156
Position 186: 0.00018814376852556729
Position 532: 0.00017588409969845258
Position 469: 0.00017320957463222065
Position 29: 0.00014383680489590364
Position 940: 0.00013180093467966893
Position 265: 0.00012243425478055268
Position 839: 0.00011676343207144897
Position 520: 0.00011515102699613639
Position 275: 9.746290079404284e-05
Position 426: 8.211749156562749e-05
Position 257: 7.302968117265067e-05
Position 478: 5.21485653104107e-05
Position 335: 4.885082698146995e-05
Position 194: 4.4693476480571254e-05
Position 481: 4.176995223466679e-05
Position 497: 3.9835556913637914e-05
Position 639: 2.892827370533723e-05
Position 304: 2.1684805520860674e-05
Position 852: 1.9854075262962197e-05
Position 17: 1.4416745643484664e-05
Position 212: 1.3670036781778948e-05
Position 502: 1.3539784461628267e-05
Position 262: 1.2772485295883939e-05
Position 188: 1.2339373257020247e-05
Position 196: 9.504676329196146e-06
Position 302: 9.155740171643956e-06
Position 652: 7.165395557907806e-06
Position 430: 6.859955674693347e-06
Position 523: 6.280282177893333e-06
Position 525: 3.5452280120429576e-06
Position 850: 3.09819411723222e-06
Position 1209: 9.475099573402759e-07
Position 960: 5.580362869648268e-07
Position 249: 3.9455674128480196e-07
Position 1186: 3.7888434987799043e-07
Position 1135: 1.8618742537359212e-07
Position 577: 4.645345253905421e-09
Position 381: 4.0961055105576185e-09
Position 568: 9.242124565193041e-10
Position 393: 7.032086942400648e-10
Position 679: 1.031399045902376e-10
Position 787: 6.786390304641413e-11
Position 654: 3.899892642122428e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 426: 0.7579552225984213
Position 874: 0.10128886514338503
Position 910: 0.06649106602137471
Position 437: 0.06181445040025899
Position 1005: 0.016618595177268783
Position 212: 0.007447309191887292
Position 676: 0.006775624430106533
Position 960: 0.005512934407221755
Position 648: 0.0025788124175502103
Position 510: 0.0014457117098441296
Position 1032: 0.0010127171790004293
Position 238: 0.0007082417955145946
Position 256: 0.0005649154040891915
Position 1283: 0.0005634893529997046
Position 459: 0.0003923911146051403
Position 699: 0.00035484007600052227
Position 116: 0.0002969300857324619
Position 970: 0.00027339410230866815
Position 1050: 0.00020369396289131672
Position 497: 0.00018596954289912758
Position 835: 0.00017493135209779915
Position 532: 0.00014859553755961212
Position 732: 0.00011691512299068564
Position 727: 9.958167275950154e-05
Position 462: 8.418455990522774e-05
Position 645: 7.549016228890227e-05
Position 595: 7.062172138393805e-05
Position 1274: 6.518307630384127e-05
Position 453: 3.80598252548834e-05
Position 795: 3.71959781303904e-05
Position 784: 3.485290451235786e-05
Position 473: 2.5307449269165934e-05
Position 975: 2.2414239874234156e-05
Position 1260: 2.089614776215616e-05
Position 143: 1.3758456544763226e-05
Position 624: 1.1992332384449266e-05
Position 780: 1.0306158296952007e-05
Position 612: 1.0183043812093744e-05
Position 1251: 9.508836560894135e-06
Position 319: 8.223826963085172e-06
Position 690: 8.066127653331809e-06
Position 513: 4.747177080771199e-06
Position 819: 3.545748478821442e-06
Position 155: 1.8581448990938264e-06
Position 609: 1.7090049632465797e-06
Position 1064: 1.3039966987315496e-06
Position 939: 1.06522806103209e-06
Position 1056: 8.264085489962859e-07
Position 72: 5.790780690572524e-07
Position 744: 3.473552744608162e-07
Position 283: 1.9417931209719844e-07
Position 262: 1.336874438398536e-07
Position 335: 7.641947432477896e-11
Position 286: 9.082640422425792e-12
Position 555: 3.081587349655222e-14
