Gene = del
index = 1668
Annotated 5SS: [ 346 1607]
Annotated 3SS: [ 409 1660]
SMsplice 5SS: [ 346  600 1607]
SMsplice 3SS: [ 409  722 1660]
top_k =  1000
Partition function (log Z): -4.449024625074962

Sorted 5' Splice Sites (High to Low Probability):
Position 346: 0.9742938736590542
Position 600: 0.6023634789504169
Position 1607: 0.5999794793188448
Position 1859: 0.41092237553633926
Position 657: 0.23613952923409112
Position 2739: 0.16478992073311985
Position 1598: 0.13365258253784415
Position 2452: 0.05747440662338684
Position 588: 0.04603627697198043
Position 927: 0.04287667549224492
Position 1262: 0.026252322980414355
Position 579: 0.02544157462193479
Position 2748: 0.023364266905688307
Position 2378: 0.022663473948994484
Position 1724: 0.015826511379796505
Position 140: 0.013994850309978393
Position 1563: 0.010155858616989553
Position 643: 0.007153104836235573
Position 1506: 0.006607669351994667
Position 2357: 0.005104168458406947
Position 24: 0.004976802448424273
Position 2390: 0.004370473083013062
Position 756: 0.0037188536262169327
Position 1415: 0.003543744346997512
Position 1055: 0.0033157816046104262
Position 963: 0.0030316686354690137
Position 621: 0.0028299443947991144
Position 819: 0.0015537666600806738
Position 101: 0.0013732246168614325
Position 329: 0.001258378063116581
Position 1853: 0.0010448536493216423
Position 959: 0.000994319860154936
Position 2418: 0.0009827409821910648
Position 2522: 0.0008173814417501786
Position 690: 0.0008002266659669955
Position 2198: 0.0007148153887933187
Position 1023: 0.0006864815793379885
Position 623: 0.0006427820888720788
Position 2463: 0.0006311404514157545
Position 311: 0.0006031824251021368
Position 1464: 0.0004664826252386821
Position 1822: 0.000385789216822478
Position 1556: 0.0003853412495895831
Position 155: 0.0003738852717652031
Position 565: 0.00035224674241316427
Position 2620: 0.00032312725158619446
Position 1979: 0.00021867148667197473
Position 1242: 0.00021675952581232355
Position 1918: 0.00020964027144061795
Position 905: 0.00020615021396621594
Position 300: 0.00017013173304805242
Position 1358: 0.00016783804451196322
Position 543: 0.0001618636853336262
Position 591: 0.00014668434053922467
Position 2517: 0.00014464984867943733
Position 1132: 0.00014182175253689633
Position 2256: 0.0001396151685943904
Position 2023: 0.00013936388362765457
Position 192: 0.00011353483089948627
Position 931: 0.00010602236356859008
Position 2309: 9.857218113191356e-05
Position 891: 9.816626455259536e-05
Position 52: 9.794242300317037e-05
