Gene = Cpsf5
index = 1105
Annotated 5SS: [ 384  706  945 2280]
Annotated 3SS: [ 440  778 2164 2352]
SMsplice 5SS: [ 384  706  967 2280]
SMsplice 3SS: [ 440  778 2164 2352]
top_k =  1000
Partition function (log Z): 10.80461234029951

Sorted 5' Splice Sites (High to Low Probability):
Position 706: 0.9998081049802425
Position 2280: 0.996804600089668
Position 384: 0.8343489434535994
Position 967: 0.5501609555194137
Position 945: 0.3013569981340198
Position 2109: 0.2652223128208113
Position 68: 0.24599451707101452
Position 1298: 0.20426913625164553
Position 388: 0.12192705672590917
Position 981: 0.09902986652708506
Position 985: 0.03748637674168783
Position 33: 0.03168342149748344
Position 1995: 0.03008892015173246
Position 66: 0.01984209122580415
Position 103: 0.019684500705412784
Position 1463: 0.019583193249007588
Position 2053: 0.018844721762093643
Position 1701: 0.01413837885111497
Position 332: 0.012745140622108506
Position 1979: 0.011661779947606052
Position 342: 0.01135363009805061
Position 2484: 0.011191994439968022
Position 2072: 0.01052623923085865
Position 1624: 0.009236147400719586
Position 112: 0.00879299626526557
Position 1443: 0.006660233359051909
Position 2501: 0.006241345032586036
Position 90: 0.0048416227955784905
Position 1169: 0.0038532558405085645
Position 1737: 0.0028900905903666914
Position 1861: 0.0027198780331988324
Position 1322: 0.0025535857828258885
Position 1352: 0.0025128569280313453
Position 123: 0.0022994845433945543
Position 2503: 0.002287470475463669
Position 2505: 0.0022096916291945434
Position 1171: 0.0020670874847074955
Position 1566: 0.0011140196188902474
Position 2284: 0.0010943567870748936
Position 2515: 0.0010932116226695955
Position 2598: 0.0010746871894624223
Position 2060: 0.0010466989711606465
Position 1972: 0.0009334597680551799
Position 2509: 0.0008151272285778742
Position 1708: 0.0008130457745327314
Position 2097: 0.0007231737142912041
Position 1483: 0.0006575425939898841
Position 1028: 0.0006181609268426769
Position 1431: 0.0003453541980090952
Position 2409: 0.000219490782953499
Position 1696: 0.00021829035438742755
Position 1302: 0.00020752975601258643
Position 153: 0.00018583040484297056
Position 2371: 0.0001667788886073342
Position 222: 0.00015562205553145908
Position 1949: 0.00014958985292881673
Position 1178: 0.00012571348291631363
Position 180: 0.00012354103453841443
Position 13: 8.66997537859809e-05
Position 2288: 7.410116953451303e-05
Position 728: 7.187222454490477e-05
Position 2525: 7.113508732180485e-05
Position 562: 7.014870763099339e-05
Position 1003: 5.990990817669692e-05
Position 1629: 5.0041032299407314e-05
Position 1051: 4.022071631076178e-05
Position 710: 3.869380137415476e-05
Position 1143: 3.7639579726919346e-05
Position 1387: 3.6871622116331256e-05
Position 2657: 3.259546795377419e-05
Position 2587: 3.0128778396681167e-05
Position 571: 2.4118813454722617e-05
Position 1057: 2.0158166808515916e-05
Position 187: 1.9439162163430912e-05
Position 1001: 1.8803877057540353e-05
Position 2156: 1.5108520516895552e-05
Position 2683: 1.3349055022652825e-05
Position 971: 1.2758215554492614e-05
Position 1425: 1.1319717903043674e-05
Position 717: 1.0568775589193458e-05
Position 24: 9.433342223665465e-06
Position 676: 9.16063402120828e-06
Position 1135: 9.004417054608386e-06
Position 1331: 8.143132599605265e-06
Position 1374: 7.812361596079231e-06
Position 2733: 7.093471755033918e-06
Position 224: 6.555614225962035e-06
Position 275: 5.490347872835437e-06
Position 1204: 4.851745357616893e-06
Position 2303: 2.4403370575421958e-06
Position 498: 2.4348575539263934e-06
Position 2573: 2.1171892084346576e-06
Position 502: 1.9731497131855316e-06
Position 228: 1.5481189477631746e-06
Position 926: 7.547694011706789e-07
Position 841: 7.416791529661996e-07
Position 1537: 6.522200058389128e-07
Position 434: 6.255677148311486e-07
Position 1155: 5.012700987737068e-07
Position 1175: 4.3324098031766265e-07
Position 800: 3.766253415187854e-07
Position 1372: 3.468538358276984e-07
Position 1314: 2.945576442987166e-07
Position 818: 2.9228377975020836e-07
Position 253: 2.4766664010748634e-07
Position 962: 2.0397493540430357e-07
Position 1542: 1.6301710578200498e-07
Position 243: 1.4243291655370798e-07
Position 630: 9.181253222862432e-08
Position 580: 8.803858335181866e-08
Position 647: 7.640396538936529e-08
Position 226: 6.072966909271838e-08
Position 1173: 5.408071520808424e-08
Position 738: 1.876079185282661e-08
Position 811: 1.1570619912960282e-08
Position 199: 7.066220636617848e-09
Position 604: 5.118254743301882e-09
Position 1111: 2.0386135821206e-09
