Gene = abo
index = 1607
Annotated 5SS: [1026]
Annotated 3SS: [1082]
SMsplice 5SS: [1026]
SMsplice 3SS: [1082]
top_k =  1000
Partition function (log Z): -9.634388224990168

Sorted 5' Splice Sites (High to Low Probability):
Position 1026: 0.5436372928780909
Position 817: 0.3479079828923859
Position 647: 0.08740502687064994
Position 1022: 0.04730515058584312
Position 1202: 0.03194278691462806
Position 363: 0.017729770667040654
Position 611: 0.012858427125259581
Position 606: 0.010273255890957234
Position 788: 0.0040252220844973945
Position 1505: 0.002621210535121811
Position 212: 0.0016263250056654708
Position 1030: 0.0015680343156391355
Position 1236: 0.0014006634962281774
Position 1162: 0.00134529918098738
Position 1233: 0.0012666936903220048
Position 390: 0.0010989269342730637
Position 994: 0.0010874146706183318
Position 958: 0.0010831791176200698
Position 807: 0.0009515002913003095
Position 663: 0.0008239556729342265
Position 156: 0.0005659221915134186
Position 526: 0.0004276272708904031
Position 633: 0.00029320930078372405
Position 75: 0.0002911776088919748
Position 1206: 0.0002613311602668546
Position 623: 0.0001721583772003725
Position 346: 0.00016990475254763504
Position 1327: 0.0001627031456897031
Position 367: 0.00014612317414290386
Position 953: 0.0001302224843485461
Position 909: 0.00011988512358143105
Position 199: 0.00010466076078514704
Position 352: 9.913035635252385e-05
Position 1754: 9.735723383158093e-05
Position 762: 7.485256921113421e-05
Position 576: 6.669282744136622e-05
Position 1001: 6.208965820969153e-05
Position 272: 5.128510355183965e-05
Position 1242: 4.46218008211589e-05
Position 322: 3.149325356704363e-05
Position 1116: 2.7412153949334124e-05
Position 1434: 2.72538140558139e-05
Position 681: 2.6651111041969906e-05
Position 412: 2.0854373741502404e-05
Position 296: 2.0161527508965497e-05
Position 1586: 1.931844482496493e-05
Position 521: 1.912646025044849e-05
Position 1004: 1.7944326274473367e-05
Position 749: 1.6547474301759007e-05
Position 747: 1.5683070280595595e-05
Position 594: 1.4652132468784936e-05
Position 355: 1.3205654587075428e-05
Position 1392: 1.3110162146772605e-05
Position 573: 1.2562352921909766e-05
Position 792: 1.2012528192123836e-05
Position 653: 1.1863398495206603e-05
Position 1260: 1.1791670577410218e-05
Position 651: 1.1088338793801901e-05
Position 544: 7.10628480543449e-06
Position 140: 6.9026118851213125e-06
Position 976: 5.226713404423428e-06
Position 1501: 5.089443575286518e-06
Position 1770: 4.605208527185444e-06
Position 185: 4.086552467792042e-06
Position 404: 3.8157563016677726e-06
Position 1746: 1.6998736517852066e-06
Position 720: 1.3927229101310094e-06
Position 684: 9.690616762734685e-07
Position 3: 8.604636923360739e-07
Position 397: 4.5540731547347736e-07
Position 117: 4.055154227154762e-07
Position 844: 3.023050745032178e-07
Position 530: 2.6869355545620087e-07
