Gene = SmB
index = 1506
Annotated 5SS: [134]
Annotated 3SS: [502]
SMsplice 5SS: [134]
SMsplice 3SS: [502]
top_k =  1000
Partition function (log Z): -4.114175271045986

Sorted 5' Splice Sites (High to Low Probability):
Position 134: 0.9686364070394761
Position 69: 0.02774821252383389
Position 427: 0.00351405864185089
Position 418: 0.0016357187474335237
Position 86: 0.001012149650693894
Position 138: 0.0008068227479767689
Position 74: 0.0007737286543668334
Position 671: 0.0004160024524090863
Position 379: 0.0002747724035958137
Position 172: 0.00013976815944732648
Position 585: 0.0001155049612461594
Position 376: 0.0001154650992214825
Position 707: 9.749695963569882e-05
Position 66: 6.807196475200319e-05
Position 743: 6.403886452909695e-05
Position 230: 5.707076006254324e-05
Position 1089: 3.962534980648014e-05
Position 190: 3.2131758776902646e-05
Position 286: 2.888778910615712e-05
Position 1065: 2.20349527770765e-05
Position 891: 2.195999645911866e-05
Position 884: 2.181011451593203e-05
Position 548: 2.117236110250887e-05
Position 177: 1.6921917040404598e-05
Position 731: 1.569206764369595e-05
Position 314: 1.4782996841807475e-05
Position 219: 1.3589346527924436e-05
Position 334: 1.173829710829699e-05
Position 819: 9.945505387165448e-06
Position 187: 7.293874498154908e-06
Position 149: 6.354599545934151e-06
Position 182: 5.6911293986830894e-06
Position 807: 4.8842372634230006e-06
Position 573: 3.914266056295619e-06
Position 695: 2.7955294575794398e-06
Position 464: 2.767846491042971e-06
Position 960: 1.2302607816789024e-06
Position 1023: 1.2275968772340465e-06
Position 870: 1.1937437188579638e-06
Position 853: 8.623369246104054e-07
Position 640: 7.686167495230237e-07
Position 860: 6.998938263849137e-07
Position 938: 1.7607086888641592e-07
Position 893: 1.469900444171452e-07
Position 879: 1.0417431280167232e-07
Position 824: 8.413114452971219e-08
Position 557: 3.0498960220273765e-08
Position 782: 1.2407542759799751e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 502: 0.9776183011974904
Position 203: 0.019802440796376275
Position 334: 0.0036859115684551684
Position 187: 0.0020910638176765486
Position 800: 0.0007894911354379804
Position 416: 0.0007491888038736187
Position 565: 0.0002662569648085361
Position 532: 0.00018516108972162166
Position 1132: 0.0001590382745429632
Position 241: 0.0001581687058655438
Position 913: 8.216808591579941e-05
Position 670: 4.703374025418582e-05
Position 1007: 3.861012198626979e-05
Position 596: 3.647613587044994e-05
Position 437: 2.423619105333971e-05
Position 866: 9.638403010615109e-06
Position 649: 6.2628748272653696e-06
Position 731: 6.031622859677338e-06
Position 661: 5.886618361467379e-06
Position 514: 4.915376019379146e-06
Position 177: 4.097749535931825e-06
Position 764: 3.956523522654221e-06
Position 637: 2.2717003137405943e-06
Position 118: 1.7525603995785563e-06
Position 877: 1.544855916300557e-06
Position 156: 1.3514364823740888e-06
Position 356: 1.3010404768682388e-06
Position 679: 9.985492503363119e-07
Position 691: 5.799157730176517e-07
Position 640: 4.6430819145814234e-07
Position 797: 4.0333888608264193e-07
Position 766: 2.9042011471060063e-07
Position 938: 1.695233426252771e-07
Position 935: 1.4104184359227793e-07
Position 1056: 8.538932123299225e-08
Position 782: 5.165555159644214e-08
Position 138: 5.043638850252605e-08
Position 685: 1.833743905584045e-08
Position 724: 9.980931320534727e-09
