Gene = Hf
index = 1210
Annotated 5SS: [112]
Annotated 3SS: [174]
SMsplice 5SS: [112]
SMsplice 3SS: [174]
top_k =  1000
Partition function (log Z): -4.317522259055592

Sorted 5' Splice Sites (High to Low Probability):
Position 112: 0.60519895514824
Position 120: 0.3938536487518425
Position 719: 0.017064872580045992
Position 223: 0.010281003886725284
Position 361: 0.007853576741021585
Position 555: 0.006499834760230359
Position 508: 0.0009124797701887739
Position 528: 0.0008899739083207524
Position 265: 0.0007706465652566469
Position 116: 0.00032721023187904036
Position 429: 0.00031352035265654667
Position 716: 0.0002373398971740958
Position 700: 0.0002169481338328029
Position 463: 0.00017644424035336985
Position 196: 0.00013720464287291225
Position 339: 0.00011944020522622415
Position 98: 7.66180913150039e-05
Position 565: 4.917612610920267e-05
Position 57: 3.6865989496615335e-05
Position 709: 3.6748131501715144e-05
Position 244: 1.6046458359261887e-05
Position 107: 1.4330588307774302e-05
Position 582: 1.4028199433870955e-05
Position 308: 1.105043031308196e-05
Position 450: 5.890091536753428e-06
Position 124: 5.731569005716788e-06
Position 574: 5.353810936061833e-06
Position 457: 4.803085636004837e-06
Position 605: 4.7186808457441745e-06
Position 83: 3.5769822068739947e-06
Position 131: 1.2672044006592534e-06
Position 542: 1.1833945286099832e-06
Position 787: 6.665457395853087e-07
Position 50: 4.909428046986262e-07
Position 783: 4.3447566708247307e-07
Position 627: 3.338626135676102e-07
Position 804: 1.608289168384207e-07
Position 781: 1.2465363079882246e-07
Position 3: 2.1016435801185003e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 174: 0.9945669457586205
Position 771: 0.014678426074616675
Position 286: 0.007594371007058352
Position 636: 0.007459821029337164
Position 419: 0.003515301976644836
Position 814: 0.0034957785711531913
Position 582: 0.002737291900437425
Position 339: 0.002281281403668946
Position 494: 0.0018416330804870954
Position 480: 0.0015949060536593323
Position 438: 0.0010230932548536205
Position 627: 0.0008470271505990532
Position 264: 0.0006379514279625048
Position 196: 0.0006332879761521403
Position 777: 0.0004222934870437995
Position 909: 0.0003456365223156102
Position 450: 0.00029503840213604453
Position 241: 0.00022931340249734535
Position 507: 0.00018488108737417356
Position 528: 0.00017980325265905823
Position 605: 0.00016184069091600457
Position 600: 9.098588108829989e-05
Position 542: 5.390913023800361e-05
Position 549: 5.0768327892680176e-05
Position 933: 3.998607718532432e-05
Position 666: 3.135872365542276e-05
Position 202: 2.8983800984293056e-05
Position 462: 2.029141308779754e-05
Position 693: 1.7700710341672507e-05
Position 477: 1.6958860953122975e-05
Position 554: 1.620839129189402e-05
Position 386: 1.2352975244963153e-05
Position 645: 1.1510837767144658e-05
Position 842: 7.525307128013486e-06
Position 781: 6.95630562128398e-06
Position 513: 4.652252303992404e-06
Position 209: 3.7311132614755263e-06
Position 941: 1.1607399048593798e-06
Position 799: 9.125809351821849e-07
Position 705: 6.578856486258488e-07
Position 747: 1.1170578737022267e-07
Position 917: 5.1469835393727106e-08
Position 375: 1.8669460879364104e-09
Position 348: 1.4804526165562898e-10
Position 116: 5.3132062368598256e-11
Position 227: 3.729421266006527e-11
Position 74: 2.1150855476738656e-11
Position 249: 1.4952352933622687e-11
Position 139: 1.25157368932985e-11
Position 144: 3.4505660643517485e-12
Position 131: 3.1481049479367417e-12
Position 124: 3.0004682924834403e-12
Position 251: 2.6818755051681874e-12
Position 56: 1.9775304834382353e-12
Position 351: 6.266544812078795e-13
Position 50: 6.495992506691926e-14
