Gene = S
index = 1460
Annotated 5SS: [  981 16582 25250 25485]
Annotated 3SS: [15601 24761 25319 25549]
SMsplice 5SS: [  981 16582 25250 25485]
SMsplice 3SS: [15601 24761 25319 25549]
top_k =  1000
Partition function (log Z): -3.4141003564542682

Sorted 5' Splice Sites (High to Low Probability):
Position 25485: 0.999759096935704
Position 25250: 0.9993203841476388
Position 981: 0.7773448467838534
Position 16582: 0.6271609678775352
Position 698: 0.18680254080411174
Position 25876: 0.047299489331092376
Position 27453: 0.03892589889856489
Position 26912: 0.0347801482387208
Position 26922: 0.032271379265055744
Position 540: 0.026347296335050917
Position 6617: 0.025567948024444655
Position 5105: 0.025535000302869985
Position 14726: 0.025287625385053483
Position 4934: 0.02431430031869035
Position 25908: 0.022910670555084334
Position 6120: 0.02101343781745768
Position 26396: 0.01607996465544764
Position 25843: 0.01494079993455105
Position 25695: 0.010426938223455248
Position 27466: 0.009895717741477716
Position 26371: 0.008713934740087146
Position 25879: 0.005165005681207427
Position 14226: 0.004865540198102261
Position 26423: 0.004724477960761229
Position 26948: 0.004406015097931291
Position 26928: 0.0030192912952009413
Position 894: 0.0028258559450892104
Position 25654: 0.0027021765125279642
Position 26666: 0.0023527391685702506
Position 26031: 0.002115625555113464
Position 26884: 0.0021068078931245474
Position 27734: 0.0017157521662448337
Position 26228: 0.0014253504818649097
Position 14187: 0.0013334895540332728
Position 5336: 0.0012122678588413246
Position 26893: 0.0009564482117578824
Position 755: 0.0008793646678670683
Position 164: 0.0008739055802322397
Position 753: 0.000833237358726712
Position 751: 0.0007883794190280821
Position 25855: 0.0007551938817263638
Position 244: 0.0007207342207101629
Position 4920: 0.0006732480993944528
Position 6629: 0.0006730171588068455
Position 8327: 0.0006508941525946451
Position 25998: 0.0005868301575111222
Position 396: 0.0005731560798430326
Position 5696: 0.0005376853131149705
Position 134: 0.000516821555420902
Position 455: 0.0004973256910507067
Position 320: 0.0004649003982437967
Position 352: 0.00044834442193488155
Position 27458: 0.00044209428006792596
Position 4905: 0.0004061103403731277
Position 5981: 0.0004035445155675689
Position 27447: 0.0003785436862772665
Position 25819: 0.0003450925867428259
Position 4945: 0.0003402929493692031
Position 316: 0.0003364317423288605
Position 27153: 0.0002724548481898728
Position 749: 0.00026957254320961546
Position 26478: 0.00026191544638173007
Position 26054: 0.00022806072923049525
Position 74: 0.00015174519864243494
Position 664: 0.00013631012048570337
Position 5431: 8.9153147539115e-05
Position 25429: 7.797833402697621e-05
Position 1854: 6.579688642935882e-05
Position 27694: 6.522915082985027e-05
Position 26155: 6.48001752224539e-05
Position 523: 6.469031793738422e-05
Position 348: 6.346383295264184e-05
Position 26315: 5.944902523423685e-05
Position 702: 5.602423944558303e-05
Position 25489: 4.9602224154889105e-05
Position 3034: 4.9582815570990056e-05
Position 26439: 4.242025284042695e-05
Position 1134: 4.2195783127840454e-05
Position 609: 3.297456367133826e-05
Position 5343: 2.778990556005391e-05
Position 3555: 2.3285279222989048e-05
Position 5435: 2.019918779015228e-05
Position 2184: 1.5118746986955433e-05
Position 25464: 1.451706919903971e-05
Position 26625: 1.3481828257889156e-05
Position 3950: 1.2911897307796905e-05
Position 4432: 1.2319258453421359e-05
Position 25669: 1.0266359589287084e-05
Position 26037: 9.486672140148352e-06
Position 26712: 8.200021143126066e-06
Position 328: 7.75030514988984e-06
Position 5093: 6.1533434261739295e-06
Position 567: 5.256756434545347e-06
Position 324: 4.955750847735787e-06
Position 759: 4.866771675637479e-06
Position 757: 4.116669702485597e-06
Position 371: 4.013734510208408e-06
Position 26010: 3.852600739990097e-06
Position 326: 3.4899992100050804e-06
Position 26467: 2.987923184667111e-06
Position 356: 2.947338526131082e-06
Position 375: 2.8564536606115893e-06
Position 811: 2.823777140083532e-06
Position 346: 2.6113453923256154e-06
Position 1184: 2.131645007516598e-06
Position 358: 2.070653460404871e-06
Position 63: 1.6012367150146006e-06
Position 660: 1.5648060415399441e-06
Position 239: 1.3975299813068476e-06
Position 332: 1.2855081310645729e-06
Position 781: 1.2566385062483434e-06
Position 26345: 1.1183141382246693e-06
Position 79: 7.95605860580541e-07
Position 225: 7.52941894577033e-07
Position 248: 6.100534248191357e-07
Position 258: 5.858970495539847e-07
Position 834: 5.853345334207797e-07
Position 668: 5.852605135076168e-07
Position 26166: 5.805066845889408e-07
Position 26181: 4.4401923025304674e-07
Position 795: 4.346421862235061e-07
Position 25589: 3.8358160795931326e-07
Position 185: 3.7967029325542037e-07
Position 96: 3.7546247525369487e-07
Position 330: 3.510485819891327e-07
Position 343: 3.461845008006203e-07
Position 489: 3.418380051222605e-07
Position 666: 3.206091122208761e-07
Position 1747: 2.8647749092154274e-07
Position 25952: 2.5333220690256746e-07
Position 25637: 2.3077176151995602e-07
Position 26147: 1.9641927951109866e-07
Position 25577: 1.5132003628433883e-07
Position 1812: 1.45114571499862e-07
Position 1351: 1.302558717746283e-07
Position 1808: 1.2744349804937892e-07
Position 646: 1.2015733971590321e-07
Position 1650: 1.1971498445069406e-07
Position 86: 1.0527365814168068e-07
Position 190: 8.86510863726031e-08
Position 898: 7.466329798071387e-08
Position 1242: 6.401284385547488e-08
Position 1462: 6.33391097242046e-08
Position 1174: 6.321734265976243e-08
Position 341: 6.193746639194597e-08
Position 26048: 5.76044552655995e-08
Position 1617: 5.296967247164168e-08
Position 3568: 5.214401409629215e-08
Position 1763: 4.4188065351243e-08
Position 783: 3.8426125538117185e-08
Position 25379: 3.69415968807779e-08
Position 379: 3.622749691526469e-08
Position 544: 3.084098022636277e-08
Position 632: 3.059439270740856e-08
Position 304: 2.9100092292511452e-08
Position 362: 2.7359003010019766e-08
Position 25376: 2.5954455477827758e-08
Position 551: 2.3868026872749715e-08
Position 26899: 2.0418790296447772e-08
Position 1492: 1.7007439286242177e-08
Position 360: 1.386841448542839e-08
Position 918: 1.033224060089823e-08
Position 1778: 8.846016110801462e-09
Position 25392: 8.694616043112926e-09
Position 882: 7.612607447933105e-09
Position 1692: 5.730806874348668e-09
Position 909: 3.6829168140396945e-09
Position 934: 3.4852286731221374e-09
Position 1238: 2.5031389022573074e-09
Position 900: 1.828304865267428e-09
Position 920: 1.762178887936131e-09
Position 1048: 1.4649917185474422e-09
