Gene = eIF1
index = 1682
Annotated 5SS: [186 587]
Annotated 3SS: [428 972]
SMsplice 5SS: [186 587]
SMsplice 3SS: [428 972]
top_k =  1000
Partition function (log Z): -3.3532798139908655

Sorted 5' Splice Sites (High to Low Probability):
Position 587: 0.9901014807204137
Position 186: 0.5292662377645727
Position 1075: 0.17832934805072861
Position 309: 0.05297561567090028
Position 335: 0.039816909243095604
Position 1105: 0.025878388547089307
Position 140: 0.007780366422453506
Position 74: 0.006929913465534756
Position 922: 0.006059933853044728
Position 156: 0.0056112772366600375
Position 361: 0.00484568626869932
Position 918: 0.004533947857232063
Position 337: 0.004208079662616688
Position 602: 0.0028618470258306187
Position 231: 0.0024481037025979578
Position 864: 0.0019329810991028222
Position 92: 0.0017765063584775985
Position 897: 0.001742692768926563
Position 737: 0.0012937733236999796
Position 81: 0.0009663529607217084
Position 256: 0.0005122376803185984
Position 550: 0.00044162102343298294
Position 121: 0.0003966338935770422
Position 1141: 0.00038812118207261833
Position 672: 0.0003728783819568665
Position 1139: 0.00019482066078646687
Position 42: 0.00019100817559793048
Position 1046: 0.0001727130629667835
Position 137: 0.00015724053937849438
Position 190: 0.00012067171556734795
Position 183: 0.00011519318116318747
Position 1016: 0.00010547645596613006
Position 925: 7.327133809560969e-05
Position 34: 6.656464364271976e-05
Position 1123: 6.166941928550007e-05
Position 1065: 6.165944071961135e-05
Position 871: 5.4033751157905654e-05
Position 610: 4.5655614519999146e-05
Position 734: 3.841934726351721e-05
Position 1079: 3.2496205918286595e-05
Position 714: 3.142882840476802e-05
Position 569: 2.0050675052449194e-05
Position 755: 1.8905714160351664e-05
Position 591: 1.8377441311573694e-05
Position 1203: 1.671482767891562e-05
Position 127: 1.4955278595866945e-05
Position 654: 1.0814060834423408e-05
Position 630: 8.493186493255226e-06
Position 1011: 5.870617727135238e-06
Position 994: 4.545730890223089e-06
Position 144: 4.4887099214101585e-06
Position 612: 1.893384737046019e-06
Position 541: 1.764675661112904e-06
Position 153: 1.2463994466881092e-06
Position 1021: 1.1970157996241061e-06
Position 934: 6.819302844433049e-07
Position 482: 2.647250394675075e-07
Position 160: 2.601265970844948e-07
Position 1058: 1.3477925640253448e-07
Position 1210: 8.372215172022594e-08
Position 510: 7.997592103895555e-08
Position 395: 4.6010619149867295e-08
Position 530: 2.164449661285923e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 972: 0.9562203906133411
Position 428: 0.6035332841924775
Position 1238: 0.12290206312214356
Position 1172: 0.08057153861096811
Position 395: 0.04091418317408108
Position 797: 0.023035385705066892
Position 811: 0.021391332057827277
Position 782: 0.006548391973041751
Position 133: 0.00377259225562369
Position 502: 0.002024198049988284
Position 473: 0.0017141409240094938
Position 1253: 0.0015484457671555336
Position 451: 0.001017005973564412
Position 868: 0.0008054427704936749
Position 169: 0.0007340558408716301
Position 824: 0.0007114931481088915
Position 672: 0.000696603149766741
Position 871: 0.0006770677625418603
Position 195: 0.000605406471639056
Position 1203: 0.00047607811330770773
Position 891: 0.0004515204478782373
Position 734: 0.0004295855910635984
Position 1262: 0.0004206019390264225
Position 1256: 0.00024168537850333778
Position 636: 0.00023187383671506633
Position 819: 0.00021865746180487185
Position 299: 0.0001597502244172925
Position 640: 0.00014653038329604504
Position 834: 0.00012616409848988281
Position 190: 0.00012156029150670797
Position 763: 0.00011487824595193633
Position 942: 8.897046849937566e-05
Position 535: 8.529054586387376e-05
Position 714: 5.3978222703349886e-05
Position 409: 5.0923206989474775e-05
Position 1029: 4.986595785250008e-05
Position 1074: 4.522995994816907e-05
Position 482: 4.084585831518084e-05
Position 317: 3.2726322498567996e-05
Position 750: 3.2175716928818743e-05
Position 1009: 3.122116470026385e-05
Position 499: 1.4564345814041568e-05
Position 1035: 1.35219597685341e-05
Position 121: 8.134697644166983e-06
Position 492: 4.3227587590924786e-06
Position 1120: 3.671400473144859e-06
Position 565: 1.387439158508478e-06
Position 92: 1.199706693894828e-06
Position 562: 1.1374480044933886e-06
Position 1084: 9.85038971466867e-07
Position 517: 5.832561516368294e-07
Position 1044: 3.624051100762803e-07
Position 1098: 3.255047118184758e-07
Position 1104: 2.925846762347137e-07
Position 1275: 1.781138616236698e-07
Position 569: 1.075905741954304e-07
Position 504: 6.182866364696672e-08
Position 550: 3.84392970657519e-08
Position 583: 3.597137595193964e-08
Position 600: 2.822703186043982e-08
Position 752: 2.004819900578965e-08
Position 1002: 1.5140010344469356e-08
Position 586: 7.248472828829343e-09
Position 1011: 5.2019504789529675e-09
Position 205: 2.576681096616904e-09
Position 1020: 1.6035079251506595e-09
