Gene = NimA
index = 1320
Annotated 5SS: [ 614 3467 3643 4414]
Annotated 3SS: [3291 3524 3709 4580]
SMsplice 5SS: [ 614 3467 3643 4414]
SMsplice 3SS: [3291 3524 3709 4580]
top_k =  1000
Partition function (log Z): 9.485636133629725

Sorted 5' Splice Sites (High to Low Probability):
Position 3467: 0.9972017360736664
Position 3643: 0.9660131936150101
Position 614: 0.9016063316301415
Position 4414: 0.5306420776652415
Position 4418: 0.4348870780913107
Position 49: 0.2861304042269151
Position 4221: 0.2663687065076807
Position 5105: 0.14530697985132943
Position 1201: 0.06987596780515605
Position 3933: 0.049448431155791284
Position 618: 0.03854722403082725
Position 3837: 0.031828096578004304
Position 5036: 0.025126413690360394
Position 4123: 0.02187143866658516
Position 3647: 0.018199247747985495
Position 103: 0.015796546460750308
Position 1123: 0.01510875522879343
Position 3627: 0.015071385328570214
Position 247: 0.009369491461256122
Position 4937: 0.007889244444286425
Position 1602: 0.006556526193445502
Position 2171: 0.006248635623731102
Position 168: 0.0062059066384222575
Position 4714: 0.0057754919973228855
Position 3886: 0.00554593736888143
Position 3927: 0.0051396834755419694
Position 177: 0.004588489118554408
Position 524: 0.0035456516484366606
Position 228: 0.0028295328002197573
Position 2249: 0.0024876268305878764
Position 1116: 0.0023726731403778197
Position 2723: 0.0022178444681596097
Position 3248: 0.002183034338883053
Position 4442: 0.002097738061266605
Position 263: 0.002046876023390612
Position 1190: 0.0020117888549083343
Position 4975: 0.0017766743911378103
Position 136: 0.0017722454660894847
Position 5442: 0.0016633898211531552
Position 4232: 0.0016300088591441057
Position 186: 0.0016055610337874704
Position 5240: 0.0013230806290986687
Position 4185: 0.0013037213071216117
Position 1170: 0.0011782252657092408
Position 4882: 0.0011687350934231476
Position 5024: 0.0010906744891850848
Position 33: 0.001086793209004109
Position 5609: 0.001085191884359345
Position 1621: 0.0010723132717788604
Position 1833: 0.0010547327925584308
Position 4863: 0.0008793730323710664
Position 1183: 0.0008217980343074217
Position 3471: 0.0007053740453189003
Position 599: 0.0006723196725924393
Position 4865: 0.0006597077096026897
Position 3799: 0.0006384916523896562
Position 1206: 0.0006313409966538377
Position 410: 0.0006273945029170384
Position 2493: 0.000595241283876513
Position 5461: 0.0005016447646556605
Position 4670: 0.0004884425043733072
Position 1826: 0.00047654323916616567
Position 3037: 0.00047484065016788505
Position 1579: 0.00041655748977868225
Position 4781: 0.0004087572593874894
Position 4247: 0.0004023537671123488
Position 5052: 0.0003990174526978419
Position 280: 0.0003974322416884805
Position 3057: 0.00035474005939731403
Position 627: 0.0003335138857041969
Position 1193: 0.0003172197818312918
Position 4138: 0.0003055671891784596
Position 3898: 0.00025622841676460525
Position 129: 0.0002509275862520973
Position 5207: 0.00024490582785762416
Position 2424: 0.00023309605225078713
Position 359: 0.00022596011566360143
Position 1585: 0.00022485078603423452
Position 290: 0.00016199424311429226
Position 506: 0.000149214089237783
Position 622: 0.00012168834307995181
Position 4684: 0.00011385826828400679
Position 1964: 0.00010991731251765784
Position 995: 0.00010834393811668855
Position 4225: 0.00010562094875431923
Position 2391: 0.0001000617524489382
Position 3861: 9.651307905974968e-05
Position 5220: 9.455710695518072e-05
Position 3052: 9.103757926668821e-05
Position 3409: 8.909090032806158e-05
Position 10: 8.3913390333364e-05
Position 2389: 7.891678990394965e-05
Position 5480: 6.383407819044842e-05
Position 543: 6.377465380221642e-05
Position 2959: 6.156688254305128e-05
Position 4059: 5.3500552902608937e-05
Position 1552: 5.261736623076137e-05
Position 111: 5.099033248673858e-05
Position 3852: 4.514630495863433e-05
Position 2394: 4.220245143159935e-05
Position 5157: 4.0205527758717945e-05
Position 1722: 3.902938111843562e-05
Position 4003: 3.884161294008094e-05
Position 4173: 3.667421586300428e-05
Position 4422: 3.567541319480736e-05
Position 547: 3.472752132515673e-05
Position 2032: 3.255212063246594e-05
Position 4042: 3.160211698057304e-05
Position 1945: 3.106427174065166e-05
Position 2341: 2.637703261791844e-05
Position 2415: 2.550469031174366e-05
Position 1094: 1.996253826982455e-05
Position 1431: 1.3567032355418279e-05
Position 3912: 1.2963745223553392e-05
Position 1670: 1.2504562878108307e-05
Position 4209: 1.2430166178484e-05
Position 113: 1.1185515644268199e-05
Position 431: 7.477708336350029e-06
Position 4116: 5.0953110479461e-06
Position 4163: 4.747414619556989e-06
Position 3392: 4.269758701450322e-06
Position 4424: 3.7860534728301607e-06
Position 4290: 3.164613333507199e-06
Position 4807: 3.123331150162554e-06
Position 3846: 2.9203343961947346e-06
Position 4392: 2.9073570884671045e-06
Position 68: 2.1957912433380097e-06
Position 3404: 2.1801139426607323e-06
Position 4964: 1.952107643101484e-06
Position 4238: 1.768154192258623e-06
Position 4269: 1.7235100495896578e-06
Position 1316: 1.5888417498473864e-06
Position 4317: 1.5231019863999087e-06
Position 676: 1.5225731023069943e-06
Position 3688: 1.2286669548526216e-06
Position 1038: 1.065520573531821e-06
Position 3987: 7.98134808779645e-07
Position 1221: 7.960809736683069e-07
Position 1060: 7.149386769681283e-07
Position 3398: 3.806010032890521e-07
Position 3483: 3.2478649309166323e-07
Position 630: 2.9627158581961086e-07
Position 694: 2.92907820983887e-07
Position 530: 2.8577117684426434e-07
Position 3573: 1.9689853970607424e-07
Position 608: 1.6701548971996767e-07
Position 1104: 1.5284881225279815e-07
Position 3356: 1.4949407317757747e-07
Position 528: 1.4748040240378492e-07
Position 3521: 1.2539813231385755e-07
Position 1267: 1.2462560298723933e-07
Position 1257: 9.138185282272028e-08
Position 1075: 8.889466613756994e-08
Position 3612: 6.634305468727573e-08
Position 4320: 5.774154364909073e-08
Position 434: 4.678367910284618e-08
Position 491: 4.313303151634449e-08
Position 4044: 3.9703549873528225e-08
Position 4673: 3.8372413981166706e-08
