Gene = Cp19
index = 1090
Annotated 5SS: [58]
Annotated 3SS: [146]
SMsplice 5SS: [58]
SMsplice 3SS: [146]
top_k =  1000
Partition function (log Z): -3.6559454609470228

Sorted 5' Splice Sites (High to Low Probability):
Position 58: 0.995816690837033
Position 611: 0.013267611640368472
Position 83: 0.003712237668640482
Position 397: 0.002867483691977489
Position 615: 0.0014461451352053294
Position 378: 0.0006944891431631838
Position 292: 0.0006927655778829303
Position 540: 0.0003366001965765547
Position 51: 0.0002953449701857623
Position 599: 0.000182472864903835
Position 235: 5.299030742845147e-05
Position 62: 4.6304327613678525e-05
Position 530: 3.279988437851696e-05
Position 472: 2.2438897671683258e-05
Position 385: 2.1070365607223214e-05
Position 418: 1.254167077958898e-05
Position 64: 7.640449541812561e-06
Position 623: 7.441078847332471e-06
Position 334: 6.256393603209282e-06
Position 315: 5.217693835135454e-06
Position 301: 3.6658162684978176e-06
Position 18: 3.0750142256491432e-06
Position 430: 2.920003354698992e-06
Position 485: 2.5318117360405257e-06
Position 202: 2.39359404262032e-06
Position 367: 1.9723877319437442e-06
Position 451: 1.9661046330951835e-06
Position 433: 1.427586602002963e-06
Position 516: 1.3845936486376135e-06
Position 177: 3.3934973489121706e-07
Position 406: 3.314062284757456e-07
Position 570: 1.185494697087095e-07
Position 459: 3.361276038434939e-08
Position 585: 2.4321357539926992e-08
Position 129: 2.329052099659585e-08
Position 156: 1.0242847082600559e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 146: 0.9969788391919878
Position 675: 0.01642845552783501
Position 156: 0.0018708278788601277
Position 497: 0.000896292597306683
Position 464: 0.0008265846189729337
Position 377: 0.0007156302421223161
Position 129: 0.0006343901869157397
Position 530: 0.0003232142241248879
Position 184: 0.00013271385323607767
Position 591: 0.00012311011487757697
Position 640: 0.00011028705690691223
Position 643: 9.6650793869669e-05
Position 593: 8.569021028445038e-05
Position 570: 8.519423909371398e-05
Position 212: 5.349146914218385e-05
Position 265: 4.6821485715944764e-05
Position 701: 2.8500003130714656e-05
Position 535: 2.3681340855198524e-05
Position 346: 2.1418762850142102e-05
Position 611: 1.596145638774807e-05
Position 239: 1.1499945127482287e-05
Position 729: 1.079419480721342e-05
Position 599: 8.898634775740455e-06
Position 209: 5.650649608084241e-06
Position 509: 3.948981045234988e-06
Position 619: 3.5821004208372317e-06
Position 539: 1.2966881312901031e-06
Position 244: 1.1401670986820415e-06
Position 270: 8.838178315529472e-07
Position 382: 7.176784774662721e-07
Position 299: 6.867663071492933e-07
Position 623: 6.816879243574162e-07
Position 578: 5.458572709810499e-07
Position 273: 5.033972314553355e-07
Position 296: 5.9065028181378324e-08
Position 359: 4.099642627775774e-08
Position 224: 3.40464160353731e-08
Position 285: 2.9897413708281277e-08
Position 320: 1.0653183809692866e-08
Position 290: 9.611748189351636e-13
Position 214: 2.570075600842709e-13
Position 72: 1.5951647388271822e-13
Position 62: 2.4942507972439234e-14
Position 308: 1.97804861196557e-15
Position 401: 3.3526649985835864e-20
