Gene = arx
index = 1612
Annotated 5SS: [235]
Annotated 3SS: [302]
SMsplice 5SS: [235]
SMsplice 3SS: [302]
top_k =  1000
Partition function (log Z): -8.17853123645572

Sorted 5' Splice Sites (High to Low Probability):
Position 235: 0.8206907651186491
Position 187: 0.159255997120692
Position 453: 0.01655153793785111
Position 477: 0.011816624108313478
Position 653: 0.0049297514477062284
Position 239: 0.00482368179879594
Position 430: 0.0041639625875027845
Position 266: 0.0038390368275462634
Position 175: 0.0032749622652432733
Position 252: 0.0014637300629522525
Position 650: 0.001132915276849441
Position 155: 0.00022163184256682728
Position 203: 0.00016475971606253823
Position 460: 0.00016406059969638375
Position 255: 9.813997213897893e-05
Position 401: 8.793804256629642e-05
Position 45: 7.979554367587766e-05
Position 157: 7.638099792857582e-05
Position 432: 6.886095381115868e-05
Position 791: 6.681497195917725e-05
Position 4: 3.8503626440317e-05
Position 258: 2.014974726362778e-05
Position 659: 1.9590934580677134e-05
Position 880: 1.6227085627732368e-05
Position 494: 1.4053661117497702e-05
Position 228: 1.237580617446776e-05
Position 763: 1.0356081899293617e-05
Position 299: 1.023496464339919e-05
Position 657: 9.307445679227565e-06
Position 803: 7.140516875255276e-06
Position 85: 5.2968687782200135e-06
Position 725: 4.7798676934240495e-06
Position 317: 3.067305956921832e-06
Position 339: 2.7566687665836906e-06
Position 888: 2.6047365892413128e-06
Position 50: 5.994693389395063e-07
Position 782: 5.623809428886376e-07
Position 777: 5.169024223238036e-07
Position 270: 3.5982465435807756e-07
Position 886: 1.2611215527336018e-07
Position 538: 1.1115017101596037e-07
Position 96: 1.0745439401909359e-08
Position 191: 3.231330291686077e-09
Position 366: 8.777311470440993e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 302: 0.6254503688827769
Position 350: 0.14567904695595688
Position 281: 0.10590808506384654
Position 509: 0.032826152015773984
Position 339: 0.028854765844253633
Position 286: 0.02422098507501392
Position 244: 0.02049352680701242
Position 530: 0.014670522585282258
Position 921: 0.012655619203009326
Position 373: 0.009911644369877112
Position 452: 0.003908629177618064
Position 514: 0.002176525974367164
Position 803: 0.002008920786930923
Position 355: 0.0015242462835354242
Position 255: 0.00044397531116972745
Position 378: 0.00038055045132747193
Position 258: 0.00037594065253914095
Position 466: 0.0003599985040276006
Position 808: 0.00035345789692780666
Position 791: 0.00029852132602160023
Position 395: 0.00015688565983437803
Position 938: 0.00011713702885908416
Position 385: 0.00011436920985502873
Position 105: 7.194103307079128e-05
Position 628: 5.647666379483305e-05
Position 220: 3.381787323053889e-05
Position 688: 2.6315619890374577e-05
Position 203: 2.4380444205305548e-05
Position 846: 7.571811473949708e-06
Position 563: 6.974941175743628e-06
Position 323: 5.558204909835916e-06
Position 575: 5.4761068147139475e-06
Position 572: 5.357749504188841e-06
Position 407: 3.8090334405444017e-06
Position 554: 3.017202450018607e-06
Position 108: 2.4109236171191636e-06
Position 477: 1.4662194990093918e-06
Position 239: 1.409197949831623e-06
Position 569: 1.213550642295778e-06
Position 668: 9.704413553526084e-07
Position 527: 9.573824545899805e-07
Position 228: 3.6542387058461913e-07
Position 566: 3.5300479977137924e-07
Position 129: 3.1896019330507083e-07
Position 138: 2.084341203497871e-08
Position 126: 1.4573403498605298e-08
Position 169: 6.749707712567463e-09
Position 222: 2.4001679253611005e-09
Position 401: 7.207963370575447e-10
Position 135: 6.426839208755692e-10
Position 410: 2.8486065133342723e-10
Position 590: 1.1129922280140428e-10
Position 428: 2.428836257121139e-11
