Gene = rols
index = 1860
Annotated 5SS: [  298  3879 36164 37838 51929 52432 55981]
Annotated 3SS: [ 2949 35980 37697 51450 52128 52627 56043]
SMsplice 5SS: [  298  3879 36164 37838 51929 55981]
SMsplice 3SS: [ 2949 35980 37697 51450 55845 56043]
top_k =  1000
Partition function (log Z): -2.3061166608437356

Sorted 5' Splice Sites (High to Low Probability):
Position 36164: 0.9999313938595518
Position 3879: 0.9980844289353572
Position 51929: 0.9923353216594069
Position 37838: 0.9897254102651634
Position 55981: 0.9193859862928282
Position 298: 0.8153157322277828
Position 24027: 0.12988148975118566
Position 94: 0.12256703548932092
Position 2865: 0.10697865579021927
Position 1216: 0.03526053034794117
Position 19333: 0.023747212682577557
Position 15956: 0.021378026992658672
Position 52242: 0.02118119187754011
Position 1830: 0.019784922322214217
Position 50821: 0.019018003887584407
Position 100: 0.017052045021015084
Position 23729: 0.01420939438731278
Position 45970: 0.01009238633893525
Position 45364: 0.008881244053118699
Position 36483: 0.007853928509080265
Position 39668: 0.007205529851467704
Position 1135: 0.006792304008450061
Position 1302: 0.006712945200329401
Position 2717: 0.0062892979110165965
Position 2022: 0.005930217564693863
Position 56358: 0.005822430259655853
Position 2357: 0.005802183308898352
Position 1835: 0.005729755101178563
Position 1609: 0.004661577871768972
Position 40178: 0.004354065850861722
Position 36810: 0.004295943732590792
Position 52852: 0.003831780083972885
Position 86: 0.0037191621374142313
Position 50862: 0.0036353636703866676
Position 37760: 0.0032401617964426107
Position 3674: 0.0031143131485357805
Position 148: 0.003087213004821886
Position 43920: 0.0028874387810664307
Position 1220: 0.0026848699482585397
Position 37842: 0.002412905965511179
Position 3: 0.0023671111811976652
Position 48200: 0.00233690958778776
Position 50621: 0.0022110947062023672
Position 40863: 0.0018762876445212674
Position 44573: 0.0014738394742564223
Position 458: 0.0013853122458407743
Position 18533: 0.0013530242639778472
Position 302: 0.0012546583810027444
Position 9525: 0.0009858975035502793
Position 761: 0.0008845112857060711
Position 265: 0.0008528529127383774
Position 2632: 0.0008447870187780359
Position 2750: 0.0008360586534412447
Position 18478: 0.0008332664302133145
Position 5906: 0.0008038101889969178
Position 8282: 0.0007808988467744102
Position 1813: 0.0007330764127803529
Position 313: 0.0007165071767035302
Position 41023: 0.0006993563971122247
Position 38795: 0.0006890072215940647
Position 39335: 0.0005977006433891562
Position 56504: 0.0005696591803077384
Position 1210: 0.0005623016582000761
Position 3041: 0.0005583787949055052
Position 1115: 0.000550808369602898
Position 6127: 0.0005216969038447111
Position 56371: 0.0004984043645475238
Position 52285: 0.0004639832096119735
Position 2061: 0.00046230498785437444
Position 1698: 0.00045698562665981646
Position 889: 0.0004099403727992074
Position 47169: 0.0003929152704860345
Position 56376: 0.00035944469654241104
Position 179: 0.0003512673475383556
Position 1186: 0.0003433781190345782
Position 543: 0.0003372060323547456
Position 2191: 0.00033502423688506106
Position 49083: 0.0003291468713329709
Position 929: 0.00032519954082394945
Position 40251: 0.00031878240396933404
Position 120: 0.00030336327727919626
Position 3213: 0.0002825557297744436
Position 37946: 0.00027568256166451
Position 161: 0.0002698896678339782
