Gene = Nplp2
index = 1328
Annotated 5SS: [268 477]
Annotated 3SS: [350 631]
SMsplice 5SS: [268 477]
SMsplice 3SS: [350 631]
top_k =  1000
Partition function (log Z): -3.257696076334844

Sorted 5' Splice Sites (High to Low Probability):
Position 268: 0.9641043297964418
Position 477: 0.8524952517289524
Position 471: 0.02783217215281455
Position 773: 0.013211455110886255
Position 519: 0.012651099027234516
Position 576: 0.00556594401893196
Position 421: 0.0044750275059314325
Position 725: 0.004138854852257623
Position 272: 0.0037561588963624377
Position 791: 0.0022409805934964946
Position 28: 0.001398063455325913
Position 529: 0.0005835634413339911
Position 152: 0.00044215167731177275
Position 728: 0.0003401790075084275
Position 126: 0.0003145225735157554
Position 590: 0.0002795445320690455
Position 138: 0.0002206998713223103
Position 286: 0.0002157751659897811
Position 455: 0.00020701217773082145
Position 446: 0.00019695361952828575
Position 794: 0.00012525157263101948
Position 376: 0.00010612392542167682
Position 669: 7.36910386968014e-05
Position 512: 6.706917583051035e-05
Position 628: 5.51736510365302e-05
Position 539: 3.886332493367036e-05
Position 633: 3.767279083169941e-05
Position 369: 3.035157289010155e-05
Position 183: 2.9911024477731903e-05
Position 43: 1.437019004019376e-05
Position 169: 1.2333196413579305e-05
Position 261: 1.0224512475549445e-05
Position 141: 7.3080200961612855e-06
Position 201: 7.171782409224777e-06
Position 252: 6.737165125253997e-06
Position 190: 5.698374957476174e-06
Position 161: 5.1758621436752134e-06
Position 128: 3.7505220359102385e-06
Position 359: 3.0360303716233027e-06
Position 92: 2.9153635799829205e-06
Position 250: 7.658834324034307e-07
Position 350: 4.512407268109962e-07
Position 175: 4.4220890486919253e-07
Position 78: 4.196924447480279e-07
Position 52: 3.237147493142568e-07
Position 131: 2.8576685061041875e-07
Position 626: 2.2375759896701417e-07
Position 333: 2.060210703948531e-07
Position 659: 1.6721555309562266e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 350: 0.8751237028474583
Position 631: 0.8729091299095385
Position 844: 0.04724424805247284
Position 318: 0.03430646214181634
Position 700: 0.025513423693415988
Position 664: 0.02154288807165667
Position 643: 0.006562235766742329
Position 590: 0.006168687772291877
Position 791: 0.0017678058645015098
Position 78: 0.0012184686731109777
Position 399: 0.0008908155404258851
Position 529: 0.0008199487719807477
Position 183: 0.0003050906997412788
Position 667: 0.0002964664160369054
Position 413: 0.0002280629790356228
Position 419: 0.00015107826667739725
Position 88: 5.3689538186102157e-05
Position 201: 3.9982861025748703e-05
Position 320: 3.6198550534116614e-05
Position 188: 3.0272965207375404e-05
Position 380: 2.8385219598960323e-05
Position 190: 2.498278380129732e-05
Position 446: 1.568095992929221e-05
Position 299: 1.1313899901175714e-05
Position 544: 6.443076180323916e-06
Position 508: 4.8085805619248195e-06
Position 231: 4.252255149048381e-06
Position 198: 3.878263423174603e-06
Position 519: 1.596073678393416e-06
Position 722: 1.2740384883702672e-06
Position 452: 1.189829221912277e-06
Position 305: 1.0629472422021367e-06
Position 707: 5.397202155031874e-07
Position 488: 4.901269542734453e-07
Position 149: 3.9931966344959524e-07
Position 286: 3.492276899302539e-07
Position 161: 1.6337941813191885e-07
Position 272: 1.6067069065242253e-07
Position 141: 9.118745978120511e-08
Position 467: 6.89935505717961e-08
Position 470: 4.527275386107508e-08
Position 169: 1.7531004452596674e-08
Position 125: 5.812857114950819e-10
Position 151: 3.505355729259387e-10
Position 138: 1.3242084020692095e-10
