Gene = Mcr
index = 1273
Annotated 5SS: [ 172 3220 7063 7320 7555 7729]
Annotated 3SS: [2369 3314 7125 7379 7622 7814]
SMsplice 5SS: [ 172 3220 7063 7320 7555 7729]
SMsplice 3SS: [2258 3314 7125 7379 7622 7814]
top_k =  1000
Partition function (log Z): 17.0046943983511

Sorted 5' Splice Sites (High to Low Probability):
Position 7320: 0.9991644944947129
Position 3220: 0.9939623738710678
Position 7729: 0.9938576772365482
Position 7063: 0.9846180739652868
Position 7555: 0.9788554673417283
Position 172: 0.7339147885119159
Position 1052: 0.18332977898527222
Position 2520: 0.1651620342209825
Position 5383: 0.11799108416619285
Position 5494: 0.09089321241549278
Position 88: 0.07009976352066154
Position 425: 0.04922818349342183
Position 4294: 0.03387660642066779
Position 2789: 0.03054928326444568
Position 8629: 0.029407300316690282
Position 3460: 0.02793677213921221
Position 2090: 0.026921315798233633
Position 2008: 0.026250389900164265
Position 1047: 0.022477659371315996
Position 5368: 0.020642910336839557
Position 673: 0.01854769465061683
Position 2306: 0.016994232249806958
Position 31: 0.01586919249587524
Position 7495: 0.014407600522842274
Position 43: 0.012207012019457801
Position 3391: 0.011594437192803805
Position 649: 0.011312027562421544
Position 4669: 0.008421429438700589
Position 2143: 0.006899928666430669
Position 2988: 0.006065809600778197
Position 8357: 0.005983336755524238
Position 4003: 0.0055269448005769465
Position 7760: 0.005491716916557881
Position 226: 0.0049639163170130994
Position 3547: 0.004880842656224602
Position 2542: 0.004456721426132826
Position 3517: 0.004244982615895926
Position 4506: 0.003962986755804544
Position 3917: 0.0038078801596051703
Position 1311: 0.003743604386951956
Position 373: 0.0033707140736142682
Position 7893: 0.0028804915239490185
Position 1059: 0.002854447109212699
Position 1255: 0.0024833644113805555
Position 379: 0.002353414610300291
Position 47: 0.0022914914919616126
Position 8082: 0.002095899091776123
Position 4037: 0.0019486491173388652
Position 336: 0.0017603488962255225
Position 4548: 0.0017496986808931301
Position 4498: 0.0017205311675870358
Position 1646: 0.0016276850412985581
Position 3829: 0.0016172369358655179
Position 347: 0.001470573646426014
Position 5165: 0.001416905759658663
Position 4007: 0.0013820388991902994
Position 8274: 0.0012930313318377806
Position 4801: 0.0011641550025913796
Position 4054: 0.0010601454593894694
Position 704: 0.0010582192642058339
Position 3706: 0.0009772365662706678
Position 4157: 0.0009631571644598298
Position 2815: 0.0009414892331743604
Position 3711: 0.0008507760998665826
Position 521: 0.000825165242514099
Position 4102: 0.0008061501991000811
Position 972: 0.0007936045369494808
Position 1211: 0.0007789097367912756
Position 4699: 0.0007714906075938608
Position 7874: 0.0007146896806135786
Position 2799: 0.0006887390443813378
Position 8053: 0.0006784573456739392
Position 950: 0.0006574700626230778
Position 4585: 0.0006561041275026261
Position 3632: 0.0006064235238169779
Position 4406: 0.0005986307042569469
Position 3621: 0.0005893048757696911
Position 855: 0.000576518188350603
Position 7733: 0.0005628976470467249
