Gene = Nelf-E
index = 1314
Annotated 5SS: [ 217  793 1049]
Annotated 3SS: [ 274  881 1112]
SMsplice 5SS: [ 217  793 1049]
SMsplice 3SS: [ 274  881 1112]
top_k =  1000
Partition function (log Z): 8.353115134948725

Sorted 5' Splice Sites (High to Low Probability):
Position 1049: 0.9993124585626179
Position 793: 0.9976672849412801
Position 217: 0.9964951359282335
Position 50: 0.02977978677135043
Position 12: 0.0010549369230240743
Position 195: 0.0008264804098427254
Position 1160: 0.00023511011262107763
Position 816: 0.00017415190294617144
Position 647: 0.00017393248134103969
Position 1203: 0.0001597597926816259
Position 797: 0.00011013607411303193
Position 973: 7.274586571408878e-05
Position 810: 5.335959493956631e-05
Position 363: 4.7890932759199215e-05
Position 368: 2.945042252252844e-05
Position 108: 2.8654991373495537e-05
Position 716: 2.2880736028679168e-05
Position 1240: 2.1718034783346096e-05
Position 555: 2.1149427245154827e-05
Position 18: 2.075515029383942e-05
Position 764: 1.948142146004245e-05
Position 93: 1.0580769602585036e-05
Position 1038: 9.544083450859428e-06
Position 1134: 9.180296747435735e-06
Position 1053: 8.907866845050718e-06
Position 339: 7.34034482667331e-06
Position 1060: 5.230597975928245e-06
Position 1062: 4.338177490509374e-06
Position 87: 3.443243039401813e-06
Position 952: 2.5334513887524204e-06
Position 1258: 2.259016458392246e-06
Position 1211: 2.172436970592994e-06
Position 139: 1.554293036388021e-06
Position 1033: 1.3897809487824348e-06
Position 1026: 1.3784455699779195e-06
Position 240: 1.3615832405035624e-06
Position 912: 5.296497410191928e-07
Position 703: 4.806319078679781e-07
Position 517: 4.40697528466876e-07
Position 868: 2.127395032460492e-07
Position 1324: 1.503389497240026e-07
Position 978: 1.2009212513429796e-07
Position 1307: 1.0014146487779716e-07
Position 701: 7.826417523193058e-08
Position 579: 7.102805723093796e-08
Position 494: 5.4439453520431e-08
Position 770: 4.573241962530121e-08
Position 533: 1.358975794090448e-08
Position 260: 1.0996096255957497e-08
Position 892: 7.798951460217894e-09
Position 271: 4.802024702238426e-09
Position 1098: 9.247867327077039e-10
Position 881: 4.1424799206260736e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 1112: 0.9988654565875548
Position 274: 0.9950082633646642
Position 881: 0.9654343427298817
Position 122: 0.024767788192387636
Position 972: 0.023158968840206847
Position 849: 0.008633667992084487
Position 119: 0.004569514607618415
Position 280: 0.0024204079356460644
Position 90: 0.0009588073707883791
Position 919: 0.0005692541497420994
Position 1240: 0.00038502386265550765
Position 1258: 0.0001874226221850926
Position 93: 0.00017566064382612588
Position 1137: 0.0001453097324559116
Position 1132: 0.00012124317876503423
Position 715: 0.00011458747233255305
Position 978: 9.028394766668964e-05
Position 526: 8.774013398012095e-05
Position 172: 8.160890138681984e-05
Position 1216: 7.702920763885664e-05
Position 1033: 7.341835987147466e-05
Position 912: 6.276262581414559e-05
Position 415: 5.521864010665081e-05
Position 948: 5.1982324542889035e-05
Position 260: 5.133048591835466e-05
Position 1324: 3.8833332818978966e-05
Position 1339: 3.179816401256705e-05
Position 508: 2.6883873717635066e-05
Position 412: 2.6185167035663927e-05
Position 337: 2.4414983856528565e-05
Position 1246: 1.9972219368460976e-05
Position 1119: 1.2702416391801958e-05
Position 1370: 1.0921182845431718e-05
Position 445: 9.134865389384192e-06
Position 613: 7.897303423749531e-06
Position 418: 6.317280757716682e-06
Position 290: 5.90971357060749e-06
Position 1189: 4.706940526221953e-06
Position 298: 4.579473836511322e-06
Position 455: 3.528170765374383e-06
Position 646: 3.211177970855821e-06
Position 1175: 2.9002872852066933e-06
Position 999: 1.917879803786791e-06
Position 1144: 1.753889746932199e-06
Position 739: 1.4851570826012106e-06
Position 568: 1.3797390293932125e-06
Position 174: 1.1201541703177412e-06
Position 822: 1.1088138723068733e-06
Position 307: 8.261734820068847e-07
Position 986: 4.1832210410519526e-07
Position 667: 3.785543611525292e-07
Position 319: 3.726343613117702e-07
Position 189: 3.495027647564536e-07
Position 571: 3.470316478854615e-07
Position 460: 3.430371951616107e-07
Position 662: 3.099948713080071e-07
Position 390: 2.7919037358822735e-07
Position 586: 2.6642911613168086e-07
Position 195: 1.6768514723313381e-07
Position 625: 1.5091150501399635e-07
Position 555: 1.4231167705396413e-07
Position 781: 1.222418395882624e-07
Position 1203: 8.357217822993728e-08
Position 368: 6.104864557286392e-08
Position 424: 5.508025402943274e-08
Position 1156: 4.8391939086723996e-08
Position 541: 4.180914633778967e-08
Position 375: 3.870523684295806e-08
Position 210: 3.666887936937775e-08
Position 790: 3.4507928579130055e-08
Position 993: 3.236499814566645e-08
Position 936: 2.6108476048721366e-08
Position 574: 2.3426149969514942e-08
Position 356: 1.629556815020241e-08
Position 544: 1.4445165148932826e-08
Position 676: 1.0725825206798642e-08
Position 1060: 7.564146152781393e-09
Position 216: 6.125389808893805e-09
Position 623: 6.116225539445243e-09
Position 201: 3.7365200843469675e-09
Position 671: 3.326006353540777e-09
Position 177: 2.960693567960285e-09
Position 428: 2.4204448829339734e-09
Position 313: 2.3716181468406767e-09
Position 1053: 2.3669125137481306e-09
Position 465: 2.1642718154431243e-09
Position 673: 1.9836549678203405e-09
Position 472: 1.7215983398057254e-09
Position 628: 7.581390197912016e-10
Position 559: 2.624969339943645e-10
Position 321: 6.351760521546996e-22
