Gene = DNApol-alpha50
index = 1126
Annotated 5SS: [ 186 2821]
Annotated 3SS: [2651 2876]
SMsplice 5SS: [ 186 2821]
SMsplice 3SS: [2651 2876]
top_k =  1000
Partition function (log Z): -5.044475885876323

Sorted 5' Splice Sites (High to Low Probability):
Position 2821: 0.9904646683105153
Position 186: 0.4932063494921326
Position 944: 0.45655554545327937
Position 774: 0.25213294275091785
Position 770: 0.24537801381405266
Position 3122: 0.09735983030460561
Position 968: 0.052407472452157454
Position 3149: 0.0341519799969683
Position 1108: 0.029038271666446406
Position 210: 0.022553464714144177
Position 3020: 0.016662278482749003
Position 2593: 0.010201162690877365
Position 2263: 0.007216709110470991
Position 1079: 0.005189878806672797
Position 3252: 0.0048918379389117726
Position 2268: 0.0048857421262135945
Position 1052: 0.004280339645718083
Position 2157: 0.004174344542274358
Position 3790: 0.003595549616061647
Position 2066: 0.0031436045301701083
Position 1139: 0.0029993630582699662
Position 3191: 0.0028240494029664128
Position 2385: 0.002361893030035992
Position 1056: 0.00230500472931364
Position 559: 0.0020649736774463225
Position 2810: 0.0020360413295597035
Position 3261: 0.002004589165150484
Position 1097: 0.0018414628533597614
Position 973: 0.0018206929974118411
Position 833: 0.001789115394174789
Position 309: 0.0016819180692572986
Position 1379: 0.0016040186878590237
Position 121: 0.0016028040029081423
Position 2335: 0.0014787532473632022
Position 2288: 0.0014149544464714802
Position 3806: 0.0012572621727616775
Position 172: 0.0011829827049935223
Position 2373: 0.0011775083399863055
Position 1596: 0.0011619460420549156
Position 3176: 0.001024586166278379
Position 2039: 0.001016420893443737
Position 1417: 0.0008961228694183988
Position 1193: 0.0008748428448056351
Position 2555: 0.0008364205637293513
Position 1521: 0.000763697097258668
Position 314: 0.0007585877233837635
Position 2825: 0.0006994481656043745
Position 326: 0.0006352495022481333
Position 1031: 0.000539738794258837
Position 4: 0.0005356252487905473
Position 77: 0.0005333761939540743
Position 714: 0.0005309547603218989
Position 3788: 0.00047037612293414333
Position 75: 0.0004642327435914492
Position 1118: 0.0004215288656206475
Position 1062: 0.0003461988290616223
Position 3275: 0.00034300473710339514
Position 601: 0.00034070848976124074
Position 3458: 0.0003382256681297843
Position 1467: 0.00033778699283455564
Position 1643: 0.0003319944362497228
Position 1862: 0.00025734907239950526
Position 1364: 0.00022558540192145037
Position 3677: 0.00021127143604401043
Position 3616: 0.00019474523768753008
Position 144: 0.00017094542208787673
Position 52: 0.00011234800492758718
Position 3169: 0.00010809618667443629
Position 3445: 9.801894500136458e-05
Position 1149: 9.228253799722019e-05
Position 3048: 9.005375232610332e-05
Position 3081: 8.940878579528475e-05
Position 1886: 8.820480412679046e-05
Position 2316: 8.481396865830361e-05
Position 3222: 7.037576574203395e-05
Position 2415: 6.737853484252136e-05
Position 2762: 6.087168622971086e-05
Position 1366: 5.292194036394515e-05
Position 465: 5.160383281679581e-05
Position 1842: 4.388389205728937e-05
Position 962: 3.8985712766878654e-05
Position 1955: 3.723674719303355e-05
Position 1216: 3.4124478123205606e-05
Position 675: 3.373997111334688e-05
Position 3725: 3.0977518271567506e-05
Position 3434: 2.7370517966537405e-05
Position 2800: 2.380525261189937e-05
Position 3126: 2.1353742505768428e-05
Position 273: 1.8527035927392657e-05
