Gene = geko
index = 1714
Annotated 5SS: [ 619 4302]
Annotated 3SS: [4099 5519]
SMsplice 5SS: [ 619 4302]
SMsplice 3SS: [4099 5519]
top_k =  1000
Partition function (log Z): -1.629805595113885

Sorted 5' Splice Sites (High to Low Probability):
Position 4302: 0.9947946022880162
Position 619: 0.9776967896701283
Position 5737: 0.06879754253699763
Position 5266: 0.0676631637944684
Position 5022: 0.05648155110605526
Position 1721: 0.05320736293998676
Position 5695: 0.046357818725135606
Position 1989: 0.030444464830421236
Position 1870: 0.014904733400269923
Position 4700: 0.012425863956489126
Position 513: 0.01214817475486232
Position 289: 0.01030115441494329
Position 1006: 0.01005342054367589
Position 2724: 0.009709622103435601
Position 5727: 0.009675454496212495
Position 4479: 0.007962925815270973
Position 3463: 0.0072295466249009165
Position 1145: 0.0068763846466676146
Position 2419: 0.0054170846999034945
Position 79: 0.00536557210540283
Position 5032: 0.005254185801397556
Position 1071: 0.004916846849834407
Position 3998: 0.00416731545508593
Position 2006: 0.004020599338433534
Position 5380: 0.003971334477033464
Position 3222: 0.0032615344570055787
Position 5701: 0.0032093862269907316
Position 5315: 0.003043739450364304
Position 5345: 0.002972275957342659
Position 1503: 0.002910864195952656
Position 5760: 0.002905076177325041
Position 1573: 0.0028846024982995887
Position 1552: 0.002691973122351538
Position 1301: 0.002511626209138492
Position 33: 0.0021960896784284163
Position 1104: 0.002177304269175392
Position 1872: 0.0020289270354428538
Position 51: 0.0019965296644072895
Position 5167: 0.0018717538971969496
Position 3911: 0.0018571768876360496
Position 167: 0.0016763964873350923
Position 5282: 0.001592463629184161
Position 767: 0.0013869431262679838
Position 62: 0.0013286406487291787
Position 1256: 0.00112812317727604
Position 5896: 0.0011200490339749155
Position 3540: 0.0010286069105889994
Position 48: 0.0010168423675375512
Position 197: 0.0009820616307412006
Position 4751: 0.0009720328891108158
Position 4735: 0.0008125533169058458
Position 1125: 0.0008084630359789006
Position 2769: 0.0007936483507059194
Position 5288: 0.0007497490648563903
Position 5112: 0.0006737332700403307
Position 90: 0.0006557459939775256
Position 5565: 0.0006495540202416329
Position 2303: 0.0006440209348937017
Position 2482: 0.000575346742064964
Position 96: 0.0005311962047482601
Position 5798: 0.00046976701104476683
